AREA;Regione;prov;2015_CodCom;NTN 2015 fino a 50 mq;NTN 2015 50 -| 85 mq;NTN 2015  85 -| 115 mq;NTN 2015 115 -| 145 mq;NTN 2015  oltre 145 mq;NTN 2015_TOTALE
Isole;Sardegna;CA;B745;2,95;32,78;30,17;30,42;21,86;118,18
Nord Ovest;Liguria;SV;B748;1;10,08;12,33;7,79;5;36,2
Nord Est;Veneto;PD;B749;0,5;1;0;0;2;3,5
Nord Ovest;Piemonte;VC;B752;1;0;0;0;0;1
Nord Ovest;Lombardia;VA;B754;10;53,25;39;18,5;16,5;137,25
Nord Ovest;Piemonte;CN;B755;0;1;0;4;3,5;8,5
Sud;Calabria;RC;B756;0;0;0;0;0;0
Sud;Calabria;CZ;B758;3;2;1;3;3;12
Sud;Campania;NA;B759;10;13,5;20,87;16;10,5;70,87
Centro;Toscana;LU;B760;0;1,5;0,67;0;0;2,17
Nord Ovest;Piemonte;TO;B762;0;0,33;1;2;2;5,33
Nord Ovest;Lombardia;LC;B763;0;7;1,5;2;1;11,5
Nord Ovest;Piemonte;AL;B765;0;0;0;0;0;0
Sud;Calabria;RC;B766;0;0;1;0;1;2
Nord Ovest;Piemonte;VC;B767;0;2;0;1;1;4
Nord Ovest;Piemonte;VC;B768;0;0;2;0;5;7
Nord Ovest;Piemonte;AL;B769;0;0;0;1;2;3
Sud;Calabria;KR;B771;0;0;0;1;0;1
Isole;Sardegna;SS;B772;0;1;0;0;1;2
Sud;Calabria;CS;B774;20,9;12,65;7;2;7;49,55
Sud;Campania;AV;B776;0;1;1,5;1,33;2;5,83
Nord Ovest;Piemonte;TO;B777;5;25;23,83;8;18,81;80,64
Nord Ovest;Lombardia;CO;B778;0;4;10;3,5;10;27,5
Sud;Campania;CE;B779;3,64;5,68;2;6,2;7,93;25,45
Isole;Sicilia;PA;B780;22,52;61,72;55,74;62,78;65,75;268,51
Sud;Campania;CE;B781;4,94;4;5;7,75;13,05;34,74
Nord Ovest;Piemonte;VC;B782;1;8;1;0;0;10
Sud;Puglia;FG;B784;1;2;1;0;0;4
Nord Ovest;Lombardia;CO;B785;3;4,13;7,5;3,04;4,5;22,17
Isole;Sicilia;SR;B787;5,83;14,88;34;36,33;16;107,04
Nord Est;Friuli- Venezia Giulia;UD;B788;0;1;3;6;3;13
Isole;Sardegna;CA;B789;12,5;21,75;14,22;7,75;4,58;60,8
Sud;Calabria;CZ;B790;1;1;2;2;2;8
Nord Ovest;Piemonte;TO;B791;11;63,25;66,5;36;48,94;225,69
Sud;Puglia;LE;B792;1;7,08;5;15,31;14,33;42,72
Centro;Toscana;PO;B794;3;38,5;22;11,91;30,5;105,91
Nord Est;Veneto;PD;B795;3;9;10;14;13,75;49,75
Nord Ovest;Lombardia;VA;B796;0,2;20;25,91;6,64;13,93;66,68
Nord Ovest;Lombardia;MI;B798;0;20,5;19;7,5;5,83;52,83
Nord Ovest;Lombardia;BG;B801;2;4;15;8;3;32
Sud;Calabria;CS;B802;1,25;2;2,5;1;2,75;9,5
Nord Ovest;Lombardia;BG;B803;3,5;6;2;1,38;0;12,88
Isole;Sicilia;ME;B804;9,56;10;5;4,67;1;30,23
Nord Ovest;Lombardia;VA;B805;16;69,18;59,83;31;14,96;190,97
Nord Ovest;Lombardia;VA;B807;1;9,18;9,5;11,33;9,61;40,62
Sud;Puglia;TA;B808;2;5;10,19;13,63;10,55;41,37
Sud;Puglia;BR;B809;20,44;56,22;34,5;21;12,5;144,66
Sud;Molise;IS;B810;0;1;1;2;2;6
Nord Est;Emilia-Romagna;PC;B812;0;7,75;15,79;12,39;19,83;55,76
Sud;Calabria;CS;B813;0;0;0;0;1;1
Nord Ovest;Liguria;IM;B814;0;2;0;0;1;3
Centro;Marche;PS;B816;4;5,67;1,67;1;0;12,34
Nord Ovest;Lombardia;BS;B817;1;25,5;25,67;18,5;20,24;90,91
Nord Ovest;Piemonte;AL;B818;0;1;1;2;3,07;7,07
Nord Est;Emilia-Romagna;MO;B819;37,08;162,87;226,57;113,28;116,35;656,15
Nord Ovest;Lombardia;MI;B820;4;23;15,72;10,3;5,5;58,52
Sud;Puglia;LE;B822;4;3;0;3,5;2;12,5
Nord Ovest;Piemonte;NO;B823;0;1;0,5;4,25;5,25;11
Nord Ovest;Lombardia;PV;B824;0;14;28;12,5;15;69,5
Nord Est;Emilia-Romagna;RE;B825;1;8,25;5,33;4,77;3,5;22,85
Sud;Abruzzo ;CH;B826;0;0;0;1;0;1
Sud;Abruzzo ;PE;B827;0;0;0;0;0;0
Centro;Lazio;RM;B828;4,67;9,72;1;3,83;2;21,22
Sud;Puglia;FG;B829;1,67;4,67;2,3;3,67;2;14,31
Sud;Molise;IS;B830;0;0;0,75;0;1;1,75
Centro;Toscana;MS;B832;44,01;164,07;131,88;70,16;39,42;449,54
Nord Est;Veneto;VI;B835;0;4;4,5;6;7,25;21,75
Nord Ovest;Piemonte;AL;B836;0;0;1;1;0;2
Nord Ovest;Liguria;SP;B838;0;2;0;1;0;3
Nord Ovest;Liguria;SP;B839;1;3;2,33;0;2;8,33
Nord Ovest;Piemonte;AL;B840;1;2;2;3;1;9
Nord Ovest;Piemonte;CN;B841;1;10;6;6;10;33
Sud;Abruzzo ;AQ;B842;5;12,79;19,67;4;8,75;50,21
Nord Est;Veneto;VI;B844;0,5;3;4;1,5;9,5;18,5
Nord Ovest;Piemonte;CN;B845;0;0;0;0;0;0
Centro;Marche;PS;B846;1;21;13,5;7,5;12,83;55,83
Nord Ovest;Piemonte;AL;B847;1;2;0;0;5;8
Nord Est;Veneto;PD;B848;0;11;11;7,31;11,67;40,98
Nord Ovest;Lombardia;MI;B850;10;65,33;66,93;33,26;12;187,52
Nord Ovest;Lombardia;CO;B851;4;15,94;14,89;9;7;50,83
Sud;Abruzzo ;CH;B853;0;0;0;2;1,5;3,5
Nord Ovest;Lombardia;BG;B854;1;11,66;7,22;1;9,08;29,96
Sud;Calabria;KR;B857;1;1;0;0;2,83;4,83
Sud;Molise;CB;B858;0;1;6,5;2;2;11,5
Sud;Abruzzo ;CH;B859;0,8;1;0;1;2;4,8
Sud;Campania;CE;B860;9,34;17;11,17;24,17;15,72;77,4
Sud;Abruzzo ;CH;B861;0;1;1;1;1,8;4,8
Centro;Lazio;FR;B862;0;1;0;0;0;1
Nord Ovest;Piemonte;NO;B864;0;1;0;1;0;2
Sud;Abruzzo ;CH;B865;9;8,5;8,33;10,33;3;39,16
Sud;Campania;AV;B866;0;2;0;3;1;6
Nord Ovest;Piemonte;TO;B867;0;0;2;0;7,83;9,83
Sud;Campania;SA;B868;2;1;1;1;0;5
Nord Ovest;Lombardia;CR;B869;0;4;5,75;9,25;12,56;31,56
Nord Ovest;Piemonte;AL;B870;0;1;0,5;0,25;3,25;5
Sud;Molise;CB;B871;3;0;0;0;0;3
Sud;Campania;CE;B872;6,78;3,58;2,8;5,78;14,23;33,17
Sud;Campania;BN;B873;1,75;1,38;0,63;1,33;1;6,09
Nord Ovest;Lombardia;VA;B875;1;3;3,25;0,67;6,93;14,85
Nord Ovest;Piemonte;VB;B876;0;4;7,33;4;7,16;22,49
Nord Est;Veneto;PD;B877;0;2;1;4,5;5;12,5
Centro;Toscana;PI;B878;1;1,5;3;0;3,33;8,83
Nord Est;Veneto;TV;B879;1,5;30,8;22,33;15,97;12,89;83,49
Nord Est;Emilia-Romagna;BO;B880;17,52;152,05;120,47;43,5;26,5;360,04
Nord Ovest;Lombardia;CR;B881;0;3;3;2;1;9
Nord Ovest;Piemonte;AL;B882;4;1;0;0;1;6
Nord Ovest;Piemonte;NO;B883;0;0;0;2,5;3;5,5
Nord Ovest;Piemonte;AL;B885;8;73;70,83;37,85;53,77;243,45
Nord Est;Veneto;VR;B886;0;5;5,58;6,78;6,11;23,47
Nord Ovest;Lombardia;LO;B887;1;9,5;11;7,5;4,67;33,67
Sud;Campania;SA;B888;0;1;0;2;2;5
Nord Ovest;Lombardia;CR;B889;0;0;3;2;0,5;5,5
Nord Ovest;Lombardia;CR;B890;0;0;2;1;0;3
Nord Ovest;Lombardia;CR;B891;0;7;1;3;1;12
Nord Est;Emilia-Romagna;BO;B892;1;2;4,73;3;6;16,73
Nord Est;Emilia-Romagna;RE;B893;5,5;38,25;47,09;27,88;26,34;145,06
Nord Ovest;Piemonte;CN;B894;0;0;0;1;4;5
Sud;Campania;SA;B895;9;19,5;18;6,17;2;54,67
Sud;Abruzzo ;CH;B896;0;1;3;2;4,31;10,31
Nord Ovest;Piemonte;NO;B897;0;2;3,5;1;3;9,5
Nord Ovest;Lombardia;CR;B898;3;13,5;20;15,58;32,7;84,78
Nord Ovest;Lombardia;LO;B899;3;14,78;12,5;3;6;39,28
Nord Ovest;Lombardia;CR;B900;0;0;2,17;1;3;6,17
Nord Ovest;Lombardia;MN;B901;0;4,5;2;0;6;12,5
Nord Ovest;Piemonte;AL;B902;0,33;0,33;1;0,67;4,5;6,83
Sud;Calabria;CS;B903;3;44;14,75;3;2;66,75
Sud;Puglia;FG;B904;3;3,66;1;1;1,33;9,99
Sud;Campania;NA;B905;24,5;46,93;110,48;46,38;15,2;243,49
Sud;Basilicata;PZ;B906;0;0;0;0;0;0
Nord Ovest;Lombardia;MN;B907;0;1;4;2;3,5;10,5
Nord Ovest;Lombardia;LO;B910;1,5;33,72;49,58;16,67;19,91;121,38
Nord Ovest;Lombardia;MN;B911;0;0;1;1;2;4
Nord Est;Veneto;PD;B912;0;6;9,29;6,4;12;33,69
Nord Ovest;Lombardia;CR;B914;0;0;0;1,7;6,62;8,32
Sud;Puglia;FG;B915;9,76;19,33;20;6,5;7,47;63,06
Sud;Campania;CE;B916;3,34;5;14,89;11,34;6,67;41,24
Sud;Puglia;FG;B917;3;1,66;0;0;0;4,66
Isole;Sicilia;ME;B918;0;2;0;0;1,75;3,75
Centro;Lazio;FR;B919;2;4;1;1,67;3,76;12,43
Nord Ovest;Piemonte;NO;B920;1;0;0,5;2;3;6,5
Nord Ovest;Lombardia;VA;B921;0;3;4;2;3;12
Sud;Campania;NA;B922;1,5;4;3;3;6;17,5
Sud;Puglia;BA;B923;12,68;46,5;48,17;24,13;27;158,48
Sud;Campania;NA;B924;4;9,25;5,1;3;5;26,35
Sud;Campania;NA;B925;1,5;5,04;12,27;10;3;31,81
Nord Ovest;Liguria;SV;B927;0;4;0;1;3,5;8,5
Nord Ovest;Piemonte;VC;B928;0;0;0;0;2;2
Nord Ovest;Lombardia;PV;B929;0;0;1,68;0;1;2,68
Centro;Lazio;RM;B932;0;2;0;0;0;2
Nord Ovest;Piemonte;BI;B933;0;0;1;1;0;2
Centro;Lazio;RI;B934;2;3;0;1;0;6
Sud;Campania;CE;B935;8;8;16;13,67;8,11;53,78
Sud;Puglia;LE;B936;13;12,34;17;18;26,28;86,62
Nord Ovest;Lombardia;LC;B937;7;9;0;2,68;3;21,68
Nord Ovest;Lombardia;MI;B938;2;23;9;2,5;4;40,5
Nord Ovest;Liguria;GE;B939;1;16;15,25;8;4;44,25
Nord Est;Friuli- Venezia Giulia;PN;B940;0;6;14,17;16,5;13,72;50,39
Nord Ovest;Piemonte;AL;B941;3;1;1;0;0;5
Nord Ovest;Lombardia;CO;B942;0;1;1;3;2;7
Nord Ovest;Lombardia;LC;B943;4;28,5;29,5;26,62;25,42;114,04
Nord Ovest;Lombardia;PV;B945;0;0;0,05;2;1;3,05
Sud;Campania;NA;B946;10,52;21,82;30,67;37,16;3,16;103,33
Nord Ovest;Lombardia;BG;B947;0;7,92;2,92;4;2,15;16,99
Centro;Umbria;PG;B948;2;2;7;6,5;2,88;20,38
Nord Ovest;Lombardia;VA;B949;2;1;5,5;3;10,67;22,17
Centro;Toscana;PI;B950;6,33;92,08;110,42;80,71;72,34;361,88
Nord Ovest;Piemonte;VC;B952;0;7;3;2;2;14
Nord Ovest;Piemonte;TO;B953;0;0;1,5;3;0;4,5
Nord Ovest;Lombardia;PV;B954;1;0;4;4;1,83;10,83
Nord Ovest;Piemonte;TO;B955;0;2;5;9;4;20
Nord Ovest;Liguria;GE;B956;1;10,5;6;1,5;3,5;22,5
Nord Ovest;Lombardia;LO;B958;1;5,67;4,5;2;2;15,17
Sud;Campania;SA;B959;1;0;1;0,75;0;2,75
Nord Ovest;Piemonte;TO;B960;5;48,67;82,33;34,67;20,7;191,37
Nord Ovest;Lombardia;LO;B961;0;0;0;1,5;2,5;4
Centro;Toscana;FI;B962;29,7;135,66;152,75;74,6;46,41;439,12
Sud;Campania;CE;B963;30,99;71,1;104,27;138,41;120,22;464,99
Nord Est;Veneto;TV;B965;5;27;24,42;8;19,75;84,17
Sud;Calabria;RC;B966;0;0;0;0;0;0
Nord Est;Emilia-Romagna;RE;B967;5,5;13,84;10;3,67;6,4;39,41
Sud;Calabria;KR;B968;4;0;1;0;0;5
Nord Est;Emilia-Romagna;BO;B969;5;12,64;9,21;3,5;7,5;37,85
Nord Ovest;Lombardia;BG;B971;0,44;9;12;2;2,5;25,94
Nord Ovest;Lombardia;CO;B974;1;6,5;1,5;2;1,5;12,5
Nord Ovest;Lombardia;CO;B977;2;8;10,5;4;3,92;28,42
Nord Ovest;Lombardia;BG;B978;1;6;5,5;3,5;2;18
Centro;Toscana;MS;B979;0;4;3,17;2,17;0,06;9,4
Sud;Campania;NA;B980;3,2;1;2;0,8;0;7
Nord Est;Emilia-Romagna;RA;B982;0;2;1;2,5;3;8,5
Sud;Calabria;CS;B983;1;1,53;4;2;1,53;10,06
Centro;Toscana;SI;B984;0;8,5;8,5;4;4;25
Sud;Abruzzo ;CH;B985;1;4;0,83;10;4;19,83
Nord Ovest;Lombardia;VA;B987;1,5;11,5;7;2;8,78;30,78
Nord Ovest;Lombardia;PV;B988;3;40,17;36;9,67;18,3;107,14
Nord Ovest;Lombardia;MI;B989;0;5,3;12,5;4,5;6,17;28,47
Sud;Campania;NA;B990;18,91;74,75;142,1;87,46;28,78;352
Nord Ovest;Piemonte;AT;B991;0;1;0,86;1;4;6,86
Nord Ovest;Lombardia;SO;B993;5;4,96;2;1,04;0;13
Nord Est;Friuli- Venezia Giulia;UD;B994;0;2;1,65;3,5;16;23,15
Nord Ovest;Lombardia;LC;B996;2,66;5;9;5,84;4;26,5
Sud;Campania;AV;B997;0;2;1,89;0;1;4,89
Sud;Puglia;BA;B998;9;36,5;33;21,89;17,78;118,17
Nord Ovest;Lombardia;VA;B999;0;0;1;0;0;1
Sud;Calabria;CS;C002;16,24;26,02;13,3;12,5;17,15;85,21
Nord Ovest;Lombardia;MI;C003;10,33;73,33;64,58;28,67;19,95;196,86
Nord Ovest;Lombardia;VA;C004;9;38;75,11;23,84;33,08;179,03
Nord Ovest;Piemonte;AL;C005;0;3;1;1;5,7;10,7
Isole;Sicilia;SR;C006;0;3,5;0;1;0;4,5
Nord Ovest;Lombardia;BG;C007;1;0;1;0;0;2
Nord Ovest;Lombardia;MI;C013;8;46,1;21,5;3;3,25;81,85
Nord Ovest;Lombardia;MI;C014;6,5;39,1;38,42;22,07;7,17;113,26
Nord Ovest;Lombardia;CO;C020;1;11,5;9;5;7,5;34
Nord Ovest;Piemonte;AT;C022;0;0;1,16;0;2,33;3,49
Nord Ovest;Lombardia;LC;C024;1;4,5;4;0;1;10,5
Nord Ovest;Piemonte;AL;C027;0;1;2,88;2,5;11,84;18,22
Nord Ovest;Piemonte;AL;C030;1;2;3,5;3,5;2;12
Nord Ovest;Lombardia;MI;C033;0;2,35;7;2;5;16,35
Centro;Lazio;FR;C034;15;56,91;56,03;51,39;41;220,33
Nord Est;Veneto;VI;C037;0;22,33;33,5;20,5;25,12;101,45
Nord Ovest;Lombardia;PV;C038;2,83;13;8,5;8;17,5;49,83
Sud;Abruzzo ;TE;C040;0;0;1;1;0;2
Nord Est;Veneto;VR;C041;0;1;4,5;9;5,67;20,17
Centro;Toscana;LI;C044;9,8;87,65;29,36;15,09;26;167,9
Nord Ovest;Piemonte;TO;C045;1;1,5;4;2;6;14,5
Nord Ovest;Piemonte;CN;C046;1;5;3,33;4,5;6;19,83
Nord Ovest;Piemonte;AT;C047;0;4;3;2;5,33;14,33
Nord Ovest;Piemonte;TO;C048;0;3;5;1;2;11
Nord Ovest;Piemonte;AT;C049;0;6;5;0;14;25
Nord Ovest;Lombardia;PV;C050;0;0,88;0,75;0;1;2,63
Isole;Sicilia;ME;C051;0;3,13;4,67;0;2;9,8
Nord Ovest;Lombardia;MI;C052;2;30,83;19;13;15,84;80,67
Nord Ovest;Lombardia;PV;C053;0;15;13;13,5;12,5;54
Nord Ovest;Lombardia;BS;C055;1,5;38,17;17,5;14,8;9,5;81,47
Nord Est;Veneto;VI;C056;0;2;5;6;3,5;16,5
Nord Est;Veneto;PD;C057;0;0;1;1;3,33;5,33
Sud;Campania;AV;C058;2;1;0;2;0;5
Nord Ovest;Lombardia;MN;C059;4;5;5,5;4;2,5;21
Centro;Marche;AN;C060;1;4,67;12,94;3,5;4,5;26,61
Nord Ovest;Liguria;SV;C063;0;2;1;0,01;1;4,01
Nord Ovest;Piemonte;AT;C064;0;0;0;1;5;6
Nord Est;Emilia-Romagna;RA;C065;3;24;18,83;15;16,08;76,91
Sud;Molise;CB;C066;0;3;1;1;2;7
Isole;Sicilia;PA;C067;6;8,12;11,17;7,8;7,62;40,71
Sud;Campania;SA;C069;0;1;1;0;0;2
Centro;Marche;AP;C070;1;1;1,5;3,44;4;10,94
Nord Ovest;Lombardia;BS;C072;0;5,11;7,77;5;1;18,88
Nord Est;Veneto;TV;C073;0;0;1;2;2,55;5,55
Isole;Sicilia;PA;C074;1;14,5;26;25,83;10,98;78,31
Nord Est;Emilia-Romagna;BO;C075;1;4,33;4,83;2,83;5,33;18,32
Nord Ovest;Lombardia;MN;C076;2;6;4,61;9;11,33;32,94
Nord Est;Veneto;VR;C078;1;25;29,5;11,17;19,75;86,42
Nord Ovest;Lombardia;BG;C079;1;18,06;24,72;14,93;17,07;75,78
Centro;Marche;PS;C080;0;0,25;0,75;1;0,75;2,75
Nord Ovest;Piemonte;CN;C081;0,5;0;0,87;0;1,72;3,09
Sud;Molise;IS;C082;1;3;1;0;0;5
Sud;Abruzzo ;AQ;C083;0;4;1;0;0;5
Centro;Toscana;GR;C085;1;13,33;9,42;8;12,72;44,47
Nord Est;Emilia-Romagna;BO;C086;1;1,5;3;3,11;4;12,61
Nord Ovest;Lombardia;CR;C089;0;0;0;0,5;1;1,5
Sud;Abruzzo ;AQ;C090;0;2;0;0;0,5;2,5
Isole;Sicilia;CT;C091;0;2;2;2;4;10
Centro;Marche;AP;C093;2;13;16,5;9,48;4,68;45,66
Isole;Sicilia;ME;C094;0;0;1;2;1,5;4,5
Sud;Abruzzo ;AQ;C096;10,5;39,78;21;8;3;82,28
Sud;Campania;CE;C097;0;1;0;1;0;2
Centro;Lazio;RI;C098;1,75;0,75;1,12;0;1;4,62
Centro;Marche;AN;C100;0;25,08;27;24;18,55;94,63
Centro;Toscana;FI;C101;9;33,27;44,15;19,51;9,5;115,43
Centro;Toscana;AR;C102;2,08;5,67;5,6;1;4,84;19,19
Centro;Lazio;LT;C104;2;4,16;3,08;2,17;3,5;14,91
Sud;Campania;AV;C105;0;0;0;2;1;3
Sud;Campania;BN;C106;3;2;0;0;0,8;5,8
Nord Est;Emilia-Romagna;MO;C107;13,17;101,71;79,91;38,96;32,33;266,08
Sud;Calabria;CS;C108;1;2;2;6;22;33
Nord Ovest;Liguria;IM;C110;3;1;2;0;0;6
Nord Est;Veneto;TV;C111;15;62,16;62,17;41,17;88,33;268,83
Centro;Toscana;PI;C113;3;14,5;18,34;5,84;20,45;62,13
Sud;Abruzzo ;CH;C114;5;7;5,5;5;1,5;24
Nord Ovest;Lombardia;CR;C115;0;0;1,5;0;0;1,5
Centro;Lazio;RM;C116;8;22;7,5;7,5;5;50
Centro;Umbria;TR;C117;0;3;0;3,5;3;9,5
Nord Ovest;Lombardia;MN;C118;0;13,02;14,5;24;29,58;81,1
Nord Est;Veneto;VI;C119;2;5,5;12,5;10,5;2;32,5
Sud;Basilicata;PZ;C120;1;1;2;0;1;5
Nord Est;Emilia-Romagna;BO;C121;1;11;5,45;6,83;6;30,28
Nord Est;Veneto;RO;C122;0;0;1;1,5;8;10,5
Sud;Abruzzo ;CH;C123;0;2;1;0;0;3
Sud;Campania;SA;C125;6,4;46,63;29,41;6;8,5;96,94
Sud;Abruzzo ;AQ;C126;2;1;0,75;0;0;3,75
Nord Ovest;Piemonte;AT;C127;1;2;3;6;4,5;16,5
Sud;Abruzzo ;TE;C128;0;3;8,64;6,64;2,5;20,78
Sud;Campania;NA;C129;30,92;71,44;80,53;70,34;33,33;286,56
Isole;Sicilia;TP;C130;27,47;54,36;43,1;29,18;15;169,11
Nord Ovest;Piemonte;TO;C133;5;19,04;18,5;10;26,56;79,1
Sud;Puglia;BA;C134;16;42,61;45,21;29,5;13,5;146,82
Isole;Sicilia;PA;C135;0;2,08;1;2;1;6,08
Sud;Puglia;TA;C136;12,19;36,96;30,66;41,78;23,5;145,09
Nord Ovest;Piemonte;AL;C137;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;C139;7;51,33;39,66;15,5;17;130,49
Nord Ovest;Piemonte;CN;C140;0;0;0;0;0;0
Nord Est;Emilia-Romagna;RE;C141;4;41,21;34,41;19;19;117,62
Nord Ovest;Piemonte;AL;C142;0;0;0,5;0,5;0,33;1,33
Nord Ovest;Liguria;IM;C143;3;2;2;1;2;10
Nord Est;Emilia-Romagna;PC;C145;1,5;5,25;8;7,17;15,97;37,89
Centro;Toscana;GR;C147;0;1,5;1;3;1;6,5
Nord Ovest;Piemonte;AL;C148;0;2,5;6,5;4;17,75;30,75
Nord Ovest;Piemonte;NO;C149;0;0;1;1;1,5;3,5
Centro;Marche;AN;C152;0;1;0;0;3;4
Nord Ovest;Lombardia;CR;C153;2;16,25;20,5;15,25;12,61;66,61
Nord Ovest;Piemonte;AT;C154;0;0;0;0;0;0
Nord Ovest;Piemonte;BI;C155;0;1;3;0;3;7
Nord Ovest;Piemonte;AL;C156;0;0;0;2;1;3
Nord Ovest;Lombardia;PV;C157;0;1;1;1;2;5
Nord Ovest;Piemonte;AL;C158;1;1,67;4,33;3;2,5;12,5
Nord Ovest;Piemonte;AL;C160;0;0;1,5;0,67;3,5;5,67
Nord Ovest;Piemonte;AT;C161;0;1;0;0;2;3
Nord Ovest;Piemonte;AL;C162;0;0,01;1;1;6;8,01
Nord Ovest;Piemonte;CN;C165;0;1;2;6;4;13
Nord Ovest;Piemonte;NO;C166;6;20,84;21,89;14,34;16,33;79,4
Nord Ovest;Piemonte;CN;C167;0;1;1,5;1;1;4,5
Sud;Abruzzo ;TE;C169;0;3;2;1;2;8
Centro;Toscana;SI;C172;1;3,25;3;7;4;18,25
Nord Ovest;Piemonte;CN;C173;0;1;0;0;1;2
Centro;Toscana;PI;C174;1;7;4;1;2;15
Sud;Molise;CB;C175;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;C176;0;0;1;0;1;2
Centro;Lazio;FR;C177;0;2;0;1;2;5
Sud;Campania;CE;C178;0;1;1;0;0;2
Nord Ovest;Lombardia;VA;C181;4;4;5,5;1;8,41;22,91
Nord Ovest;Lombardia;PV;C184;0;1;0;1;1;3
Nord Est;Emilia-Romagna;BO;C185;1;20;25,34;0;5,42;51,76
Nord Ovest;Lombardia;SO;C186;0;1;0;1;0;2
Nord Ovest;Lombardia;LC;C187;0;5;6,3;3;1;15,3
Sud;Campania;NA;C188;2;8;10;7,5;2,33;29,83
Nord Est;Veneto;TV;C190;1,8;8,5;3;3;9,48;25,78
Nord Ovest;Lombardia;MN;C195;0;5;12,5;6,07;8,7;32,27
Sud;Molise;CB;C197;2;3;0;2;0;7
Sud;Puglia;FG;C198;1;2;1;2;3;9
Sud;Basilicata;PZ;C199;3;1;1;1;0;6
Sud;Molise;IS;C200;0;0;0;0;0;0
Sud;Basilicata;PZ;C201;0;0;1;1;1;3
Sud;Puglia;FG;C202;1;2,5;1;1;1;6,5
Centro;Lazio;RM;C203;4;11,5;15,06;7,2;4,5;42,26
Nord Est;Emilia-Romagna;BO;C204;8,13;86,27;57;27,5;18,3;197,2
Nord Ovest;Piemonte;CN;C205;1;1;1;0;1;4
Nord Ovest;Lombardia;CO;C206;0;1;1;2;0;4
Nord Est;Veneto;RO;C207;0;2;7,8;5;10;24,8
Nord Ovest;Lombardia;BS;C208;9;28;21;7;17;82
Sud;Basilicata;PZ;C209;0;0;2,33;0;0;2,33
Isole;Sicilia;ME;C210;0;1;1;0;0;2
Sud;Campania;CE;C211;0;0;1,33;0;1;2,33
Nord Ovest;Lombardia;PV;C213;0,93;1;1;0,93;3,89;7,75
Nord Ovest;Piemonte;CN;C214;0;1;0;0;1;2
Nord Est;Veneto;RO;C215;0;1,5;1,84;4,5;12,75;20,59
Nord Est;Friuli- Venezia Giulia;PN;C217;0;0;2;1;2,5;5,5
Nord Est;Emilia-Romagna;RE;C218;0;6,49;11;2,66;9;29,15
Nord Est;Emilia-Romagna;RE;C219;3;14,33;16,83;9,72;12,76;56,64
Nord Ovest;Lombardia;CO;C220;0;2;0;0;1;3
Sud;Puglia;FG;C222;1;0;1,5;1;0;3,5
Centro;Lazio;FR;C223;0;0;0;0;0;0
Centro;Lazio;RI;C224;0;0;1;0;2;3
Nord Est;Veneto;VR;C225;2;65,5;75,17;31,5;28,22;202,39
Nord Ovest;Piemonte;AT;C226;0;0;0;0;2;2
Centro;Toscana;SI;C227;4;16,33;27,16;10,83;29,17;87,49
Nord Ovest;Lombardia;LO;C228;0;1,5;1,33;1;5;8,83
Nord Ovest;Piemonte;AL;C229;0;0;1;4;5,13;10,13
Nord Ovest;Piemonte;AT;C230;0;1,33;2;0;4,67;8
Sud;Campania;SA;C231;2;4,17;3;1;5;15,17
Nord Ovest;Piemonte;AT;C232;1;6;4;5;6;22
Sud;Campania;SA;C235;0;0;0;0,17;0;0,17
Centro;Toscana;LU;C236;0;6;6,4;7,25;13,67;33,32
Centro;Lazio;RM;C237;5;17,5;6,5;2,33;11,17;42,5
Nord Ovest;Liguria;SP;C240;1;14,77;7,1;18,11;10;50,98
Nord Ovest;Piemonte;TO;C241;0;3;0,25;2;1,5;6,75
Nord Est;Emilia-Romagna;MO;C242;1;31,88;38,99;13,43;21,42;106,72
Nord Ovest;Piemonte;AL;C243;0;3;7;3;5;18
Centro;Toscana;PI;C244;0;7;5;3;4;19
Sud;Campania;BN;C245;2;2;2;0;1;7
Sud;Molise;IS;C246;0;0,52;3;1;6;10,52
Sud;Molise;IS;C247;0;0;0;0;1;1
Centro;Marche;AN;C248;0;3;5,5;0,33;5;13,83
Sud;Campania;BN;C250;0,66;0;1;0;2,33;3,99
Centro;Marche;MC;C251;0;4,5;2;6;5;17,5
Centro;Umbria;PG;C252;1;4,5;5;3,75;5;19,25
Nord Ovest;Piemonte;AT;C253;0;0;0,5;0;2;2,5
Nord Ovest;Lombardia;BG;C255;0;10;9,5;2,8;2;24,3
Sud;Campania;SA;C259;8;11,53;24,61;20,54;14,99;79,67
Nord Est;Emilia-Romagna;PC;C261;1;20,44;18,25;27,51;29,87;97,07
Sud;Campania;SA;C262;3;1;3;0;0;7
Centro;Toscana;AR;C263;0,87;1,75;4,68;3,26;6,67;17,23
Nord Est;Emilia-Romagna;BO;C265;9,5;30,92;52,78;34,46;29,23;156,89
Centro;Lazio;RM;C266;1;1,5;0;1;2;5,5
Centro;Marche;MC;C267;0;1;1;0,67;0;2,67
Centro;Lazio;RI;C268;2;10;0;1;1;14
Centro;Lazio;VT;C269;0;2;1;0;3,5;6,5
Sud;Molise;IS;C270;0;3;3;0;0,83;6,83
Sud;Basilicata;PZ;C271;1;2;1;0;1;5
Isole;Sardegna;SS;C272;23;50,68;5;5;3,5;87,18
