AREA;Regione;prov;2015_CodCom;NTN 2015 fino a 50 mq;NTN 2015 50 -| 85 mq;NTN 2015  85 -| 115 mq;NTN 2015 115 -| 145 mq;NTN 2015  oltre 145 mq;NTN 2015_TOTALE
Nord Ovest;Lombardia;BG;B138;3;12,25;9,9;11,5;16,58;53,23
Nord Ovest;Lombardia;LO;B141;0;7;5;1;3;16
Nord Ovest;Lombardia;PV;B142;0;0;0;1;3,33;4,33
Nord Est;Veneto;VI;B143;0;11;11,75;2;4,68;29,43
Nord Ovest;Lombardia;CO;B144;0;2;6;2,25;1;11,25
Nord Ovest;Lombardia;BS;B149;1,66;3,5;6;4,97;4,54;20,67
Nord Ovest;Lombardia;VA;B150;0;1;2,11;0;1,5;4,61
Nord Est;Veneto;VR;B152;0;2;0;3;2,53;7,53
Nord Est;Veneto;VR;B154;10,75;21,33;4,5;2,5;5,5;44,58
Nord Est;Emilia-Romagna;RE;B156;0,38;6;6,38;5;14;31,76
Nord Ovest;Lombardia;BS;B157;100,94;512,53;488,24;354,78;268,79;1725,28
Nord Ovest;Lombardia;PV;B159;1;1;5;5;7;19
Nord Est;Veneto;VI;B161;1;3;3;1,89;5;13,89
Nord Ovest;Lombardia;MI;B162;16;125,26;63,92;21,65;10;236,83
Nord Ovest;Lombardia;VA;B166;18,83;12;8;4;10;52,83
Nord Ovest;Piemonte;CN;B167;0;1;0;0;1;2
Sud;Calabria;VV;B169;3,5;14;2,97;4;2;26,47
Nord Ovest;Piemonte;TO;B171;2;12,33;14,75;8,5;8,39;45,97
Nord Ovest;Lombardia;CO;B172;2;1;1;2;2;8
Sud;Basilicata;PZ;B173;0;7,5;2,67;3,67;0,5;14,34
Nord Ovest;Piemonte;CN;B175;2;1;0;0;0;3
Nord Ovest;Piemonte;NO;B176;1,5;4,5;3;2;3;14
Nord Ovest;Lombardia;BG;B178;1;12;25;4,5;6,67;49,17
Nord Ovest;Piemonte;AL;B179;0;1;2;0;1,17;4,17
Sud;Puglia;BR;B180;27,82;111,33;204,02;145,47;85,07;573,71
Sud;Basilicata;PZ;B181;2,28;1,5;1,5;0;0;5,28
Nord Ovest;Lombardia;VA;B182;0;2;0;1,2;1;4,2
Nord Ovest;Piemonte;NO;B183;0;0;1;3;0,25;4,25
Nord Ovest;Lombardia;BS;B184;0,75;6;2,25;1;1;11
Nord Ovest;Lombardia;MI;B187;1;5,59;21;11,83;11,5;50,92
Nord Est;Emilia-Romagna;RA;B188;2;9,05;6,96;14,13;11,17;43,31
Nord Ovest;Lombardia;VA;B191;0;1,83;0;2;4;7,83
Nord Ovest;Valle d'Aosta;AO;B192;0;1;1;3;0;5
Sud;Abruzzo ;PE;B193;0;1;0;1;0;2
Nord Ovest;Lombardia;LC;B194;0;7;11;6;5,5;29,5
Centro;Lazio;FR;B195;0;0;1;1;1,22;3,22
Nord Est;Veneto;VI;B196;0;3;16;4;12,5;35,5
Sud;Calabria;VV;B197;0;1;0;0;0;1
Isole;Sicilia;ME;B198;6,5;20,67;12,79;9,55;2,38;51,89
Nord Ovest;Piemonte;CN;B200;0;0;1;2;0;3
Nord Ovest;Lombardia;PV;B201;3;17;13;4;5,17;42,17
Isole;Sicilia;CT;B202;11,49;23,74;18,16;17,16;15,72;86,27
Nord Ovest;Piemonte;CN;B204;1;1;2,67;1,33;1,42;7,42
Nord Ovest;Piemonte;TO;B205;1;2;2;1;1,5;7,5
Nord Ovest;Piemonte;VB;B207;2;6,7;4;4;1,7;18,4
Nord Ovest;Piemonte;TO;B209;0;1;0;0;0;1
Nord Ovest;Lombardia;MI;B212;20,81;123,97;125,56;41,93;36,3;348,57
Nord Est;Veneto;PD;B213;2;17,5;11,51;7,5;8,8;47,31
Nord Ovest;Liguria;SP;B214;1;2;1,67;1;0;5,67
