AREA;REGIONE;PROVINCIA;2021_CodCom;NTN 2021 fino a 50 mq;NTN  2021 50 -| 85 mq;NTN 2021 85 -| 115 mq;NTN  2021 115 -| 145 mq;NTN  2021 oltre 145 mq;NTN 2021
Nord Est;Veneto;PD;A001;11,5;70,62;83,05;71,67;113,05;349,89
Nord Ovest;Lombardia;LO;A004;0;0;0;2;0;2
Nord Ovest;Lombardia;LC;A005;10;18,25;13,5;6,5;7,5;55,75
Centro;Toscana;SI;A006;5,17;24;29,42;20,44;17;96,03
Isole;Sardegna;OR;A007;2;0;0;2,08;11;15,08
Sud;Abruzzo;PE;A008;1;2;1;0;2;6
Nord Ovest;Lombardia;MI;A010;65,2;223,74;130,84;51,08;62,9;533,76
Sud;Basilicata;PZ;A013;0,88;1;3;1;0;5,88
Isole;Sicilia;RG;A014;2;14,89;10,5;10,54;12;49,93
Sud;Puglia;FG;A015;4,75;7;10,78;4;1;27,53
Nord Ovest;Piemonte;CN;A016;4;3;2;6;4;19
Sud;Basilicata;MT;A017;6,83;1,67;1;4;3;16,5
Sud;Abruzzo;AQ;A018;0;1;0;0;1;2
Centro;Lazio;RI;A019;0;0;1;0;0,33;1,33
Sud;Basilicata;PZ;A020;10;6;3;1;1;21
Sud;Campania;SA;A023;2;6;5,93;2,06;2,1;18,09
Sud;Campania;NA;A024;44,25;118,05;163,34;105,68;60,93;492,25
Isole;Sicilia;CT;A025;2;4,5;10,6;3;13,34;33,44
Isole;Sicilia;CT;A026;24,97;51,17;57,75;53,56;35,5;222,95
Isole;Sicilia;CT;A027;5,25;31,83;79,73;71,91;33,25;221,97
Isole;Sicilia;CT;A028;37,66;113,63;133,06;124,38;96,13;504,86
Isole;Sicilia;CT;A029;5;13,43;62,67;49,42;44,75;175,27
Centro;Lazio;FR;A032;1;1;0;0;2;4
Sud;Calabria;CS;A033;0;0;0;0;1;1
Nord Ovest;Lombardia;BS;A034;1;3,5;2;0;4,22;10,72
Centro;Marche;PS;A035;3;2;11;7;3;26
Nord Ovest;Lombardia;MN;A038;0;2,5;5,83;4,33;18,25;30,91
Nord Ovest;Lombardia;CR;A039;1,5;2;1,5;4;2,92;11,92
Centro;Lazio;VT;A040;3,5;13,17;1,67;11,42;13,92;43,68
Sud;Calabria;CS;A041;17,51;20;7,25;2,75;0;47,51
Sud;Calabria;VV;A043;1;0;1;3;3;8
Centro;Marche;AP;A044;8,2;12,84;12,7;4;7,56;45,3
Centro;Umbria;TR;A045;2;10,5;18,5;10,5;4;45,5
Centro;Marche;AP;A047;2;10;5;9,5;8;34,5
Sud;Puglia;BA;A048;7;28,33;55,61;61,37;51,12;203,43
Isole;Sicilia;CL;A049;3,67;1;4,83;0;0;9,5
Sud;Molise;CB;A050;1;1;0;1;1,5;4,5
Sud;Molise;IS;A051;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A052;10;83,1;104,2;29,5;47,83;274,63
Sud;Calabria;CS;A053;2,66;12,43;17,14;12;18;62,23
Centro;Lazio;FR;A054;4;6;3;1;0;14
Sud;Puglia;BA;A055;13,67;35,66;52,5;44,5;23,5;169,83
Isole;Sicilia;CT;A056;36,27;61,67;60,28;52;59,67;269,89
Nord Ovest;Lombardia;BG;A057;4;11;9,5;2;4,67;31,17
Nord Ovest;Lombardia;BG;A058;1;6;1;4,33;3,13;15,46
Nord Est;Veneto;RO;A059;19,78;49,5;74;42,48;45,09;230,85
Nord Ovest;Lombardia;BS;A060;0;11,78;28,5;15;16,11;71,39
Nord Est;Veneto;VR;A061;0;4,83;11,33;10;14,67;40,83
Centro;Lazio;RM;A062;3;4,25;1,89;2,17;0,08;11,39
Sud;Campania;NA;A064;93,03;105,99;112,71;63,37;38,96;414,06
Sud;Calabria;RC;A065;0;0;0;2;3;5
Nord Est;Emilia-Romagna;PC;A067;0;8,5;9;10,78;19,25;47,53
Sud;Campania;NA;A068;2;13;10,5;7;4;36,5
Isole;Sardegna;SS;A069;3;3,94;2;0;3,75;12,69
Isole;Sicilia;EN;A070;17,5;25,5;13;10,5;8;74,5
Centro;Toscana;PT;A071;1,67;51,73;46,17;24,67;48,33;172,57
Nord Ovest;Piemonte;AT;A072;1;9;1;2;20,68;33,68
Nord Ovest;Piemonte;TO;A074;2;13;5;4,67;12,5;37,17
Nord Est;Veneto;PD;A075;0;1;8;4;6,5;19,5
Nord Ovest;Lombardia;CR;A076;2;23,5;17;7,83;10,5;60,83
Sud;Calabria;RC;A077;0;0;0;0;0;0
Sud;Molise;IS;A080;2;3,4;1;7,96;9,21;23,57
Centro;Lazio;FR;A081;0;5,6;1;0;5;11,6
Nord Ovest;Lombardia;BS;A082;0;8;6,5;6,52;4,78;25,8
Nord Est;Veneto;BL;A083;5;18,5;19,5;8,97;6,17;58,14
Centro;Lazio;RM;A084;2;3;5,5;3;3;16,5
Nord Ovest;Lombardia;VA;A085;0;6,5;3,5;3,5;2,5;16
Nord Ovest;Lombardia;MI;A087;28,17;112;113,75;51,75;28,2;333,87
Nord Ovest;Piemonte;NO;A088;1;2;3,5;6,5;21,5;34,5
Isole;Sicilia;AG;A089;60,49;115,05;152,56;167,67;94,23;590
Sud;Campania;SA;A091;42;128,65;101,28;63,33;27,67;362,93
Centro;Marche;AN;A092;1;7,8;14;9,33;7;39,13
Nord Est;Veneto;VI;A093;1;3;0;3;9;16
Nord Ovest;Valle d'Aosta;AO;A094;21,66;51,16;14,25;3,07;4,5;94,64
Nord Ovest;Lombardia;MI;A096;1;10,5;7;4;3;25,5
Isole;Sardegna;OR;A097;0;0;0,75;1;0;1,75
Isole;Sicilia;EN;A098;6,5;8;7,7;9;9,96;41,16
Sud;Abruzzo;AQ;A100;1;7;3;3;1;15
Sud;Campania;AV;A101;0,22;4,22;3,23;7;19,17;33,84
Sud;Calabria;CS;A102;2;1;1;0,83;2;6,83
Sud;Calabria;CS;A105;0;7;1;1;0;9
