AREA;REGIONE;PROVINCIA;2021_CodCom;NTN_2021_Depositi_Pert;NTN_2021_Box
Centro;Lazio;FR;I716;6;2
Isole;Sardegna;OR;I717;0;0
Isole;Sardegna;OR;I718;0;0
Sud;Campania;SA;I720;8,01;16
Isole;Sardegna;OR;I721;0;0
Isole;Sicilia;AG;I723;4,25;3
Isole;Sardegna;CA;I724;0;0
Sud;Calabria;RC;I725;10,97;16,3
Centro;Toscana;SI;I726;58,66;411,35
Centro;Umbria;PG;I727;3,7;8
Centro;Toscana;FI;I728;26,92;156,75
Isole;Sardegna;NU;I730;0;2,38
Isole;Sardegna;SS;I732;2;0
Isole;Sardegna;CA;I734;2;2
Isole;Sardegna;CA;I735;0;0
Nord Ovest;Piemonte;NO;I736;0;0
Nord Ovest;Piemonte;AL;I738;3,5;8,5
Nord Ovest;Lombardia;PV;I739;0;4
Sud;Abruzzo;TE;I741;46,74;143,72
Isole;Sardegna;OR;I742;0;0
Isole;Sardegna;OR;I743;0;1
Sud;Calabria;VV;I744;1;1
Sud;Calabria;CZ;I745;5,67;0
Isole;Sicilia;ME;I747;6,5;0
Isole;Sardegna;NU;I748;0;2
Isole;Sardegna;OR;I749;0;0
Nord Ovest;Piemonte;CN;I750;0,34;1
Isole;Sardegna;NU;I751;2,33;8
Isole;Sardegna;CA;I752;14,11;53,92
Sud;Calabria;RC;I753;0;1
Isole;Sicilia;SR;I754;48,57;444,52
Sud;Campania;AV;I756;0;17
Isole;Sardegna;OR;I757;0;0
Centro;Marche;AN;I758;11;52,75
Nord Ovest;Lombardia;LC;I759;8,38;23
Nord Ovest;Lombardia;LC;I761;4,17;26
Isole;Sardegna;CA;I765;0;0
Nord Ovest;Piemonte;NO;I767;4;3,84
Centro;Marche;AP;I774;2;0
Nord Est;Veneto;VR;I775;18,02;80,63
Nord Est;Friuli- Venezia Giulia;UD;I777;1;3
Isole;Sardegna;OR;I778;0;0
Nord Est;Emilia-Romagna;FO;I779;10,04;25,75
Sud;Puglia;LE;I780;1;1
Nord Ovest;Piemonte;AT;I781;0;0
Nord Ovest;Lombardia;BS;I782;4,64;82,33
Nord Est;Veneto;VI;I783;4;12,83
Isole;Sicilia;SR;I785;3;5,22
Nord Ovest;Lombardia;MI;I786;52,34;193,34
Nord Est;Emilia-Romagna;RA;I787;1;36
Nord Ovest;Lombardia;CR;I790;2;5,5
Isole;Sardegna;OR;I791;0,93;2
Nord Ovest;Lombardia;VA;I793;23,45;57,04
Nord Ovest;Lombardia;VA;I794;8;57,23
Nord Ovest;Liguria;IM;I796;8;1
Isole;Sardegna;CA;I797;1;2
Nord Ovest;Piemonte;AL;I798;1;10
Nord Est;Veneto;PD;I799;2,25;37,5
Sud;Puglia;LE;I800;3;4,5
Nord Ovest;Lombardia;MN;I801;1;14,5
Nord Est;Emilia-Romagna;MO;I802;24;222,46
Nord Est;Emilia-Romagna;PR;I803;2;12
Sud;Abruzzo;AQ;I804;36,96;82,9
Sud;Campania;AV;I805;5,05;26
Nord Ovest;Piemonte;AL;I808;0;2
Sud;Campania;BN;I809;2;3,17
Nord Ovest;Lombardia;BG;I812;19;42,5
Nord Ovest;Lombardia;BG;I813;1;26,83
Nord Ovest;Lombardia;LO;I815;3;44,67
Nord Ovest;Piemonte;CN;I817;2;3
Nord Ovest;Lombardia;VA;I819;47,57;235,25
Sud;Campania;NA;I820;20,98;45,78
Nord Est;Veneto;VR;I821;17;145,6
Nord Ovest;Piemonte;CN;I822;18;61,33
Nord Ovest;Piemonte;CN;I823;10;22,69
Isole;Sicilia;CL;I824;12;16
Nord Ovest;Lombardia;PV;I825;1;4,5
Nord Est;Veneto;VR;I826;23,81;153,82
Nord Ovest;Lombardia;CR;I827;10;60,62
Nord Ovest;Lombardia;SO;I828;15,63;17,5
Nord Ovest;Lombardia;SO;I829;143,17;296,32
Nord Ovest;Lombardia;BG;I830;1;20,17
Nord Ovest;Lombardia;BS;I831;9;5
Centro;Lazio;LT;I832;15;12,44
Centro;Lazio;FR;I838;10,2;28,67
Nord Est;Emilia-Romagna;PR;I840;13,75;56,07
Centro;Toscana;GR;I841;9,72;8,25
Sud;Campania;AV;I843;0;1
Sud;Calabria;CZ;I844;1,8;0
Nord Ovest;Piemonte;BI;I847;8;12
Nord Ovest;Lombardia;LO;I848;11,67;60,26
Nord Ovest;Lombardia;CR;I849;22;91,33
Nord Est;Veneto;VR;I850;4;15
Isole;Sardegna;NU;I851;1;0
Nord Ovest;Liguria;GE;I852;14,25;31,33
Sud;Calabria;VV;I853;2;0
Sud;Calabria;VV;I854;1;1
Centro;Lazio;VT;I855;34,7;33,67
Nord Ovest;Lombardia;CO;I856;8;8
Nord Ovest;Piemonte;NO;I857;0;0
Nord Ovest;Lombardia;BG;I858;12,34;100,77
Nord Ovest;Lombardia;CO;I860;0,03;11,25
Isole;Sardegna;OR;I861;0;1
Sud;Campania;NA;I862;17,75;29,78
Isole;Sardegna;SS;I863;11,75;14,67
Isole;Sicilia;SR;I864;3,5;30,52
Nord Ovest;Lombardia;CR;I865;1;25
Nord Est;Veneto;BL;I866;7;15
Nord Est;Veneto;VI;I867;0;22,9
Nord Ovest;Piemonte;BI;I868;0;6
Nord Ovest;Lombardia;BG;I869;5,61;49,75
Sud;Calabria;CZ;I872;21,51;17,33
Nord Ovest;Lombardia;BG;I873;4;47,75
Sud;Calabria;CZ;I874;4,5;0
Sud;Calabria;CZ;I875;2,8;1
Nord Est;Veneto;BL;I876;0;1
Centro;Toscana;SI;I877;12,48;83,5
Nord Ovest;Lombardia;MI;I878;21,55;75,16
Nord Est;Veneto;VI;I879;5,46;68,46
Nord Ovest;Piemonte;NO;I880;0;11
Isole;Sicilia;ME;I881;19;12,67
Sud;Calabria;VV;I884;0;0,5
Sud;Campania;CE;I885;7;12,5
Nord Ovest;Piemonte;TO;I886;2;22
Sud;Puglia;LE;I887;1;6
Centro;Umbria;PG;I888;13,5;42,67
Isole;Sicilia;EN;I891;1;0
Centro;Lazio;LT;I892;4;15,92
Sud;Campania;AV;I893;1;17
Nord Ovest;Lombardia;PV;I894;1;10
Sud;Calabria;CS;I895;2;4,78
Sud;Calabria;CS;I896;15,16;14
Nord Ovest;Piemonte;AL;I901;4;4
Centro;Lazio;LT;I902;0;3
Nord Est;Emilia-Romagna;MO;I903;24,91;166,71
Nord Est;Friuli- Venezia Giulia;PN;I904;22,58;64,95
Sud;Calabria;VV;I905;0;0
Nord Ovest;Lombardia;CR;I906;2;13,5
Sud;Puglia;BA;I907;7;15,98
Nord Est;Veneto;VE;I908;20,5;454,4
Nord Ovest;Lombardia;CR;I909;0;5
Sud;Molise;CB;I910;2;2
Nord Ovest;Piemonte;AL;I911;1;4
Centro;Marche;AP;I912;12,88;49,5
Nord Ovest;Lombardia;CR;I914;10;102,08
Nord Ovest;Lombardia;BG;I916;4;22,11
Sud;Basilicata;PZ;I917;2;0
Nord Ovest;Lombardia;BG;I919;9;57,5
Centro;Umbria;PG;I921;68,58;194,03
Sud;Abruzzo;PE;I922;24,48;158,15
Sud;Puglia;LE;I923;4;2,4
Nord Ovest;Liguria;SV;I926;31,67;173,17
Nord Est;Veneto;TV;I927;34;153,82
Nord Ovest;Lombardia;SO;I928;7;11
Sud;Calabria;CZ;I929;5;4
Sud;Puglia;LE;I930;6;15,5
Centro;Marche;AN;I932;8,36;4,3
Nord Ovest;Lombardia;CR;I935;2;9,25
Sud;Calabria;RC;I936;0;1
Sud;Calabria;CZ;I937;5,33;4
Nord Est;Veneto;PD;I938;3;25,22
Nord Ovest;Piemonte;AL;I941;9,5;20,3
Centro;Toscana;LU;I942;7;1
Nord Ovest;Lombardia;CO;I943;3;2
Sud;Calabria;VV;I945;0;0
Nord Ovest;Liguria;SV;I946;28,64;24
Nord Ovest;Liguria;SV;I947;5;2
Sud;Puglia;LE;I950;3,67;3,5
Nord Ovest;Lombardia;BG;I951;30,19;203,93
Nord Est;Veneto;RO;I953;15;30,64
Sud;Basilicata;MT;I954;10,5;9,33
Sud;Calabria;RC;I955;0;1
Sud;Calabria;RC;I956;2;1
Centro;Lazio;RI;I959;4;17
Sud;Campania;SA;I960;1;0
Sud;Puglia;FG;I962;1;7
Sud;Puglia;FG;I963;1;17
Nord Est;Veneto;VE;I965;4;79,58
Nord Ovest;Lombardia;PV;I968;29;109,68
Nord Ovest;Piemonte;TO;I969;0;0
Nord Ovest;Piemonte;TO;I970;22,53;60,5
Centro;Lazio;FR;I973;2;1
Nord Est;Friuli- Venezia Giulia;UD;I974;0;0
Nord Ovest;Piemonte;VB;I976;19,49;80,48
Nord Ovest;Piemonte;AL;I977;4;23,5
Sud;Campania;NA;I978;9;8
Nord Ovest;Piemonte;BI;I980;1,5;5
Centro;Umbria;TR;I981;15;28,5
Sud;Calabria;KR;I982;1,11;6
Nord Ovest;Piemonte;VC;I984;1;4
Nord Ovest;Piemonte;CN;I985;2;0
Nord Ovest;Lombardia;BG;I986;2;22
Sud;Campania;AV;I990;0;5,75
Centro;Toscana;AR;I991;4;52,96
Centro;Lazio;RM;I992;46,41;35,75
Sud;Campania;CE;I993;13,86;33
Nord Ovest;Lombardia;LC;I994;2;2
Isole;Sardegna;CA;I995;0;0
Nord Ovest;Lombardia;LC;I996;0;7,75
Nord Ovest;Lombardia;BG;I997;11,5;51,5
Nord Ovest;Lombardia;MI;I998;28;112,5
Nord Ovest;Lombardia;BS;L002;8;40,5
Nord Ovest;Lombardia;VA;L003;12,5;66,13
Sud;Campania;AV;L004;1;5
Isole;Sardegna;NU;L006;0,2;2,2
Nord Ovest;Piemonte;NO;L007;0;22
Sud;Puglia;LE;L008;1;4
Centro;Lazio;FR;L009;2,33;2,5
Sud;Puglia;LE;L010;3;0
Sud;Puglia;LE;L011;2;64,17
Nord Ovest;Piemonte;TO;L013;19;42,33
Nord Est;Veneto;TV;L014;19,07;131,97
Nord Ovest;Lombardia;MN;L015;2;16,5
Isole;Sicilia;CL;L016;0;2
Centro;Lazio;VT;L017;15,5;47,05
Nord Est;Friuli- Venezia Giulia;UD;L018;3;2
Centro;Toscana;LI;L019;32,17;22,67
Nord Ovest;Lombardia;MN;L020;14,07;231,94
Nord Ovest;Lombardia;LC;L022;1;8
Isole;Sardegna;OR;L023;0;0
Nord Ovest;Liguria;IM;L024;83,32;68,77
Sud;Abruzzo;AQ;L025;26,67;38,75
