AREA;Regione;prov;2014_CodFitt;NTN 2014 fino a 50 mq;NTN 2014 50 -| 85 mq;NTN 2014 85 -| 115 mq;NTN 2014 115 -| 145 mq;NTN 2014 oltre 145;NTN 2014
Nord Ovest;Lombardia;BS;G801;3;15,5;5,5;4;7;35
Nord Ovest;Lombardia;BS;G815;1,6;2;2,5;4,03;3,06;13,19
Nord Ovest;Lombardia;BS;G818;2,5;6,5;9,34;6,5;9,66;34,5
Nord Ovest;Lombardia;BS;G844;9,13;34,32;6;3,52;3;55,97
Nord Ovest;Lombardia;BS;G859;1;12,5;7,5;4;10,77;35,77
Nord Ovest;Lombardia;BS;G869;2;8;10,83;7,5;5,25;33,58
Nord Ovest;Lombardia;BS;G959;3;7;6,25;2,66;8;26,91
Nord Ovest;Lombardia;BS;G977;0;0;2,67;3;5,33;11
Nord Ovest;Lombardia;BS;H043;0;0,5;0,5;2;4,1;7,1
Nord Ovest;Lombardia;BS;H050;1;2;1;0;0;4
Nord Ovest;Lombardia;BS;H055;0;10;4;5,5;4;23,5
Nord Ovest;Lombardia;BS;H077;2;0;0;2;3;7
Nord Ovest;Lombardia;BS;H078;0;12;19;5,17;10,22;46,39
Nord Ovest;Lombardia;BS;H086;0;10;1,68;4;3,5;19,18
Nord Ovest;Lombardia;BS;H140;0;4,5;6,12;7,12;14,29;32,03
Nord Ovest;Lombardia;BS;H230;1;1;0;4;7,5;13,5
Nord Ovest;Lombardia;BS;H256;0;21,11;30,5;24,01;14,11;89,73
Nord Ovest;Lombardia;BS;H410;1;8;7;5;8;29
Nord Ovest;Lombardia;BS;H477;2;27;26,28;15,61;19,33;90,22
Nord Ovest;Lombardia;BS;H484;1;6;9;2;8,5;26,5
Nord Ovest;Lombardia;BS;H525;8;15,5;21;11,5;13,58;69,58
Nord Ovest;Lombardia;BS;H598;6;27;26,59;21,42;25,75;106,76
Nord Ovest;Lombardia;BS;H630;0;3,17;8;1;3,5;15,67
Nord Ovest;Lombardia;BS;H650;2;1,5;5,25;2;3,17;13,92
Nord Ovest;Lombardia;BS;H699;0,58;7,13;12,63;3;2,5;25,84
Nord Ovest;Lombardia;BS;H717;2;35;30,89;13,33;17;98,22
Nord Ovest;Lombardia;BS;H838;3;17;9;4,67;9,81;43,48
Nord Ovest;Lombardia;BS;H865;0;0;8;2,83;4;14,83
Nord Ovest;Lombardia;BS;I412;0;15;14,17;5;5,5;39,67
Nord Ovest;Lombardia;BS;I433;8;18,25;22,08;13,33;5,5;67,16
Nord Ovest;Lombardia;BS;I476;0;1,5;3;0;2;6,5
Nord Ovest;Lombardia;BS;I588;0;0;1;1;2;4
Nord Ovest;Lombardia;BS;I607;0;1;0;0;0;1
Nord Ovest;Lombardia;BS;I631;5;1;0,5;2;3;11,5
Nord Ovest;Lombardia;BS;I633;34,16;79,89;28,75;19,16;11;172,96
Nord Ovest;Lombardia;BS;I782;1;10,5;8,5;5;2;27
Nord Ovest;Lombardia;BS;I831;3,5;2;2;2;0;9,5
Nord Ovest;Lombardia;BS;L002;1;10,5;5;1;4;21,5
Nord Ovest;Lombardia;BS;L094;7;20,17;5;2;1;35,17
Nord Ovest;Lombardia;BS;L169;1;10,83;8,78;4,83;1,5;26,94
Nord Ovest;Lombardia;BS;L210;2;10,5;10,25;6;4,5;33,25
Nord Ovest;Lombardia;BS;L312;21,5;66,16;21,08;21,16;17,52;147,42
Nord Ovest;Lombardia;BS;L339;1;18,33;25;7,42;19,75;71,5
Nord Ovest;Lombardia;BS;L372;13;19,5;8;8,63;5,5;54,63
Nord Ovest;Lombardia;BS;L380;0;2,5;4,54;4,66;4;15,7
Nord Ovest;Lombardia;BS;L406;0;4;0;0;0;4
Nord Ovest;Lombardia;BS;L494;0;3;3,33;1;4,5;11,83
Nord Ovest;Lombardia;BS;L626;0;5;3,5;1;1;10,5
Nord Ovest;Lombardia;BS;L777;2;6;7,64;10;20,5;46,14
Nord Ovest;Lombardia;BS;L778;0;2;3,75;7;6;18,75
Nord Ovest;Lombardia;BS;L812;0;5;4;4,5;4,5;18
Nord Ovest;Lombardia;BS;L816;8,5;21,6;4,5;1;0;35,6
Nord Ovest;Lombardia;BS;L919;5;17;18,66;22,5;8,22;71,38
Nord Ovest;Lombardia;BS;L923;0;0;7;0,33;1,66;8,99
Nord Ovest;Lombardia;BS;L995;3,5;12,5;12,83;4,25;7;40,08
Nord Ovest;Lombardia;BS;M065;2;4,5;1;0;2;9,5
Nord Ovest;Lombardia;BS;M070;0;1;2,5;1;4;8,5
Nord Ovest;Lombardia;BS;M104;1;7,5;19,7;6,5;6,17;40,87
Nord Ovest;Lombardia;BS;M188;1;3;2,78;2;3,22;12
Nord Ovest;Lombardia;BS;M312;4;45;25,17;29,34;38,8;142,31
Nord Ovest;Lombardia;CO;A143;3;11,34;3;4,5;4,82;26,66
Nord Ovest;Lombardia;CO;A153;2;11;6,33;4;8;31,33
Nord Ovest;Lombardia;CO;A164;2;8;7;6;9;32
Nord Ovest;Lombardia;CO;A224;0;0,17;1,67;0;1;2,84
Nord Ovest;Lombardia;CO;A249;0;7,5;8,37;2;7,5;25,37
Nord Ovest;Lombardia;CO;A319;1;5,33;4,5;1;0;11,83
Nord Ovest;Lombardia;CO;A333;3;12,5;10,61;7,48;8;41,59
Nord Ovest;Lombardia;CO;A391;1,13;6,55;6,76;2;3;19,44
Nord Ovest;Lombardia;CO;A430;0;10;15;5;3;33
Nord Ovest;Lombardia;CO;A476;3;10,5;5;5;2;25,5
Nord Ovest;Lombardia;CO;A670;0;3;1;0,5;1;5,5
Nord Ovest;Lombardia;CO;A778;0;1;0;0;0,5;1,5
Nord Ovest;Lombardia;CO;A791;0;3;5;6;3;17
Nord Ovest;Lombardia;CO;A870;0;11,5;11;5;4,5;32
Nord Ovest;Lombardia;CO;A898;0;1;4;4;8;17
Nord Ovest;Lombardia;CO;A904;0;1;0;0;2;3
Nord Ovest;Lombardia;CO;A905;1;2,1;2;1,67;5,04;11,81
Nord Ovest;Lombardia;CO;B134;2;16,5;11;5;12,5;47
Nord Ovest;Lombardia;CO;B144;0;4;9;1;0,5;14,5
Nord Ovest;Lombardia;CO;B172;0;0;1;0;3;4
Nord Ovest;Lombardia;CO;B218;2,08;4,8;6,32;1;7;21,2
Nord Ovest;Lombardia;CO;B262;1;8,5;5;2,8;6,22;23,52
Nord Ovest;Lombardia;CO;B313;1;7,97;16,5;8;9,34;42,81
Nord Ovest;Lombardia;CO;B346;2;24,06;15,46;10,5;14,62;66,64
Nord Ovest;Lombardia;CO;B355;0;0,5;0;0;0;0,5
Nord Ovest;Lombardia;CO;B359;1;3;4;3,67;2,67;14,34
Nord Ovest;Lombardia;CO;B513;10,06;13,04;14;9;10;56,1
Nord Ovest;Lombardia;CO;B639;9;78,49;71,51;31,38;31,36;221,74
Nord Ovest;Lombardia;CO;B641;3;12,04;5;4;4;28,04
Nord Ovest;Lombardia;CO;B653;1;9,5;7;4;5;26,5
Nord Ovest;Lombardia;CO;B730;1;2;6,15;1;4;14,15
Nord Ovest;Lombardia;CO;B742;0;3;5;2;3;13
Nord Ovest;Lombardia;CO;B778;1;11;8;10,33;11;41,33
Nord Ovest;Lombardia;CO;B785;4;7;5;5;1;22
Nord Ovest;Lombardia;CO;B851;3;13,17;16,83;12;8;53
Nord Ovest;Lombardia;CO;B942;1;1;2;1;1;6
Nord Ovest;Lombardia;CO;B974;0;2;2;1;1;6
Nord Ovest;Lombardia;CO;B977;1;13,5;11,5;7;5,12;38,12
Nord Ovest;Lombardia;CO;C020;0,5;14,5;7;8;11;41
Nord Ovest;Lombardia;CO;C206;2;7;1;0;3;13
