Area;Regione;Provincia;2024_CodCom;NTN 2024 fino a 50 mq;NTN 2024 50 -| 85 mq;NTN 2024 85 -| 115 mq;NTN 2024 115 -| 145 mq;NTN 2024 oltre 145 mq;NTN_2024
Nord Est;Veneto;PD;A001;6,25;48,72;66,7;77,87;92,44;291,98
Nord Ovest;Lombardia;LO;A004;0;0;0;0;1;1
Nord Ovest;Lombardia;LC;A005;6,5;13;10,09;2,67;8;40,26
Centro;Toscana;SI;A006;5,5;29,17;23,33;17,5;14;89,5
Isole;Sardegna;OR;A007;0;2;2;5;3;12
Sud;Abruzzo;PE;A008;1;1;2;1;1,5;6,5
Nord Ovest;Lombardia;MI;A010;30,5;230,24;112,17;53,5;34,75;461,16
Sud;Basilicata;PZ;A013;0,9;2;1,45;0;1;5,35
Isole;Sicilia;RG;A014;11;26;13,72;13,17;13;76,89
Sud;Puglia;FG;A015;9,67;8,47;14,92;1;2;36,06
Nord Ovest;Piemonte;CN;A016;7;5;2;1;5;20
Sud;Basilicata;MT;A017;3;6;4,75;0;0;13,75
Sud;Abruzzo;AQ;A018;1;4;0;1;3;9
Centro;Lazio;RI;A019;0;0;0,5;1;1,1;2,6
Sud;Basilicata;PZ;A020;5;9;2;3,5;0;19,5
Sud;Campania;SA;A023;0;7,22;1,81;3,56;3;15,59
Sud;Campania;NA;A024;71,17;120,42;115,86;73,42;59,86;440,73
Isole;Sicilia;CT;A025;0;4,5;5,75;7,39;6;23,64
Isole;Sicilia;CT;A026;24,49;66,54;66,75;29,67;34,17;221,62
Isole;Sicilia;CT;A027;4,83;47,85;94,84;82,96;48,5;278,98
Isole;Sicilia;CT;A028;36,36;106,51;156,74;111,68;96,75;508,04
Isole;Sicilia;CT;A029;4;16,34;48,55;44,94;34,07;147,9
Centro;Lazio;FR;A032;1;4;2,25;0;1;8,25
Sud;Calabria;CS;A033;0;1;1;0;1,4;3,4
Nord Ovest;Lombardia;BS;A034;0;0;2;2;11,5;15,5
Centro;Marche;PS;A035;1;4,67;8,5;3;8,67;25,84
Nord Ovest;Lombardia;MN;A038;2,5;6;5,33;7,5;19,42;40,75
Nord Ovest;Lombardia;CR;A039;0;2;0;2;9;13
Centro;Lazio;VT;A040;4;13,67;17;13,83;16,5;65
Sud;Calabria;CS;A041;18,05;16,8;18;7,61;2,11;62,57
Sud;Calabria;VV;A043;0;0;1,78;2;2,5;6,28
Centro;Marche;AP;A044;11;11,75;4,72;1;2,29;30,76
Centro;Umbria;TR;A045;4;9;13,89;17,75;10,5;55,14
Centro;Marche;AP;A047;3;10;19;3,5;4;39,5
Sud;Puglia;BA;A048;29;41,89;53,14;67,59;40,17;231,79
Isole;Sicilia;CL;A049;2;6;3;4;2;17
Sud;Molise;CB;A050;3;2;0;0;1;6
Sud;Molise;IS;A051;0;1;0;0;0;1
Nord Ovest;Piemonte;AL;A052;20,84;101;103,02;43,5;38,5;306,86
Sud;Calabria;CS;A053;3,5;10,8;12,5;13,5;9;49,3
Centro;Lazio;FR;A054;3;6,33;6;7,83;6;29,16
Sud;Puglia;BA;A055;12,66;31,5;59,72;31,61;34,84;170,33
Isole;Sicilia;CT;A056;30,47;49,02;65,05;46,84;63,17;254,55
Nord Ovest;Lombardia;BG;A057;0;2;4,5;9,24;8,5;24,24
Nord Ovest;Lombardia;BG;A058;2;5,5;9;1,33;1,75;19,58
Nord Est;Veneto;RO;A059;13;66,5;65;39,5;42,54;226,54
