Area;Regione;Provincia;2025_CodCom;NTN_2025_Depositi_Pert;NTN_2025_Box
Nord Ovest;Piemonte;VB;A742;11;12,5
Sud;Basilicata;PZ;A743;6,52;7,88
Nord Ovest;Lombardia;LC;A745;21,5;53,06
Sud;Abruzzo;TE;A746;4;17
Nord Est;Emilia-Romagna;RN;A747;41,41;228,92
Centro;Lazio;RM;A749;2,5;4
Nord Ovest;Piemonte;CN;A750;1;0,5
Nord Ovest;Lombardia;MI;A751;12,12;47,58
Nord Ovest;Piemonte;NO;A752;20,5;99,5
Sud;Campania;CE;A755;10;18
Sud;Campania;SA;A756;1;1
Nord Est;Veneto;BL;A757;120,21;386,76
Nord Ovest;Lombardia;MI;A759;30,3;84,66
Centro;Marche;AP;A760;2;3
Sud;Molise;IS;A761;1;0
Sud;Calabria;CS;A762;4;2
Centro;Lazio;FR;A763;0;0
Isole;Sicilia;PA;A764;3,5;0
Centro;Lazio;RI;A765;3;0
Isole;Sicilia;CT;A766;32,07;112,56
Sud;Calabria;CS;A768;2;0
Centro;Marche;AN;A769;3,5;3,5
Nord Ovest;Piemonte;AT;A770;0,75;4
Nord Est;Emilia-Romagna;BO;A771;13,42;40,33
Sud;Calabria;KR;A772;0,56;0,56
Sud;Calabria;CS;A773;20;46,5
Nord Ovest;Piemonte;CN;A774;4;2
Isole;Sardegna;NU;A776;0;0
Nord Ovest;Lombardia;SO;A777;1;2
Nord Ovest;Lombardia;CO;A778;1,84;1
Nord Ovest;Piemonte;CN;A779;8;21
Sud;Calabria;RC;A780;0;1
Isole;Sardegna;SS;A781;0,5;1
Nord Ovest;Piemonte;CN;A782;0;3
Sud;Campania;BN;A783;97,89;166,57
Nord Ovest;Piemonte;BI;A784;2;9,5
Nord Est;Emilia-Romagna;BO;A785;20;67,27
Nord Ovest;Lombardia;BG;A786;20,19;31,8
Nord Ovest;Lombardia;SO;A787;15;11
Nord Est;Emilia-Romagna;PR;A788;11,25;12,5
Isole;Sardegna;SS;A789;2,5;4,89
Nord Ovest;Lombardia;CO;A791;4,84;37
Nord Ovest;Lombardia;PV;A792;2,83;26,5
Nord Ovest;Piemonte;AL;A793;1;5
Nord Ovest;Lombardia;BG;A794;773,66;1974,45
Nord Est;Veneto;RO;A795;0;7,23
Nord Ovest;Liguria;SV;A796;12,08;52,25
Nord Ovest;Piemonte;CN;A798;0;0
Nord Ovest;Lombardia;BS;A799;3;23
Sud;Basilicata;MT;A801;23,5;21,67
Nord Ovest;Lombardia;MI;A802;55,42;215
Nord Ovest;Lombardia;MI;A804;2;18,29
Nord Ovest;Piemonte;CN;A805;17;34,6
Nord Est;Emilia-Romagna;FO;A809;28,5;141,52
Nord Est;Friuli- Venezia Giulia;UD;A810;1;8,5
Nord Ovest;Lombardia;LO;A811;0;19,75
Nord Ovest;Piemonte;AT;A812;0;1,5
Nord Ovest;Piemonte;AL;A813;0;0
Nord Ovest;Lombardia;BG;A815;1;7,38
Nord Ovest;Lombardia;BS;A816;3;9,27
Nord Ovest;Lombardia;BS;A817;2,25;19
Nord Ovest;Lombardia;MI;A818;64,4;197,57
Nord Ovest;Lombardia;VA;A819;7,67;24,64
Nord Ovest;Lombardia;MI;A820;14,74;20,83
Nord Est;Emilia-Romagna;PC;A823;3;6,5
Nord Ovest;Lombardia;VA;A825;19,83;80,01
Nord Ovest;Lombardia;VA;A826;18,17;64,22
Isole;Sardegna;SS;A827;1;1
Nord Est;Emilia-Romagna;PC;A831;10,5;30,5
Centro;Umbria;PG;A832;8;30
Nord Ovest;Piemonte;VB;A834;6,5;11,86
Centro;Umbria;PG;A835;16,5;22,5
Nord Ovest;Liguria;SP;A836;19;5
Nord Est;Veneto;VR;A837;1;19,25
Isole;Sicilia;CT;A841;30,88;38,65
Sud;Calabria;CS;A842;0;0,6
Sud;Calabria;RC;A843;5;6
Nord Ovest;Piemonte;NO;A844;1;10
Nord Ovest;Lombardia;VA;A845;8,2;38
Nord Ovest;Lombardia;BG;A846;2;23
Nord Ovest;Piemonte;VC;A847;3,67;13
Nord Ovest;Lombardia;SO;A848;4;3
Nord Ovest;Lombardia;MI;A849;64,61;165,76
Nord Est;Emilia-Romagna;RE;A850;17;109,33
Centro;Toscana;AR;A851;14,67;45,67
Centro;Toscana;LI;A852;4,26;20
Nord Ovest;Piemonte;TO;A853;12;22,35
Sud;Puglia;FG;A854;5;8,5
Nord Est;Friuli- Venezia Giulia;UD;A855;3;12
Isole;Sardegna;OR;A856;0;0
Centro;Lazio;VT;A857;0,08;10,08
Nord Ovest;Piemonte;BI;A859;358,4;569,87
Nord Ovest;Lombardia;BS;A861;14,63;12
Centro;Toscana;PI;A864;9,5;64,81
Nord Ovest;Lombardia;CO;A870;13,92;68,21
Nord Ovest;Lombardia;MI;A872;24,16;108,86
Sud;Puglia;BA;A874;4,2;11,04
