Area;Regione;Provincia;2025_CodCom;NTN 2025 fino a 50 mq;NTN 2025 50 -| 85 mq;NTN 2025 85 -| 115 mq;NTN 2025 115 -| 145 mq;NTN 2025 oltre 145 mq;NTN_2025
Isole;Sardegna;CA;B250;6,75;22;5;0;1;34,75
Centro;Toscana;PT;B251;8;46,03;30,12;15,17;27,97;127,29
Nord Ovest;Lombardia;SO;B255;1,61;2,94;8;2,83;6,48;21,86
Sud;Abruzzo;AQ;B256;0;3;1,33;3,17;4;11,5
Nord Ovest;Lombardia;VA;B258;0;4;4,5;9;17,5;35
Nord Est;Friuli- Venezia Giulia;UD;B259;0;6,5;13,17;10,83;20,33;50,83
Nord Ovest;Lombardia;LC;B261;3,02;24,33;11;12;7;57,35
Nord Ovest;Lombardia;CO;B262;4;8,5;13,15;7;6,67;39,32
Isole;Sardegna;SS;B264;0;0;0;0;1;1
Isole;Sardegna;SS;B265;0;0;0;0;3;3
Sud;Campania;SA;B266;0;4;3;1;3,75;11,75
Sud;Campania;BN;B267;0;2;3,75;1,61;2,5;9,86
Sud;Abruzzo;CH;B268;0;0;2;0;0;2
Centro;Toscana;SI;B269;7,33;11;9,25;8;12;47,58
Sud;Calabria;CS;B270;1;2;0;1;2;6
Nord Ovest;Lombardia;MI;B272;3;8;28,17;14,78;18,33;72,28
Isole;Sardegna;CA;B274;0;1;1;0;2,67;4,67
Isole;Sicilia;AG;B275;3;2;4;4;4,5;17,5
Isole;Sardegna;SS;B276;0;0;0;0;3,9;3,9
Nord Ovest;Piemonte;TO;B278;1;3,5;6;2;4;16,5
Nord Ovest;Piemonte;TO;B279;0;0;2;2;8,95;12,95
Nord Ovest;Piemonte;VC;B280;0;0;3;1;3;7
Isole;Sardegna;OR;B281;1;0;0;1;4,67;6,67
Nord Ovest;Liguria;GE;B282;1;29,17;36,78;17,67;7,83;92,45
Nord Ovest;Piemonte;TO;B284;1;6;6;3,5;5;21,5
Nord Ovest;Piemonte;CN;B285;6,33;37,83;40,72;22;32,33;139,21
Nord Ovest;Lombardia;MI;B286;3;28,5;18,9;11;12,67;74,07
Isole;Sicilia;SR;B287;1;6;3,75;0;2;12,75
Isole;Sicilia;TP;B288;1;0;4;11;9,42;25,42
Nord Ovest;Lombardia;MI;B289;5;35,55;23,74;15;16,3;95,59
Nord Ovest;Lombardia;MI;B292;6;59,25;35,33;8;8,78;117,36
Nord Est;Emilia-Romagna;PR;B293;1;15;31,1;17,25;33,4;97,75
Sud;Abruzzo;PE;B294;0;5;8,67;1;2;16,67
Sud;Molise;CB;B295;0;8;2;3;4,28;17,28
Nord Est;Veneto;VR;B296;12,5;57,56;70,55;51,5;51,89;244
Nord Ovest;Piemonte;TO;B297;6;30,5;25,53;14,9;15,25;92,18
Nord Ovest;Lombardia;VA;B300;85,73;505,33;373,7;192,45;209,06;1366,27
Nord Ovest;Lombardia;MI;B301;13;62,17;58,5;39,9;48,44;222,01
Isole;Sicilia;CL;B302;23;22,5;14,92;8;15,5;83,92
Centro;Toscana;PI;B303;4,5;25,83;10;11;27,83;79,16
Nord Est;Veneto;VR;B304;3;18,66;21,5;17;20,83;80,99
Nord Ovest;Piemonte;TO;B305;2;25,5;33,25;16,6;16,83;94,18
Nord Ovest;Piemonte;AT;B306;1;7;8,67;2;15,67;34,34
Nord Est;Friuli- Venezia Giulia;UD;B309;0;7;16,5;7;25;55,5
Nord Ovest;Lombardia;BG;B310;1;10;36,75;17,25;16,81;81,81
Nord Ovest;Piemonte;AL;B311;1,5;9,4;8,83;2,8;4,8;27,33
Nord Ovest;Lombardia;VA;B312;2,67;3;2;3,5;0;11,17
Nord Ovest;Lombardia;CO;B313;3;26,4;17;14,78;22;83,18
Isole;Sardegna;OR;B314;2;25,44;23,13;14,34;22,57;87,48
Isole;Sicilia;PA;B315;7;21,66;21,5;9,5;15,75;75,41
Sud;Molise;IS;B317;0;2,78;0;1,5;1,5;5,78
Sud;Calabria;KR;B319;3;3;0;3,5;1,5;11
Nord Ovest;Lombardia;VA;B326;5,76;7;10;9;16,17;47,93
Nord Est;Emilia-Romagna;RE;B328;5;57,67;34,89;9,48;31;138,04
Nord Est;Emilia-Romagna;PC;B332;0;12;32,83;16,78;18,67;80,28
Nord Est;Veneto;PD;B345;0;49,34;67,15;41;37,92;195,41
Nord Ovest;Lombardia;CO;B346;12;32,13;42,83;15,46;15;117,42
Nord Est;Veneto;TV;B349;3;21;13,5;17,25;24,67;79,42
Nord Ovest;Piemonte;TO;B350;0;6;17;6;19;48
Sud;Campania;SA;B351;2;2;6,5;6;4;20,5
Centro;Marche;PS;B352;2;25,28;25,58;17,03;30,46;100,35
Isole;Sardegna;CA;B354;156,64;549,11;503,91;395,52;316,45;1921,63
Nord Ovest;Lombardia;CO;B355;8;20;2;3;2;35
Sud;Puglia;FG;B357;7;15,78;18,89;11;7;59,67
Sud;Abruzzo;AQ;B358;2;3;1;0;1;7
Sud;Campania;CE;B361;0;0;1;0;9,5;10,5
Sud;Campania;CE;B362;1;1;11;4;11,5;28,5
Nord Ovest;Lombardia;BS;B365;1;8,5;7;4;7;27,5
Nord Ovest;Lombardia;SO;B366;3;2;1;3;3,94;12,94
Sud;Campania;AV;B367;0;2;1;0;0,75;3,75
Nord Ovest;Lombardia;VA;B368;2;27,5;33,5;16,69;33,43;113,12
Nord Ovest;Liguria;SV;B369;12;56,67;86,17;40;22;216,84
Sud;Campania;NA;B371;42,58;61,62;87,19;45,19;31,67;268,25
Sud;Campania;AV;B374;0;4;6,17;6;2;18,17
Nord Est;Veneto;BL;B375;4,01;11,84;9,17;4,22;3,67;32,91
Nord Ovest;Piemonte;AT;B376;0;0;1;3;14,5;18,5
Isole;Sicilia;AG;B377;1;0;4;0,75;4;9,75
Isole;Sardegna;SS;B378;1;13;7,33;2,33;12;35,66
Sud;Calabria;RC;B379;0;0;0;0;1;1
Nord Ovest;Piemonte;VB;B380;3;3;4;3;1;14
Isole;Sicilia;EN;B381;5;10,42;6;6,5;6;33,92
Sud;Abruzzo;AQ;B382;0;0;3;0;0;3
Isole;Sardegna;CA;B383;6;36,88;17;12,5;14,25;86,63
Isole;Sicilia;CT;B384;16;20;14,75;14,74;13,83;79,32
Isole;Sicilia;TP;B385;9;14,92;20,77;15;17;76,69
Nord Ovest;Lombardia;PV;B387;2,08;4;5,57;4;11,5;27,15
Centro;Lazio;VT;B388;6;7;2,5;1;1;17,5
Centro;Toscana;PI;B390;3;18;23;11;29,9;84,9
Sud;Basilicata;MT;B391;4;4;0,94;0;1;9,94
Centro;Toscana;PI;B392;6;70,25;62,5;26,5;28,67;193,92
Nord Ovest;Lombardia;BG;B393;4;22,34;14,5;24,63;20,84;86,31
Nord Ovest;Lombardia;BS;B394;11,32;47,5;39,08;25,17;54,33;177,4
Nord Ovest;Lombardia;BG;B395;4;17,75;20,5;17,75;14;74
Nord Ovest;Lombardia;LC;B396;5,08;30,53;28,75;11;17,85;93,21
Centro;Marche;MC;B398;1;1,83;2;4,63;3,26;12,72
Nord Est;Emilia-Romagna;BO;B399;7,5;69,5;83,67;41,01;19,11;220,79
Nord Est;Veneto;VR;B402;4;23,75;46,6;19,86;25,2;119,41
Nord Est;Veneto;VI;B403;2;27,67;29,17;23,21;56,75;138,8
Nord Est;Emilia-Romagna;PC;B405;3;5,5;5;6,48;12,38;32,36
Centro;Toscana;FI;B406;17;89,33;58,83;37,29;40,1;242,55
Nord Est;Emilia-Romagna;PR;B408;4;12;19;9;11,17;55,17
Nord Ovest;Liguria;SV;B409;1;7;6;4;7;25
Nord Ovest;Liguria;SP;B410;0;5;4,75;3,5;4,89;18,14
Sud;Puglia;LE;B413;5;10,42;10;14,25;24,5;64,17
Sud;Campania;AV;B415;6;20,67;10;2;6,33;45
Nord Ovest;Liguria;SV;B416;6;18;9;6;5;44
Nord Ovest;Piemonte;BI;B417;0;1;0;1;1;3
Nord Ovest;Piemonte;AT;B418;3;3,5;6;4;18,52;35,02
Nord Ovest;Lombardia;LC;B423;3,02;38,57;50,04;23;21;135,63
Sud;Calabria;CS;B424;9,83;11,28;3;2;0,67;26,78
Nord Ovest;Piemonte;AT;B425;0;0;2;0;11,33;13,33
Sud;Calabria;CS;B426;2;1;1,04;1;1;6,04
Isole;Sicilia;AG;B427;5;9;6;6,59;5,5;32,09
Isole;Sicilia;CT;B428;37,34;111,85;113,34;92,26;103,7;458,49
Isole;Sicilia;CL;B429;101,75;188,04;182,25;178,71;107,86;758,61
Isole;Sicilia;PA;B430;0,5;8,5;3,44;2;4,33;18,77
Nord Ovest;Piemonte;NO;B431;0;2;11;4,5;4;21,5
Nord Est;Veneto;RO;B432;0;1;1;1;12;15
Nord Est;Veneto;VI;B433;0;1;3;2;12,5;18,5
Nord Ovest;Lombardia;BG;B434;7;54;35,34;28,1;20,67;145,11
Nord Ovest;Piemonte;TO;B435;3;26,99;42,5;15;34;121,49
Nord Ovest;Lombardia;BS;B436;0,5;4;12,5;7,5;10,67;35,17
Sud;Campania;SA;B437;0;3;2;2;5;12
Nord Ovest;Lombardia;CR;B439;0;1;1;2,5;8;12,5
Sud;Basilicata;PZ;B440;1;1;4;0;2,5;8,5
Nord Est;Veneto;VI;B441;0;1;2;7;6,5;16,5
Nord Ovest;Lombardia;BG;B442;5;21,5;27;13;13;79,5
Sud;Basilicata;PZ;B443;0;2;1;0;0;3
Sud;Campania;BN;B444;0;0;5,5;3;6,92;15,42
Sud;Campania;CE;B445;3;4;1;7,2;13;28,2
Centro;Umbria;TR;B446;2;6,67;7;3;10;28,67
Nord Ovest;Lombardia;PV;B447;0;0;0;0;1;1
Nord Ovest;Lombardia;MI;B448;1;3;3;6;5;18
Nord Ovest;Lombardia;BS;B450;3,66;31,66;14,66;27,92;28,97;106,87
Sud;Campania;NA;B452;9,28;16;19,27;11,5;5;61,05
Nord Ovest;Piemonte;AL;B453;0;0;0;4;4,5;8,5
Centro;Toscana;LU;B455;31,66;129,15;135,5;71,86;129,66;497,83
Nord Ovest;Piemonte;BI;B457;0;0;3,33;1;2,72;7,05
Isole;Sicilia;AG;B460;2;4,67;3;0;4;13,67
Nord Ovest;Lombardia;MI;B461;7;50,5;32,5;18;13;121
Nord Ovest;Piemonte;TO;B462;2;15,17;20,25;11,67;16;65,09
Nord Ovest;Piemonte;VB;B463;2;4,88;2;1,38;7;17,26
Nord Ovest;Piemonte;BI;B465;1;2;4;3;12;22
Sud;Molise;IS;B466;6;4;3;2;1;16
Nord Ovest;Piemonte;CN;B467;0;0;0;0;4;4
Centro;Marche;AN;B468;4;7,72;14,67;12,5;9;47,89
Nord Ovest;Piemonte;AT;B469;0;2;2;2;6,5;12,5
Centro;Marche;AN;B470;2;11,01;7;3,5;6;29,51
Nord Ovest;Lombardia;BG;B471;0;2;0;3,67;2,67;8,34
Centro;Lazio;RM;B472;0,67;0,67;1,67;0;0;3,01
Nord Ovest;Piemonte;NO;B473;8;50;61,17;22,58;28;169,75
Centro;Marche;MC;B474;3;18;16;22,5;17,17;76,67
Sud;Campania;SA;B476;16,33;25,66;8;5;9;63,99
Sud;Campania;CE;B477;4;8;5,6;1,5;6,5;25,6
Sud;Calabria;RC;B481;2;3;1;0;0;6
Nord Ovest;Piemonte;AL;B482;1;2;1;1;16,75;21,75
Nord Est;Friuli- Venezia Giulia;UD;B483;0;1;0;0;10,17;11,17
Nord Ovest;Lombardia;CR;B484;0;3;4;4,5;3,5;15
Nord Est;Veneto;VI;B485;2;26,5;30,5;25,5;47,5;132
Isole;Sicilia;AG;B486;7;13,17;7,33;4,92;6,33;38,75
Nord Ovest;Liguria;GE;B490;17,5;42,08;14,63;12,32;13,67;100,2
Nord Ovest;Valle d'Aosta;AO;B491;1;8;4;0;0;13
Sud;Campania;SA;B492;3,09;23,5;18,08;21,49;34,75;100,91
Nord Est;Veneto;VE;B493;1;19,5;12;10,61;16,92;60,03
Sud;Campania;CE;B494;1;1;3;3;6,33;14,33
Centro;Lazio;RM;B496;18;62;28,5;30;28,17;166,67
Centro;Toscana;GR;B497;3;11;7,83;4;9,5;35,33
Nord Ovest;Lombardia;CR;B498;0;0;0;3;1;4
Nord Est;Emilia-Romagna;RE;B499;3;19;20,5;8,5;21,83;72,83
Sud;Calabria;CS;B500;0;0;0;1;4;5
Nord Ovest;Lombardia;MI;B501;4;13,5;5,5;2,17;5;30,17
Nord Est;Emilia-Romagna;RE;B502;0,5;19,75;17,74;10;27,5;75,49
Centro;Umbria;PG;B504;2,99;4;12;3,86;6;28,85
Nord Ovest;Piemonte;VC;B505;0;6;2,33;2;7;17,33
Sud;Puglia;LE;B506;2,17;11;16,85;20,35;16,67;67,04
Centro;Toscana;FI;B507;39,33;225,93;178,28;81,83;87,14;612,51
Centro;Toscana;LI;B509;11,33;73,17;58,75;25;33;201,25
Nord Ovest;Piemonte;TO;B510;0;4;1;0;2,33;7,33
Nord Est;Veneto;VI;B511;0;0;1;0;9,67;10,67
Nord Ovest;Piemonte;TO;B512;0;0;6;1;4;11
Nord Ovest;Lombardia;CO;B513;11;28,1;9,33;7;6,5;61,93
Sud;Abruzzo;TE;B515;2;3,25;9;14;19,5;47,75
Sud;Calabria;RC;B516;2;4,63;5;2;7;20,63
Sud;Molise;CB;B519;44,91;149,55;189,78;163,13;111;658,37
Isole;Sicilia;AG;B520;10;19,75;21,75;11;32,5;95
Isole;Sicilia;TP;B521;5;31;28,17;27,51;16,7;108,38
Sud;Molise;CB;B522;1;4,21;2;0;1,07;8,28
Nord Est;Veneto;PD;B524;2;35;62,72;35,5;67,36;202,58
Sud;Abruzzo;AQ;B526;27,75;65,67;24,8;7;2;127,22
Centro;Lazio;LT;B527;2;2;1;0;2;7
Sud;Molise;CB;B528;0;3;6;3,83;11;23,83
Nord Ovest;Lombardia;SO;B530;18;26,17;7;3;0,83;55
Nord Est;Veneto;PD;B531;1;8;4;7;11,5;31,5
Isole;Sicilia;PA;B532;53,1;104,12;56,61;13;9;235,83
Isole;Sicilia;PA;B533;0;3;4;1;1;9
Centro;Marche;AP;B534;0;7;3;3;2;15
Isole;Sicilia;PA;B535;0;2;2;1;3;8
Nord Est;Friuli- Venezia Giulia;UD;B536;1;5;10;20;26,61;62,61
Isole;Sicilia;CL;B537;8;12,98;5;5;2,15;33,13
Nord Ovest;Liguria;GE;B538;3;14;14,5;1;4;36,5
Nord Est;Emilia-Romagna;MO;B539;5;29,35;32;17,5;22,83;106,68
Nord Ovest;Valle d'Aosta;AO;B540;9;5;3;1;2;20
Sud;Campania;BN;B541;0;0;1;0;1,5;2,5
Sud;Campania;BN;B542;0;0;1;0;0;1
Centro;Lazio;FR;B543;2;0;2,5;3;5;12,5
Sud;Molise;CB;B544;1;3;0;1;0;5
Nord Est;Veneto;VE;B546;4;23,5;24,51;11,17;34,26;97,44
Sud;Basilicata;PZ;B549;0;3;2;1;0;6
Sud;Molise;CB;B550;46,25;162,63;63,41;29;12;313,29
Nord Ovest;Liguria;GE;B551;3;29;33;5;7,5;77,5
Centro;Toscana;LI;B553;12,5;38,29;13,46;8,98;9,44;82,67
Nord Est;Veneto;VE;B554;2;38,75;31,5;23,75;46,59;142,59
Sud;Campania;SA;B555;0;0;0;0;0;0
Isole;Sicilia;PA;B556;2;3;3;6,67;3,8;18,47
Centro;Toscana;LU;B557;0;1;5;3;4;13
Nord Ovest;Liguria;IM;B559;13;33,33;14;11;7;78,33
Isole;Sicilia;CT;B561;0;10;20,5;18,5;4;53
Centro;Marche;MC;B562;0;1;0;0;1,5;2,5
Nord Est;Veneto;PD;B563;2;37,5;32;23,25;44,55;139,3
Nord Est;Veneto;PD;B564;3;8,25;16;13,33;13,83;54,41
Sud;Campania;NA;B565;6,5;7,5;4,5;8;8;34,5
Nord Est;Emilia-Romagna;MO;B566;1,18;19,37;9,5;9,5;13;52,55
Nord Ovest;Lombardia;PV;B567;0;1;3;4;10,5;18,5
Sud;Abruzzo;AQ;B569;1;4,5;0;0,33;1;6,83
Nord Est;Emilia-Romagna;BO;B572;3,04;12,1;11,42;9,14;17,06;52,76
Nord Ovest;Piemonte;CN;B573;2;10;13;11;23;59
Nord Est;Veneto;BL;B574;1;15;14,5;4;3;37,5
Centro;Lazio;RM;B576;3;17,67;11;12;12,6;56,27
Nord Est;Veneto;RO;B578;1;7,34;6;6;14,16;34,5
Sud;Basilicata;PZ;B580;2;1;0;1;0;4
Sud;Campania;CE;B581;1;3,67;5,25;6;9,16;25,08
Nord Est;Veneto;RO;B582;0;0;2;2;2;6
Sud;Puglia;FG;B584;5;8,5;3,22;3;2;21,72
Nord Ovest;Piemonte;BI;B586;1;13,67;20,5;12;34,17;81,34
Nord Ovest;Lombardia;PV;B587;0;4;5;9;13;31
Nord Ovest;Piemonte;TO;B588;1;6;4;4,5;11;26,5
Nord Est;Veneto;PD;B589;1;8;1;4;8;22
Sud;Campania;AV;B590;0;4;1;3;1;9
Sud;Calabria;RC;B591;0;0;1;1;0;2
Nord Ovest;Piemonte;TO;B592;1;23;27;14,25;23,17;88,42
Nord Ovest;Lombardia;MI;B593;19;59,35;37,83;31,35;31;178,53
Nord Ovest;Piemonte;AT;B594;6,33;39;42,83;15,75;40,58;144,49
Centro;Lazio;RI;B595;8,5;3;4,8;2;1,67;19,97
Centro;Lazio;VT;B597;3;15;8;8,16;4,33;38,49
Nord Est;Friuli- Venezia Giulia;PN;B598;3;10;15;15,16;33,75;76,91
Isole;Sicilia;AG;B602;39,5;58,34;60,83;66,83;71,22;296,72
Isole;Sicilia;SR;B603;1;4,33;17,62;12;22;56,95
Centro;Lazio;VT;B604;10;17;18,5;12;5;62,5
Nord Ovest;Piemonte;TO;B605;0;3;2;0;0;5
Sud;Abruzzo;AQ;B606;1;3;1;2;0;7
Sud;Calabria;CS;B607;1;4;1;0;0,11;6,11
Sud;Campania;SA;B608;0;1;0;0;0;1
Centro;Umbria;PG;B609;1,6;4,17;7;6,84;17,05;36,66
Nord Ovest;Piemonte;VB;B610;2;8;3,33;4;6;23,33
Nord Ovest;Lombardia;MN;B612;3;6;7;16;19,2;51,2
Nord Ovest;Lombardia;PV;B613;0;1;3,1;2;17,17;23,27
Nord Ovest;Piemonte;VB;B615;5;25,06;28,5;12,5;20,5;91,56
Sud;Puglia;LE;B616;0;3;1;0;4;8
Sud;Calabria;RC;B617;0;3;1;1;3;8
Nord Ovest;Lombardia;BG;B618;4;35,21;26,72;10;6,2;82,13
Sud;Puglia;BA;B619;75,27;60,73;69,9;50,09;23,94;279,93
Sud;Abruzzo;CH;B620;1;1;0;2;0;4
Nord Ovest;Piemonte;CN;B621;0;0;0;0;4;4
Sud;Abruzzo;AQ;B624;2;4;1;0;1;8
Centro;Toscana;PO;B626;3;15,16;19,75;7;8,75;53,66
Centro;Lazio;RI;B627;1,5;10,5;6,34;3;8,67;30,01
Nord Ovest;Piemonte;TO;B628;3;7;1,5;4;16,44;31,94
Nord Ovest;Piemonte;AL;B629;3;3;1;4,31;4;15,31
Sud;Molise;IS;B630;0;3;1;2;4,5;10,5
Centro;Lazio;RI;B631;3;7,5;4;6,5;3;24
Centro;Lazio;RM;B632;0;3;1,17;1;1;6,17
Nord Ovest;Piemonte;AT;B633;0;0;1;2;6;9
Nord Ovest;Lombardia;VA;B634;7;26,53;18,67;11,72;18;81,92
Centro;Lazio;RM;B635;4;2,62;0;1;0;7,62
Centro;Marche;PS;B636;0,25;3,92;3,75;10,59;2,33;20,84
Nord Ovest;Piemonte;TO;B637;11;16;3,67;1;1;32,67
Nord Ovest;Lombardia;CO;B639;51,09;208,42;189,66;106,53;90,89;646,59
Sud;Abruzzo;TE;B640;0;1;1;3;7;12
Nord Ovest;Lombardia;CO;B641;5;32,96;13,93;12,63;13,75;78,27
Nord Est;Veneto;VE;B642;175,84;270,54;93,31;29,25;25,54;594,48
Nord Est;Emilia-Romagna;PC;B643;1;8;20;8,5;17,67;55,17
Sud;Campania;SA;B644;16,75;69,67;35,17;38,98;26,09;186,66
Isole;Sicilia;PA;B645;9;23,5;46,08;31,17;18,17;127,92
Centro;Toscana;GR;B646;11,67;25,72;12,17;11;21,67;82,23
Centro;Toscana;PI;B647;5;21,5;16,5;7;17,42;67,42
Centro;Toscana;LU;B648;4,17;57,75;83,2;96,33;195;436,45
Centro;Lazio;RM;B649;7;47;41,29;20,66;16,83;132,78
Nord Ovest;Lombardia;CR;B650;3;11,67;7,17;7;5,5;34,34
Sud;Abruzzo;AQ;B651;2;2;3;3;5;15
Nord Ovest;Lombardia;CO;B653;6;31;23;8,67;19,5;88,17
Sud;Calabria;VV;B655;0;1,75;0;0;1;2,75
Sud;Abruzzo;AQ;B656;3;12,89;7;11,8;6,5;41,19
Sud;Abruzzo;AQ;B658;1;0;2;1;1;5
Isole;Sicilia;ME;B660;0;1;1,33;0,67;4,66;7,66
Nord Ovest;Lombardia;BG;B661;0;7,56;2,5;3,34;5,75;19,15
Nord Est;Veneto;BL;B662;3;18;27,33;9,56;17,89;75,78
Centro;Lazio;VT;B663;11,67;14,17;11,67;3,61;7;48,12
Nord Ovest;Lombardia;BS;B664;1,67;8;1,33;2;2;15
Isole;Sicilia;ME;B666;15;51,5;33,3;28,5;18,83;147,13
Sud;Campania;CE;B667;3;14;20;21,67;12,47;71,14
Centro;Toscana;LI;B669;24;35,6;18,5;9;6,33;93,43
Centro;Toscana;AR;B670;1;12,5;19;16;11,83;60,33
Nord Ovest;Lombardia;MI;B671;10,17;28,5;41,34;5;8,5;93,51
Sud;Abruzzo;AQ;B672;0;2;0;2;0;4
Sud;Campania;AV;B674;0,32;3,05;1,37;2,52;2,72;9,98
Isole;Sardegna;CA;B675;6;72,34;48,28;37,25;61,19;225,06
Nord Ovest;Lombardia;BS;B676;0,5;1,33;1,17;0,5;2;5,5
Sud;Abruzzo;AQ;B677;27;49,67;16,66;3;3;99,33
Nord Est;Veneto;TV;B678;0;3;9;9;17,45;38,45
Nord Ovest;Lombardia;CR;B679;0;0;1;1;2;4
Nord Ovest;Lombardia;CR;B680;0;0;0;0;4;4
Sud;Abruzzo;PE;B681;1;14;10,84;12;11,59;49,43
Sud;Molise;IS;B682;7,2;16,67;5;3;3,85;35,72
Centro;Toscana;FI;B684;3;42,75;30,1;16;4,78;96,63
Centro;Toscana;LI;B685;4,5;5,34;1;1,5;1,1;13,44
Nord Ovest;Lombardia;CR;B686;0;11;9;5,5;1;26,5
Centro;Lazio;RM;B687;7,5;8,5;0;1;0;17
Centro;Lazio;VT;B688;8;40,75;23,5;15;19,17;106,42
Nord Est;Emilia-Romagna;BO;B689;6;30,5;33,55;10,17;26,3;106,52
Sud;Puglia;LE;B690;2;2;4,6;5;4,5;18,1
Centro;Lazio;VT;B691;15,5;31,17;18,67;10;7,67;83,01
Nord Ovest;Piemonte;CN;B692;2;0;1;1;0;4
Centro;Toscana;AR;B693;0;4;2;1;14;21
Nord Ovest;Piemonte;VB;B694;1;3;2;0;3;9
Isole;Sicilia;ME;B695;0;4,62;9,2;8,2;7,2;29,22
Sud;Campania;NA;B696;6,52;20;15,25;9,13;4,94;55,84
Nord Ovest;Lombardia;BS;B698;3;15;20,5;4,2;17;59,7
Nord Ovest;Piemonte;AL;B701;3;7;4;4;9;27
Nord Ovest;Lombardia;BG;B703;13;50,67;51,3;29,2;14,2;158,37
Sud;Campania;CE;B704;1;0;1;0;0;2
Nord Ovest;Piemonte;TO;B705;5;9;11;5,17;8;38,17
Sud;Campania;AV;B706;2,08;6,32;8,08;4,83;9;30,31
Nord Ovest;Piemonte;AT;B707;0;0;0;0,17;2,17;2,34
Nord Ovest;Piemonte;BI;B708;0;1;0;1;4;6
Nord Est;Veneto;VR;B709;5;35,1;47;20,6;30,7;138,4
Nord Ovest;Lombardia;BG;B710;0;19;13,51;8;9,53;50,04
Nord Ovest;Lombardia;BS;B711;5;47,5;45,5;23;23,47;144,47
Sud;Campania;CE;B715;6;26,67;38,56;45,89;65;182,12
Sud;Puglia;BA;B716;5;32,5;73,71;44,5;26,68;182,39
Sud;Calabria;CZ;B717;1;0;4;4;1;10
Sud;Calabria;RC;B718;1;1;0;1;1,75;4,75
Nord Ovest;Piemonte;CN;B719;3,13;25,33;32;15;36;111,46
Nord Ovest;Piemonte;CN;B720;1;1,67;5;3;8;18,67
Sud;Abruzzo;PE;B722;3;8;7,89;0,83;3;22,72
Sud;Puglia;FG;B724;6,34;11,98;11;16;4;49,32
Sud;Abruzzo;AQ;B725;0;0;1;1;0;2
Nord Ovest;Liguria;GE;B726;9;14;14;5;6,5;48,5
Centro;Marche;AP;B727;1;0;3;1;3;8
Nord Ovest;Lombardia;MI;B729;21;87,53;68,17;36,38;34,5;247,58
Nord Ovest;Lombardia;CO;B730;2,5;6;6,06;4,5;14,65;33,71
Nord Ovest;Lombardia;BG;B731;20,05;74,89;69,16;25,3;24,02;213,42
Nord Ovest;Lombardia;VA;B732;2,5;12;11,5;3,5;10;39,5
Nord Ovest;Piemonte;TO;B733;0;1;4;2;8;15
Nord Ovest;Liguria;IM;B734;1;3,8;0,2;1;1;7
Centro;Lazio;VT;B735;1;11,17;7;4,5;5;28,67
Nord Ovest;Piemonte;AL;B736;0;0;2;1;9;12
Isole;Sardegna;CA;B738;22,25;70,78;46;15,33;19,55;173,91
Sud;Campania;NA;B740;1;1;5,67;4,5;4,5;16,67
Nord Ovest;Lombardia;PV;B741;0;7;4,5;3;5,33;19,83
Nord Ovest;Lombardia;CO;B742;2;17;11,25;7;21;58,25
Sud;Basilicata;PZ;B743;0;0;2,5;0;0;2,5
Nord Est;Veneto;TV;B744;4;46,9;49,34;14,5;22,88;137,62
Isole;Sardegna;CA;B745;7;57,96;52,88;25,57;40,65;184,06
Nord Ovest;Liguria;SV;B748;1;15;23;9;7;55
Nord Ovest;Piemonte;VC;B752;1;1;0;0;0;2
Nord Ovest;Lombardia;VA;B754;30;87,8;59,78;36;52,74;266,32
Nord Ovest;Piemonte;CN;B755;0;0;2;3;6;11
Sud;Calabria;RC;B756;0;0;1;0;1;2
Sud;Calabria;CZ;B758;2;5;7;3;3;20
Sud;Campania;NA;B759;19,22;32,92;55,24;33,05;21;161,43
Centro;Toscana;LU;B760;3;8,5;2;2;5,2;20,7
Nord Ovest;Piemonte;TO;B762;4;6;4;2;2;18
Nord Ovest;Lombardia;LC;B763;6,67;7;5,47;3;4,93;27,07
Nord Ovest;Piemonte;AL;B765;0;0;0;0;3;3
Sud;Calabria;RC;B766;0;0;0,5;1;2;3,5
Nord Ovest;Piemonte;VC;B767;1;4;2;3;9;19
Nord Ovest;Piemonte;VC;B768;0;3;2;4;6;15
Nord Ovest;Piemonte;AL;B769;0;1;0;0;10;11
Sud;Calabria;KR;B771;0;0;0;0;0;0
Isole;Sardegna;SS;B772;1;3,5;0,5;0;1;6
Sud;Calabria;CS;B774;40,85;54,95;22;9;11,27;138,07
Sud;Campania;AV;B776;0;3,8;4,5;2;1;11,3
Nord Ovest;Piemonte;TO;B777;6;45;27;15;25;118
Nord Ovest;Lombardia;CO;B778;2,5;16,5;10;7,78;17,25;54,03
Sud;Campania;CE;B779;5,5;7,71;9,88;12,22;10;45,31
Isole;Sicilia;PA;B780;65;124,88;156,62;131,24;164,85;642,59
Sud;Campania;CE;B781;5,28;8,78;6,02;6;21,92;48
Nord Ovest;Piemonte;VC;B782;0;0;0;0;1;1
Sud;Puglia;FG;B784;0;0;0;0;1;1
Nord Ovest;Lombardia;CO;B785;2;9;15,5;5,9;7;39,4
Isole;Sicilia;SR;B787;13,67;32,64;48,46;37,83;23,22;155,82
Nord Est;Friuli- Venezia Giulia;UD;B788;0;2;3,16;4;12;21,16
Isole;Sardegna;CA;B789;25,33;52,52;26,75;10,61;11;126,21
Sud;Calabria;CZ;B790;2,5;0,5;0;1;3;7
