Area;Regione;Provincia;2025_CodCom;NTN 2025 fino a 50 mq;NTN 2025 50 -| 85 mq;NTN 2025 85 -| 115 mq;NTN 2025 115 -| 145 mq;NTN 2025 oltre 145 mq;NTN_2025
Nord Ovest;Piemonte;NO;B016;1;3;5,5;9,5;14,75;33,75
Nord Ovest;Lombardia;LO;B017;0;11;13;10;5;39
Nord Ovest;Piemonte;CN;B018;0;0;0;0;2;2
Nord Ovest;Piemonte;NO;B019;16;84,5;66,5;44,62;66,08;277,7
Nord Ovest;Liguria;IM;B020;7,75;3;5;5;5,3;26,05
Nord Ovest;Piemonte;TO;B021;0;1;2;3;13;19
Nord Ovest;Piemonte;TO;B024;3;7;20;5;8,33;43,33
Nord Est;Emilia-Romagna;PC;B025;3;29,33;42,01;32,75;42,56;149,65
Centro;Marche;PS;B026;2;4;2;1,5;0;9,5
Nord Ovest;Lombardia;PV;B028;0;4,5;1;4;9;18,5
Nord Ovest;Piemonte;AL;B029;0;4;3;1;4;12
Nord Ovest;Lombardia;PV;B030;0;0;0;2;1,75;3,75
Nord Est;Veneto;PD;B031;1;18,5;18;17;39,58;94,08
Nord Ovest;Piemonte;CN;B033;9,04;50,5;69;37;37,75;203,29
Nord Est;Emilia-Romagna;PR;B034;18;88,62;150,82;67;49,87;374,31
Nord Ovest;Lombardia;BS;B035;3;17;11,67;20,22;28,01;79,9
Centro;Toscana;FI;B036;16,57;63,16;59,66;46,26;47,28;232,93
Nord Ovest;Piemonte;AL;B037;0;0,22;3;5;9,44;17,66
Nord Ovest;Lombardia;PV;B038;0;1;3;2;2;8
Nord Ovest;Lombardia;BS;B040;4,5;36,78;22,61;27,32;29;120,21
Nord Ovest;Piemonte;VC;B041;5;48;34,67;18,67;42,83;149,17
Nord Est;Emilia-Romagna;PR;B042;7,5;26,18;34,33;21,16;25,16;114,33
Nord Ovest;Piemonte;NO;B043;2;15,5;22;14;23;76,5
Nord Est;Emilia-Romagna;BO;B044;0;16,5;18,67;6;5,5;46,67
Nord Ovest;Piemonte;VC;B046;0;8;9;12;13,05;42,05
Nord Ovest;Liguria;SV;B048;0;0;0;1;0,5;1,5
Nord Ovest;Lombardia;SO;B049;16;44,53;16,9;8,15;4;89,58
Nord Ovest;Lombardia;PV;B051;0,5;18;19;10,08;5,5;53,08
Nord Ovest;Lombardia;BS;B054;14,5;44,84;16,25;10;8;93,59
Isole;Sardegna;OR;B055;0;0;0;0;1;1
Isole;Sardegna;NU;B056;0;2;2;2,5;8,5;15
Sud;Abruzzo;CH;B057;0;0;0;0;0;0
Nord Ovest;Piemonte;BI;B058;0;0;0,67;4;3;7,67
Nord Est;Veneto;TV;B061;4;4,41;6;6;23,83;44,24
Isole;Sardegna;NU;B062;1;1;4;1,95;4;11,95
Isole;Sardegna;SS;B063;1;0;4,67;2,67;3,13;11,47
Isole;Sardegna;SS;B064;0;2;0;3;0;5
Nord Ovest;Liguria;GE;B067;9,5;13,5;12,89;9;10;54,89
Isole;Sardegna;NU;B068;10;46,35;24,44;18;18;116,79
Nord Est;Veneto;RO;B069;1;2,86;5,48;3,48;10,33;23,15
Nord Est;Veneto;VR;B070;0;0;1;3,5;2,5;7
Nord Ovest;Piemonte;AL;B071;0;2;6,5;3;15,67;27,17
Nord Est;Veneto;VR;B073;32,5;62,33;16;11;14;135,83
Nord Ovest;Piemonte;TO;B075;0;2;8;5;12;27
Sud;Campania;NA;B076;11,02;18,5;35,61;37,77;16,67;119,57
Sud;Campania;NA;B077;10,33;28,51;27;11,75;9;86,59
Nord Ovest;Piemonte;CN;B079;0;1;1;1;0;3
Nord Ovest;Piemonte;AL;B080;1;1;7;1;5;15
Nord Ovest;Lombardia;LC;B081;2,5;11,5;17,1;13,43;7;51,53
Nord Ovest;Lombardia;PV;B082;0;0;1;0;4,94;5,94
Nord Ovest;Lombardia;BG;B083;0,5;3;6,17;2;1;12,67
Nord Ovest;Piemonte;CN;B084;0;5;4;3;6;18
Sud;Calabria;CZ;B085;13,5;19,66;19,73;3;8;63,89
