AREA;Regione;prov;2013_CodCom;NTN 2013 fino a 50 mq;NTN 2013 50 -| 85 mq;NTN 2013 85 -| 115 mq;NTN 2013 115 -| 145 mq;NTN 2013 oltre 145 mq;NTN 2013
Sud;Campania;CE;B781;7,1;10;5,83;8,61;10,5;42,04
Nord Ovest;Piemonte;VC;B782;1,5;0;0;0;0;1,5
Sud;Puglia;FG;B784;1;2;2;1;1;7
Nord Ovest;Lombardia;CO;B785;2;4;11;3;7,79;27,79
Isole;Sicilia;SR;B787;3,67;11,67;30,06;19,5;10,61;75,51
Nord Est;Friuli- Venezia Giulia;UD;B788;0;3;4;8;3,5;18,5
Isole;Sardegna;CA;B789;13;21,55;11;7;6;58,55
Sud;Calabria;CZ;B790;0;1;1;0,67;0;2,67
Nord Ovest;Piemonte;TO;B791;2,5;68,7;55;53,17;48;227,37
Sud;Puglia;LE;B792;1;6,87;8,4;14,15;15,67;46,09
Centro;Toscana;PO;B794;5;40;23;14,5;15;97,5
Nord Est;Veneto;PD;B795;1;11;4;9;11,67;36,67
Nord Ovest;Lombardia;VA;B796;0;14;10;8,51;11,5;44,01
Nord Ovest;Lombardia;MI;B798;1,01;26,9;15,83;7;5,5;56,24
Nord Ovest;Lombardia;BG;B801;2;3,5;5,5;6,83;4;21,83
Sud;Calabria;CS;B802;0;1;3;1;3,5;8,5
Nord Ovest;Lombardia;BG;B803;3;7;4,33;0;0;14,33
Isole;Sicilia;ME;B804;7,06;6,22;0;2;0;15,28
Nord Ovest;Lombardia;VA;B805;13;101,62;43,72;23,63;17,39;199,36
Nord Ovest;Lombardia;VA;B807;1;8;7;11,58;6;33,58
Sud;Puglia;TA;B808;0;10,25;19,5;19,4;9;58,15
Sud;Puglia;BR;B809;23,01;43,9;28,25;19,5;6;120,66
Sud;Molise;IS;B810;0;0,67;0;0;1,92;2,59
Nord Est;Emilia-Romagna;PC;B812;2;11,62;23,86;14,06;14,38;65,92
Sud;Calabria;CS;B813;2;2;0;0;0;4
Nord Ovest;Liguria;IM;B814;1;1;0;0;0;2
Centro;Marche;PS;B816;3;3,5;0,75;1;0,67;8,92
Nord Ovest;Lombardia;BS;B817;1;15,25;21;15,33;9,08;61,66
Nord Ovest;Piemonte;AL;B818;1,25;3,25;1;1;1,17;7,67
Nord Est;Emilia-Romagna;MO;B819;20,25;133,11;189,07;80,41;79,31;502,15
Nord Ovest;Lombardia;MI;B820;1;12;6;5;4,25;28,25
Sud;Puglia;LE;B822;1,86;0;0,5;2,08;4,5;8,94
Nord Ovest;Piemonte;NO;B823;0;0;1;5;2;8
Nord Ovest;Lombardia;PV;B824;1;13,3;21;4;14,13;53,43
Nord Est;Emilia-Romagna;RE;B825;1,75;4,25;6,67;1,5;8,45;22,62
Sud;Abruzzo ;CH;B826;0;2,5;0;0;0;2,5
Sud;Abruzzo ;PE;B827;0,83;1,67;0;0;1;3,5
Centro;Lazio;RM;B828;1;10,34;9,75;2;1;24,09
Sud;Puglia;FG;B829;4,6;2,85;0;1;1;9,45
Sud;Molise;IS;B830;2;0;0,28;0;1;3,28
Centro;Toscana;MS;B832;54,49;136,83;108,93;65,8;43,17;409,22
Nord Est;Veneto;VI;B835;0;2;3;4,5;6;15,5
Nord Ovest;Piemonte;AL;B836;2;2;0;0,8;0;4,8
Nord Ovest;Liguria;SP;B838;1;1;0;2;1;5
Nord Ovest;Liguria;SP;B839;0;4;3,42;1;1;9,42
Nord Ovest;Piemonte;AL;B840;1;1;1;1;1;5
Nord Ovest;Piemonte;CN;B841;2;4;14;6;12;38
Sud;Abruzzo ;AQ;B842;4;7,92;10,5;4;2;28,42
Nord Est;Veneto;VI;B844;0;2;5;2,5;6,95;16,45
Nord Ovest;Piemonte;CN;B845;2;1,5;1;1;0;5,5
Centro;Marche;PS;B846;0;15,89;11;13,5;3;43,39
Nord Ovest;Piemonte;AL;B847;0;2;1;0;0;3
Nord Est;Veneto;PD;B848;0,01;5,29;9,48;7;7,97;29,75
Nord Ovest;Lombardia;MI;B850;10;55,42;62;19,33;17,83;164,58
Nord Ovest;Lombardia;CO;B851;7;24,5;15;8;2,92;57,42
Sud;Abruzzo ;CH;B853;0;1;0;1;0;2
Nord Ovest;Lombardia;BG;B854;2;3;6;3,24;5;19,24
Sud;Calabria;KR;B857;0;1;0;2;0;3
Sud;Molise;CB;B858;1;3;3,33;0,87;0,5;8,7
Sud;Abruzzo ;CH;B859;1;0;1;1;3;6
Sud;Campania;CE;B860;6;12;16;12,78;14,88;61,66
Sud;Abruzzo ;CH;B861;0;1;0;0;0;1
Centro;Lazio;FR;B862;0;1;0;0;3,25;4,25
Nord Ovest;Piemonte;NO;B864;0;0;1;0;1;2
Sud;Abruzzo ;CH;B865;6;9;5;1;1;22
Sud;Campania;AV;B866;0;1,18;1;3;2,05;7,23
Nord Ovest;Piemonte;TO;B867;1;1;4,5;1,67;7;15,17
Sud;Campania;SA;B868;0,5;0;0,9;2;1;4,4
Nord Ovest;Lombardia;CR;B869;3;2,67;10;3;2;20,67
Nord Ovest;Piemonte;AL;B870;0;1;3;1;1,5;6,5
Sud;Molise;CB;B871;2;1,5;2;1;2;8,5
Sud;Campania;CE;B872;2;2;4;1,89;10,83;20,72
Sud;Campania;BN;B873;1;0;0;1;3,33;5,33
Nord Ovest;Lombardia;VA;B875;0;7;7,83;7,28;11;33,11
Nord Ovest;Piemonte;VB;B876;1;3;7;1;5;17
Nord Est;Veneto;PD;B877;0;3,5;3;3;5;14,5
Centro;Toscana;PI;B878;2,87;3,5;4;0,5;4;14,87
Nord Est;Veneto;TV;B879;0;41,93;29,25;9,5;10;90,68
Nord Est;Emilia-Romagna;BO;B880;18;150,1;107,28;37,25;18,17;330,8
Nord Ovest;Lombardia;CR;B881;0;4;2;0;1,5;7,5
Nord Ovest;Piemonte;AL;B882;0;1,5;0;2;0;3,5
Nord Ovest;Piemonte;NO;B883;0;0;0;2;0;2
Nord Ovest;Piemonte;AL;B885;17,17;72,08;65,73;37,35;46,17;238,5
Nord Est;Veneto;VR;B886;0;6;5;11,75;7,61;30,36
Nord Ovest;Lombardia;LO;B887;0;8;5;1;3;17
Sud;Campania;SA;B888;1;1;0;0;0;2
Nord Ovest;Lombardia;CR;B889;0;1;0,5;1,5;1,5;4,5
Nord Ovest;Lombardia;CR;B890;0;1;1;2;1;5
Nord Ovest;Lombardia;CR;B891;0;2;3,34;2;2;9,34
Nord Est;Emilia-Romagna;BO;B892;1,33;4,58;6;2;2;15,91
Nord Est;Emilia-Romagna;RE;B893;1;51;32,78;12,36;10,22;107,36
Nord Ovest;Piemonte;CN;B894;0;1;2;3,5;3;9,5
Sud;Campania;SA;B895;7;16,93;7,34;5,5;3,33;40,1
Sud;Abruzzo ;CH;B896;1,76;4;1,5;4,17;0,36;11,79
Nord Ovest;Piemonte;NO;B897;1;1;0;1;5,5;8,5
Nord Ovest;Lombardia;CR;B898;1;21;26,75;14,25;28,46;91,46
Nord Ovest;Lombardia;LO;B899;0;7;10,9;1,5;1;20,4
Nord Ovest;Lombardia;CR;B900;0;0,5;0;1;4,83;6,33
Nord Ovest;Lombardia;MN;B901;0;1,11;4;2;1,11;8,22
Nord Ovest;Piemonte;AL;B902;2;4;3;1;2,5;12,5
Sud;Calabria;CS;B903;6;30,01;17;10,5;0;63,51
Sud;Puglia;FG;B904;3;0,5;0;0;2,5;6
Sud;Campania;NA;B905;12;55,69;70,58;41,47;15,89;195,63
Sud;Basilicata;PZ;B906;0;0;0;0;0;0
Nord Ovest;Lombardia;MN;B907;2;5;1;2;4,8;14,8
Nord Ovest;Lombardia;LO;B910;4,4;31,43;39,72;17,5;13,2;106,25
Nord Ovest;Lombardia;MN;B911;0;1;2;0,5;3,25;6,75
Nord Est;Veneto;PD;B912;0;5;1;4,5;4,5;15
Nord Ovest;Lombardia;CR;B914;0;1;0;1;1,43;3,43
Sud;Puglia;FG;B915;6;18;24,17;4;9;61,17
Sud;Campania;CE;B916;0;3,61;9;10,5;8;31,11
Sud;Puglia;FG;B917;1;1,78;1;0;0;3,78
Isole;Sicilia;ME;B918;1;1;0;1;0;3
Centro;Lazio;FR;B919;1;2;3;0,75;1;7,75
Nord Ovest;Piemonte;NO;B920;0;0;1;0;2,5;3,5
Nord Ovest;Lombardia;VA;B921;0;0,79;3,5;1;2,67;7,96
Sud;Campania;NA;B922;2,5;0;4;1;3;10,5
Sud;Puglia;BA;B923;8,67;61,5;53,9;18;18;160,07
Sud;Campania;NA;B924;9,25;9,13;3,5;6,05;5,5;33,43
Sud;Campania;NA;B925;3,27;14,67;14,12;7,87;4,89;44,82
Nord Ovest;Liguria;SV;B927;1;3;0;0;0;4
Nord Ovest;Piemonte;VC;B928;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;B929;0;0;0;1;0;1
Centro;Lazio;RM;B932;1;1,5;1;1,5;0;5
Nord Ovest;Piemonte;BI;B933;0;0;0;1;0;1
Centro;Lazio;RI;B934;1;3;0;3;2;9
Sud;Campania;CE;B935;0;6,75;14;6,5;6,44;33,69
Sud;Puglia;LE;B936;6,5;14,68;16,42;15,5;12,63;65,73
Nord Ovest;Lombardia;LC;B937;3;8,67;0,67;1,5;2;15,84
Nord Ovest;Lombardia;MI;B938;4;19;9;1,5;1;34,5
Nord Ovest;Liguria;GE;B939;4;15;4,33;4,5;1;28,83
Nord Est;Friuli- Venezia Giulia;PN;B940;0;12;12,58;11,05;10,02;45,65
Nord Ovest;Piemonte;AL;B941;0;2;1;0;0;3
Nord Ovest;Lombardia;CO;B942;0;0;2;0;4;6
Nord Ovest;Lombardia;LC;B943;14,5;35,89;30;23,25;15,05;118,69
Nord Ovest;Lombardia;PV;B945;0;1;2;1;0;4
Sud;Campania;NA;B946;7,39;13,17;21,06;13,25;4,92;59,79
Nord Ovest;Lombardia;BG;B947;0;19,26;7,5;3,17;4;33,93
Centro;Umbria;PG;B948;1,03;5,5;3,66;2,25;5,43;17,87
Nord Ovest;Lombardia;VA;B949;0;1;3,19;3;2;9,19
Centro;Toscana;PI;B950;12;104,17;96,4;51,5;48,94;313,01
Nord Ovest;Piemonte;VC;B952;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;B953;0;0;2;1;4;7
Nord Ovest;Lombardia;PV;B954;3;1;0;3;1,17;8,17
Nord Ovest;Piemonte;TO;B955;0;2,33;9;5,5;4;20,83
Nord Ovest;Liguria;GE;B956;2;11,17;6,17;5;6;30,34
Nord Ovest;Lombardia;LO;B958;1;10;5;3,33;2,67;22
Sud;Campania;SA;B959;0,8;4;2;1;1,33;9,13
Nord Ovest;Piemonte;TO;B960;9;68,09;54,5;28,47;17,78;177,84
Nord Ovest;Lombardia;LO;B961;0;0;1;4;5,89;10,89
Centro;Toscana;FI;B962;16,36;113,62;117,94;54,51;23,75;326,18
Sud;Campania;CE;B963;27,39;66,19;82,72;111,2;107,16;394,66
Nord Est;Veneto;TV;B965;1;21;21;18;18;79
Sud;Calabria;RC;B966;0;0;0;0;0;0
Nord Est;Emilia-Romagna;RE;B967;0;6,67;5,17;3,17;10,9;25,91
Sud;Calabria;KR;B968;1;1;0;1,5;0;3,5
Nord Est;Emilia-Romagna;BO;B969;1;6,5;7,45;3,2;5,42;23,57
Nord Ovest;Lombardia;BG;B971;5;23;23;10,5;2,5;64
Nord Ovest;Lombardia;CO;B974;1;4;1;3;0;9
Nord Ovest;Lombardia;CO;B977;1;9,67;12,5;4,31;7,5;34,98
Nord Ovest;Lombardia;BG;B978;1;1,17;5,82;1;2,91;11,9
Centro;Toscana;MS;B979;1;1;1;3,63;1,33;7,96
Sud;Campania;NA;B980;6;3,5;4,25;0;1;14,75
Nord Est;Emilia-Romagna;RA;B982;1,5;5,5;4,5;1;3,67;16,17
Sud;Calabria;CS;B983;0;2;2;3;0;7
Centro;Toscana;SI;B984;0;5;3;1;4,53;13,53
Sud;Abruzzo ;CH;B985;0,5;1,8;7;11,83;5,67;26,8
Nord Ovest;Lombardia;VA;B987;5;9,17;12,34;8,08;5,75;40,34
Nord Ovest;Lombardia;PV;B988;4;22,56;25,5;8;9,33;69,39
Nord Ovest;Lombardia;MI;B989;2;15;19,7;12,5;14,76;63,96
Sud;Campania;NA;B990;15,83;57,32;87,87;80,44;23,46;264,92
Nord Ovest;Piemonte;AT;B991;0;0;0;1;10,5;11,5
Nord Ovest;Lombardia;SO;B993;10,5;13,5;3;1,25;1;29,25
Nord Est;Friuli- Venezia Giulia;UD;B994;0;1;0;2;8,5;11,5
Nord Ovest;Lombardia;LC;B996;0,5;6,83;10,25;3,66;1,5;22,74
Sud;Campania;AV;B997;0;2,8;0,89;0;0,8;4,49
Sud;Puglia;BA;B998;7,98;38;39,5;19,25;23,5;128,23
Nord Ovest;Lombardia;VA;B999;1;2;3;1;0;7
Sud;Calabria;CS;C002;15;19,22;16,71;14;8;72,93
Nord Ovest;Lombardia;MI;C003;7;49,45;62,58;28;9,33;156,36
Nord Ovest;Lombardia;VA;C004;8;48,5;48,97;30;28,07;163,54
Nord Ovest;Piemonte;AL;C005;0,03;2,67;3;0,67;0,17;6,54
Isole;Sicilia;SR;C006;2;3;1;0;1;7
Nord Ovest;Lombardia;BG;C007;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;C013;10,33;39,49;16,97;4;4,5;75,29
Nord Ovest;Lombardia;MI;C014;7;42,68;20,58;23,25;11;104,51
Nord Ovest;Lombardia;CO;C020;0;10,4;18;5,5;7,25;41,15
Nord Ovest;Piemonte;AT;C022;0;2;0;0;1;3
Nord Ovest;Lombardia;LC;C024;0;6;1;1;0;8
Nord Ovest;Piemonte;AL;C027;1;4,83;7;3,69;8,25;24,77
Nord Ovest;Piemonte;AL;C030;2;4,5;3;0;3;12,5
Nord Ovest;Lombardia;MI;C033;1;5;4;2,5;2,67;15,17
Centro;Lazio;FR;C034;21,67;103,67;63,34;36,5;33,42;258,6
Nord Est;Veneto;VI;C037;1;15;30,62;15,1;18,67;80,39
Nord Ovest;Lombardia;PV;C038;0,33;11;9,5;4;10;34,83
Sud;Abruzzo ;TE;C040;0;0,5;0;1;0;1,5
Nord Est;Veneto;VR;C041;0;1;1;3,5;11;16,5
Centro;Toscana;LI;C044;11;50,59;22,53;10,53;5,5;100,15
Nord Ovest;Piemonte;TO;C045;0;2;2;1,5;10,17;15,67
Nord Ovest;Piemonte;CN;C046;0;2;1;4;10;17
Nord Ovest;Piemonte;AT;C047;0;0;0;0;3;3
Nord Ovest;Piemonte;TO;C048;1;2;4;2;5;14
Nord Ovest;Piemonte;AT;C049;1;3;4;4;11;23
Nord Ovest;Lombardia;PV;C050;0;0;0;2;1;3
Isole;Sicilia;ME;C051;0;1;3;1;1;6
Nord Ovest;Lombardia;MI;C052;4;13,5;27,28;22;12,75;79,53
Nord Ovest;Lombardia;PV;C053;3;12;18,17;6;12,33;51,5
Nord Ovest;Lombardia;BS;C055;2;25,5;24,34;22,75;9,85;84,44
Nord Est;Veneto;VI;C056;0;11;5;4,6;3;23,6
Nord Est;Veneto;PD;C057;0;0;1;0,54;1,83;3,37
Sud;Campania;AV;C058;1;0;0;1;1,33;3,33
Nord Ovest;Lombardia;MN;C059;0;3;7;8,75;5,25;24
Centro;Marche;AN;C060;0;6;6,5;6,5;7;26
Nord Ovest;Liguria;SV;C063;0;4,5;0;0,02;0;4,52
Nord Ovest;Piemonte;AT;C064;0;0;1;0;6,5;7,5
Nord Est;Emilia-Romagna;RA;C065;2;15,6;15,5;11,83;7;51,93
Sud;Molise;CB;C066;0;1,75;1;0;1,5;4,25
Isole;Sicilia;PA;C067;3;9,98;15,67;7;2,01;37,66
Sud;Campania;SA;C069;2;0;1,67;1;1,12;5,79
Centro;Marche;AP;C070;0;3;2;2;1,2;8,2
Centro;Marche;AN;C071;0;0;2;1;2;5
Nord Ovest;Lombardia;BS;C072;2;3,89;7;3,5;9,46;25,85
Nord Est;Veneto;TV;C073;0;0;0,5;2;7,1;9,6
Isole;Sicilia;PA;C074;6;16,5;21,63;21,22;15,75;81,1
Nord Est;Emilia-Romagna;BO;C075;0;6;2;1,17;2;11,17
Nord Ovest;Lombardia;MN;C076;0,33;4;7,17;2,5;6,33;20,33
Nord Est;Veneto;VR;C078;3;17,5;21;11,75;7;60,25
Nord Ovest;Lombardia;BG;C079;3;13;18,56;4,25;8,58;47,39
Centro;Marche;PS;C080;0;0;1;0;0,5;1,5
Nord Ovest;Piemonte;CN;C081;4,25;8,75;2;0;0;15
Sud;Molise;IS;C082;0;1,5;2;0;0;3,5
Sud;Abruzzo ;AQ;C083;0;1;0;0;0;1
Centro;Toscana;GR;C085;1;12;5,28;6;5;29,28
Nord Est;Emilia-Romagna;BO;C086;1;4;1,17;0;4;10,17
Nord Ovest;Lombardia;CR;C089;0;0;1;0;0;1
Sud;Abruzzo ;AQ;C090;0;2;0;1;0;3
Isole;Sicilia;CT;C091;2;3;4;1,22;2;12,22
Centro;Marche;AP;C093;0,38;9,75;23;6,03;5;44,16
Isole;Sicilia;ME;C094;0;1;2;2;0,75;5,75
Sud;Abruzzo ;AQ;C096;17,25;40,45;8,5;4,5;4,33;75,03
Sud;Campania;CE;C097;3;0;0;1;1;5
Centro;Lazio;RI;C098;1;2,67;2;0;0;5,67
Centro;Marche;AN;C100;2;18,67;27;22,17;15,34;85,18
Centro;Toscana;FI;C101;4,83;30,17;33,17;11,83;7,39;87,39
Centro;Toscana;AR;C102;0,66;1,5;6,22;6,45;4,33;19,16
Centro;Lazio;LT;C104;0;3,67;0,5;0;3,5;7,67
Sud;Campania;AV;C105;1;1;2;0;2;6
Sud;Campania;BN;C106;1;1;2,93;0;0;4,93
Nord Est;Emilia-Romagna;MO;C107;9,5;77;67,57;25,5;24,27;203,84
Sud;Calabria;CS;C108;0;5;9;14;10;38
Nord Ovest;Liguria;IM;C110;2;3;0;0;0;5
Nord Est;Veneto;TV;C111;8,75;50,09;44;35,72;60,88;199,44
Centro;Toscana;AR;C112;0;6;7;3,33;3;19,33
Centro;Toscana;PI;C113;2;6,5;18,5;6;12,33;45,33
Sud;Abruzzo ;CH;C114;2,25;6;15;3,25;4;30,5
Nord Ovest;Lombardia;CR;C115;0;0;1;0;0;1
Centro;Lazio;RM;C116;4;29;10,33;5;7;55,33
Centro;Umbria;TR;C117;2,5;1;2,33;3;7,5;16,33
Nord Ovest;Lombardia;MN;C118;0;10,5;19,33;16,7;30;76,53
Nord Est;Veneto;VI;C119;1;6,5;7;5;6,5;26
Sud;Basilicata;PZ;C120;1;0,8;2;0;0;3,8
Nord Est;Emilia-Romagna;BO;C121;0,25;11;17,5;7,5;3,83;40,08
Nord Est;Veneto;RO;C122;0;1;2;1;1;5
Sud;Abruzzo ;CH;C123;0;0;0;0;0;0
Sud;Campania;SA;C125;10,5;12,5;12,83;8,5;9;53,33
Sud;Abruzzo ;AQ;C126;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;C127;0;3;2;5;6;16
Sud;Abruzzo ;TE;C128;0;10;11,44;5,5;5,5;32,44
Sud;Campania;NA;C129;34,12;67,36;71,88;60,8;22,15;256,31
Isole;Sicilia;TP;C130;19,09;32,02;21,84;17,5;15,43;105,88
Nord Ovest;Piemonte;TO;C133;4;24;15,9;8,23;17,11;69,24
Sud;Puglia;BA;C134;18;37;49,66;27,83;14,89;147,38
Isole;Sicilia;PA;C135;4;3,75;1;1;3;12,75
Sud;Puglia;TA;C136;19,3;34,75;30,5;36,5;14,25;135,3
Nord Ovest;Piemonte;AL;C137;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;C139;10;41,5;62,94;18,67;20,83;153,94
Nord Ovest;Piemonte;CN;C140;0;0;0,33;1;1;2,33
Nord Est;Emilia-Romagna;RE;C141;3,5;24,5;31,33;9,25;10;78,58
Nord Ovest;Piemonte;AL;C142;0;0;0;1;0;1
Nord Ovest;Liguria;IM;C143;2;6,12;3;1;0;12,12
Nord Est;Emilia-Romagna;PC;C145;3;6,95;9;3;17;38,95
Nord Est;Veneto;BL;C146;0;3;1,67;1;6;11,67
Centro;Toscana;GR;C147;1,75;5;3;1,5;2;13,25
Nord Ovest;Piemonte;AL;C148;3;11;4;3;6;27
Nord Ovest;Piemonte;NO;C149;0;0;0;0;3;3
Centro;Marche;AN;C152;2;1;2;0;0;5
Nord Ovest;Lombardia;CR;C153;1;17,5;13,63;10,17;13;55,3
Nord Ovest;Piemonte;AT;C154;0;0;0;0;1;1
Nord Ovest;Piemonte;BI;C155;0;0;1,33;0;4,33;5,66
Nord Ovest;Piemonte;AL;C156;0;1;0;0;3;4
Nord Ovest;Lombardia;PV;C157;0;0;0;0;0,5;0,5
Nord Ovest;Piemonte;AL;C158;0;1;1;1;1;4
Nord Ovest;Piemonte;AL;C160;0;1;0;0;1,33;2,33
Nord Ovest;Piemonte;AT;C161;0;0;0;1;0,33;1,33
Nord Ovest;Piemonte;AL;C162;0;0;0;0;4,11;4,11
Nord Ovest;Piemonte;CN;C165;2;0;3;3;5;13
Nord Ovest;Piemonte;NO;C166;9;21,81;16,38;2,5;11,5;61,19
Nord Ovest;Piemonte;CN;C167;1;0;0;0;1;2
Sud;Abruzzo ;TE;C169;0;0;0;0;0;0
Centro;Toscana;SI;C172;3;6,17;4,67;3,4;4,17;21,41
Nord Ovest;Piemonte;CN;C173;0;3;0;0;4;7
Centro;Toscana;PI;C174;0;12,5;3,5;0,5;2;18,5
Sud;Molise;CB;C175;0;2;0,4;0;0;2,4
Nord Ovest;Piemonte;CN;C176;0;1;0;0;1;2
Centro;Lazio;FR;C177;0;0;1,5;1,5;4,5;7,5
Sud;Campania;CE;C178;0;0;0;2;0;2
Nord Ovest;Lombardia;VA;C181;5;4,67;3,5;5;3,5;21,67
Nord Ovest;Lombardia;PV;C184;0;0;2;1;2,5;5,5
Nord Est;Emilia-Romagna;BO;C185;6;26,33;15,98;7,6;11,5;67,41
Nord Ovest;Lombardia;SO;C186;1;1;0;0;0;2
Nord Ovest;Lombardia;LC;C187;0;13;2;0;4;19
Sud;Campania;NA;C188;2,76;12;8,02;5;5;32,78
Nord Est;Veneto;TV;C190;1;7;8;5,07;7,75;28,82
Nord Est;Emilia-Romagna;BO;C191;6;14,5;6,5;3,5;9,16;39,66
Nord Ovest;Lombardia;MN;C195;1;9;7;17,07;8,57;42,64
Sud;Molise;CB;C197;5;3,67;3;0;0,5;12,17
Sud;Puglia;FG;C198;1;7,87;4,17;5;1;19,04
Sud;Basilicata;PZ;C199;1;1;2;1;1;6
Sud;Molise;IS;C200;1;0;0;0;0;1
Sud;Basilicata;PZ;C201;0;1;0;1;1;3
Sud;Puglia;FG;C202;0;4,5;1;0;3;8,5
Centro;Lazio;RM;C203;4;9,5;12;2,92;4;32,42
Nord Est;Emilia-Romagna;BO;C204;10;57,6;51;22,5;20,01;161,11
Nord Ovest;Piemonte;CN;C205;0;0;2;0;1;3
Nord Ovest;Lombardia;CO;C206;1;4;3;3;2;13
Nord Est;Veneto;RO;C207;0;1;6,5;5,17;6,6;19,27
Nord Ovest;Lombardia;BS;C208;2;30,57;27,07;9,58;10,07;79,29
Sud;Basilicata;PZ;C209;3;3;1;0;0;7
Isole;Sicilia;ME;C210;1;0;0;0;2;3
Sud;Campania;CE;C211;0,33;4,5;1;0;0;5,83
Nord Ovest;Lombardia;PV;C213;0;1;1;2;1;5
Nord Ovest;Piemonte;CN;C214;0;0;0;0;0;0
Nord Est;Veneto;RO;C215;0;0;3;1,13;6,53;10,66
Nord Est;Friuli- Venezia Giulia;PN;C217;0;1;2;0;2,5;5,5
Nord Est;Emilia-Romagna;RE;C218;0;4,13;4;5,13;13,13;26,39
Nord Est;Emilia-Romagna;RE;C219;0;10,84;21,33;8,37;12,22;52,76
Nord Ovest;Lombardia;CO;C220;0;3;2;1;0;6
Sud;Puglia;FG;C222;2;2,97;1;1;1;7,97
Centro;Lazio;FR;C223;0;1;0;2;1;4
Centro;Lazio;RI;C224;0;2;1;1;2,25;6,25
Nord Est;Veneto;VR;C225;1;26,73;36,48;13,5;12,5;90,21
Nord Ovest;Piemonte;AT;C226;0;0;1;0;3;4
Centro;Toscana;SI;C227;2,5;17,67;14,17;15,28;17;66,62
Nord Ovest;Lombardia;LO;C228;0;0,83;2;0;4,08;6,91
Nord Ovest;Piemonte;AL;C229;0;3;1;3;1;8
Nord Ovest;Piemonte;AT;C230;1;1;1;0;7,89;10,89
Sud;Campania;SA;C231;4;7;4;2;3;20
Nord Ovest;Piemonte;AT;C232;2;4;2;3;11;22
Sud;Campania;SA;C235;0,78;0,78;0;1;0;2,56
Centro;Toscana;LU;C236;0,67;5,33;4,5;4,67;4,4;19,57
Centro;Lazio;RM;C237;2,5;20;10,16;8,37;10,88;51,91
Nord Ovest;Liguria;SP;C240;4;10,42;5,75;2,92;9,45;32,54
Nord Ovest;Piemonte;TO;C241;0,75;5,67;1;1;0,11;8,53
Nord Est;Emilia-Romagna;MO;C242;1;23,5;25,75;16,61;15,91;82,77
Nord Ovest;Piemonte;AL;C243;0;3;10,34;2,83;9,33;25,5
Centro;Toscana;PI;C244;2;5;5;5,5;0;17,5
Sud;Campania;BN;C245;1,78;1;2;1;1;6,78
Sud;Molise;IS;C246;2;0;1,5;3,11;3,11;9,72
Sud;Molise;IS;C247;0;0;0;0;0;0
Centro;Marche;AN;C248;1;2,5;9;6,33;6,5;25,33
Sud;Campania;BN;C250;4,5;1,33;0;1;2;8,83
Centro;Marche;MC;C251;0;3,5;2;4;3,67;13,17
Centro;Umbria;PG;C252;0;3,83;1;1;2,25;8,08
Nord Ovest;Piemonte;AT;C253;0;0;1;0;1;2
Nord Ovest;Lombardia;BG;C255;1;4;5,33;1,22;1;12,55
Sud;Campania;SA;C259;5;13;11;12,75;7;48,75
Nord Est;Emilia-Romagna;PC;C261;3;24,45;29,28;16,77;25,06;98,56
Sud;Campania;SA;C262;0;1;1;1;0;3
Centro;Toscana;AR;C263;2,33;5,98;5,93;1,33;5;20,57
Nord Est;Emilia-Romagna;BO;C265;8,08;40,64;40,52;23,35;28,8;141,39
Centro;Lazio;RM;C266;1;2,67;0;1;0;4,67
Centro;Marche;MC;C267;3,5;0,5;1,33;2,75;1,25;9,33
Centro;Lazio;RI;C268;2;0;2;0;0,94;4,94
Centro;Lazio;VT;C269;4,5;3,17;0,5;2;3;13,17
Sud;Molise;IS;C270;1;0;0;0;0,5;1,5
Sud;Basilicata;PZ;C271;2;1;2;0;1,33;6,33
Isole;Sardegna;SS;C272;36,67;45,5;5,97;1;4,34;93,48
Nord Ovest;Lombardia;VA;C273;0;4;3,33;7;1;15,33
Nord Ovest;Piemonte;AL;C274;0;0;0;0;5;5
Isole;Sicilia;AG;C275;4,83;14,63;18,37;19,1;6;62,93
Nord Ovest;Liguria;SV;C276;0;0;1;0;0;1
Sud;Abruzzo ;AQ;C278;0;0;0;0;0;0
Sud;Abruzzo ;AQ;C279;2;5;0;0;1;8
Sud;Campania;BN;C280;2;1;0;0;2;5
Nord Ovest;Valle d'Aosta;AO;C282;2;3,22;6,22;1;0;12,44
Sud;Campania;AV;C283;0;0;1,04;0;1,04;2,08
Sud;Campania;BN;C284;2;1,75;1;0;0,33;5,08
Sud;Calabria;RC;C285;4;14,17;10,5;1,57;3,07;33,31
Isole;Sicilia;TP;C286;7;34,89;29,5;43,75;24;139,14
Nord Est;Emilia-Romagna;MO;C287;7,5;17;11;11,86;17;64,36
Nord Est;Emilia-Romagna;PC;C288;1,13;5;8,25;4;12,35;30,73
Centro;Umbria;TR;C289;2;0;2,5;1;2;7,5
Nord Ovest;Lombardia;CR;C290;0;0;1;0;0;1
Sud;Campania;CE;C291;8,67;49,19;61;50,45;46,06;215,37
Nord Est;Emilia-Romagna;BO;C292;7;56,67;85,17;18,5;19,58;186,92
