AREA;Regione;prov;2013_CodCom;NTN 2013 fino a 50 mq;NTN 2013 50 -| 85 mq;NTN 2013 85 -| 115 mq;NTN 2013 115 -| 145 mq;NTN 2013 oltre 145 mq;NTN 2013
Nord Ovest;Lombardia;BS;B120;0;7;2;7,5;8;24,5
Nord Ovest;Piemonte;TO;B121;0;28;38;10,72;5,42;82,14
Nord Ovest;Lombardia;BG;B123;1;4;2;0;1;8
Nord Ovest;Lombardia;BS;B124;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;B126;6;9;4,9;0,33;3,5;23,73
Nord Est;Veneto;TV;B128;0;7;6,5;3;7,83;24,33
Nord Ovest;Lombardia;CR;B129;0;8;10;6,5;15;39,5
Nord Ovest;Lombardia;VA;B131;1;1;0;1;1;4
Nord Est;Veneto;VI;B132;0;10;11,5;7;13;41,5
Nord Ovest;Lombardia;CO;B134;5;10;9;7,74;6,5;38,24
Nord Ovest;Piemonte;VC;B136;0;0;3;1;2;6
Nord Ovest;Lombardia;BG;B137;3,75;22,33;20,66;14,05;5,85;66,64
Nord Ovest;Lombardia;BG;B138;1;8,25;14;11,6;12,69;47,54
Nord Ovest;Lombardia;BG;B140;2,99;2,33;4,33;6,45;1,5;17,6
Nord Ovest;Lombardia;LO;B141;1;8,5;7,17;1,75;1;19,42
Nord Ovest;Lombardia;PV;B142;0;0;0,33;1,67;3,16;5,16
Nord Est;Veneto;VI;B143;0;5,5;4;6;13;28,5
Nord Ovest;Lombardia;CO;B144;0;5;6;2;2;15
Nord Ovest;Lombardia;BS;B149;2;8;4,08;2;5;21,08
Nord Ovest;Lombardia;VA;B150;1;1;3,5;0;1;6,5
Nord Est;Veneto;VR;B152;0;0;1;0,18;3;4,18
Nord Est;Veneto;VR;B154;8,34;14,67;5,25;4,5;5;37,76
Nord Est;Emilia-Romagna;RE;B156;0;12;11,45;4;9,5;36,95
Nord Ovest;Lombardia;BS;B157;102,96;392,2;422,36;245,95;201,01;1364,48
Nord Ovest;Lombardia;PV;B159;0;2;9;1;4;16
Nord Est;Veneto;VI;B161;2,25;7;5;1;6;21,25
Nord Ovest;Lombardia;MI;B162;18,28;95,26;72,92;24,67;6,67;217,8
Nord Ovest;Lombardia;VA;B166;10;15;5,5;1;2;33,5
Nord Ovest;Piemonte;CN;B167;1;0;0;1;1;3
Sud;Calabria;VV;B169;5,67;10;3,93;2;0;21,6
Nord Ovest;Piemonte;TO;B171;0;8,5;10,17;8,17;15;41,84
Nord Ovest;Lombardia;CO;B172;0;1;0;0;3;4
Sud;Basilicata;PZ;B173;0;1;3;3;2;9
