Area;Regione;prov;2017_CodCom;NTN_2017_Box;NTN_2017_Depositi_Pert
"Sud";"Campania";"AV";"H975";3,000000;1,000000
"Sud";"Calabria";"CZ";"H976";0,000000;0,000000
"Sud";"Campania";"SA";"H977";14,000000;0,380000
"Sud";"Campania";"CE";"H978";31,500000;3,000000
"Centro";"Marche";"AN";"H979";4,330000;1,830000
"Sud";"Calabria";"CS";"H981";2,000000;1,000000
"Isole";"Sicilia";"ME";"H982";1,000000;0,000000
"Sud";"Campania";"BN";"H984";0,920000;1,000000
"Sud";"Puglia";"FG";"H985";37,830000;11,170000
"Sud";"Puglia";"FG";"H986";0,000000;1,000000
"Nord Ovest";"Piemonte";"AT";"H987";4,500000;1,000000
"Sud";"Molise";"CB";"H990";11,660000;2,330000
"Sud";"Abruzzo ";"CH";"H991";2,000000;0,000000
"Sud";"Calabria";"CS";"H992";0,000000;2,000000
"Sud";"Basilicata";"PZ";"H994";2,000000;2,500000
"Nord Est";"Veneto";"RO";"H996";19,000000;3,000000
"Nord Ovest";"Piemonte";"TO";"H997";9,000000;1,000000
"Nord Est";"Friuli- Venezia Giulia";"PN";"H999";7,500000;0,000000
"Sud";"Campania";"BN";"I002";3,000000;1,000000
"Nord Est";"Veneto";"VR";"I003";237,910000;24,020000
"Nord Ovest";"Lombardia";"MN";"I005";7,500000;0,000000
"Nord Ovest";"Lombardia";"CR";"I007";0,000000;0,000000
"Nord Est";"Veneto";"PD";"I008";54,500000;5,030000
"Nord Est";"Emilia-Romagna";"RE";"I011";106,350000;9,000000
"Nord Ovest";"Lombardia";"LO";"I012";46,500000;4,000000
"Nord Ovest";"Lombardia";"PV";"I014";77,260000;4,530000
"Sud";"Campania";"AV";"I016";2,500000;7,000000
"Nord Ovest";"Piemonte";"AT";"I017";3,000000;1,000000
"Sud";"Puglia";"TA";"I018";6,830000;0,000000
"Sud";"Campania";"SA";"I019";20,550000;1,110000
"Sud";"Molise";"CB";"I023";6,010000;0,000000
"Nord Ovest";"Piemonte";"TO";"I024";105,500000;3,500000
"Nord Ovest";"Piemonte";"NO";"I025";16,130000;3,000000
"Sud";"Calabria";"KR";"I026";0,000000;2,000000
"Nord Est";"Emilia-Romagna";"FO";"I027";140,000000;7,020000
"Isole";"Sicilia";"PA";"I028";0,000000;2,000000
"Sud";"Basilicata";"MT";"I029";1,000000;2,000000
"Nord Ovest";"Piemonte";"TO";"I030";196,170000;26,150000
"Sud";"Campania";"SA";"I031";5,250000;3,000000
"Sud";"Campania";"SA";"I032";1,000000;0,000000
"Sud";"Campania";"AV";"I034";5,100000;2,200000
"Isole";"Sicilia";"CT";"I035";2,670000;5,000000
"Nord Ovest";"Piemonte";"CN";"I037";8,000000;2,000000
"Nord Est";"Veneto";"VE";"I040";242,170000;15,060000
"Sud";"Puglia";"BR";"I045";6,950000;1,000000
"Centro";"Toscana";"PI";"I046";116,710000;39,220000
"Nord Est";"Veneto";"VI";"I047";10,000000;0,000000
"Nord Ovest";"Lombardia";"PV";"I048";31,000000;1,000000
"Sud";"Campania";"BN";"I049";0,000000;2,000000
"Nord Ovest";"Lombardia";"CO";"I051";1,000000;0,000000
"Nord Ovest";"Piemonte";"NO";"I052";3,000000;0,000000
"Sud";"Puglia";"BA";"I053";18,000000;9,000000
"Sud";"Puglia";"FG";"I054";41,980000;7,500000
"Sud";"Campania";"CE";"I056";129,830000;14,460000
"Sud";"Calabria";"KR";"I057";3,000000;0,000000
"Sud";"Calabria";"VV";"I058";0,000000;3,000000
"Sud";"Puglia";"LE";"I059";17,500000;3,000000
"Sud";"Calabria";"CS";"I060";1,330000;3,330000
"Sud";"Campania";"AV";"I061";1,000000;0,500000
"Sud";"Campania";"BN";"I062";9,000000;2,000000
"Nord Est";"Veneto";"BL";"I063";2,250000;2,000000
"Sud";"Puglia";"BR";"I066";9,000000;0,000000
"Centro";"Marche";"AN";"I071";4,000000;0,000000
"Sud";"Puglia";"FG";"I072";11,000000;5,000000
"Sud";"Campania";"NA";"I073";14,830000;6,000000
"Nord Ovest";"Piemonte";"AT";"I076";5,000000;0,000000
"Nord Ovest";"Lombardia";"BG";"I079";27,170000;10,330000
"Isole";"Sicilia";"ME";"I084";7,000000;6,000000
"Isole";"Sicilia";"ME";"I086";4,250000;3,000000
"Nord Est";"Veneto";"BL";"I088";2,190000;2,520000
