Area;Regione;Provincia;2023_CodCom;NTN 2023 fino a 50 mq;NTN 2023 50 -| 85 mq;NTN 2023 85 -| 115 mq;NTN 2023 115 -| 145 mq;NTN 2023 oltre 145 mq;NTN_2023
Sud;Calabria;CS;A053;5;3;13;21,22;10,66;52,88
Centro;Lazio;FR;A054;6;12,8;3,5;2;2;26,3
Sud;Puglia;BA;A055;12,5;29,33;66,08;35;42;184,91
Isole;Sicilia;CT;A056;36,63;68,03;63,76;67,41;61,75;297,58
Nord Ovest;Lombardia;BG;A057;3;5;10,25;1,25;7;26,5
Nord Ovest;Lombardia;BG;A058;0;5;4;2;1,5;12,5
Nord Est;Veneto;RO;A059;9;57,31;73,96;41,63;50,22;232,12
Nord Ovest;Lombardia;BS;A060;2;18;24;9,5;28,57;82,07
Nord Est;Veneto;VR;A061;3;11,84;8,33;7,33;14;44,5
Centro;Lazio;RM;A062;2;6;3;2;0;13
Sud;Campania;NA;A064;93,35;104,38;122,8;56,67;36,84;414,04
Sud;Calabria;RC;A065;0;2;1;2;3;8
Nord Est;Emilia-Romagna;PC;A067;0;6;18,6;10;23,5;58,1
Sud;Campania;NA;A068;3,07;16,37;8,92;17,76;15,1;61,22
Isole;Sardegna;SS;A069;0;4;1;0;1;6
Isole;Sicilia;EN;A070;11,25;13,5;19,64;9,44;21,33;75,16
Centro;Toscana;PT;A071;3;42,26;39,75;27,5;49,77;162,28
Nord Ovest;Piemonte;AT;A072;1;2;11;1;12;27
Nord Ovest;Piemonte;TO;A074;0;4,5;1,5;4,33;6;16,33
Nord Est;Veneto;PD;A075;0;3;5,5;5,67;17;31,17
Nord Ovest;Lombardia;CR;A076;2;15;10,5;12,17;11;50,67
Sud;Calabria;RC;A077;0;0,5;0;1;0;1,5
Sud;Molise;IS;A080;0;6,17;9,75;4;16;35,92
Centro;Lazio;FR;A081;1;1;4;3,75;1;10,75
Nord Ovest;Lombardia;BS;A082;1,08;2;3;1;5;12,08
Nord Est;Veneto;BL;A083;9,42;17,33;34,58;9,25;4,96;75,54
Centro;Lazio;RM;A084;1;7,5;4,5;1,58;1,5;16,08
Nord Ovest;Lombardia;VA;A085;1,56;5;5;2;3;16,56
Nord Ovest;Lombardia;MI;A087;23,75;74,27;76,17;33,17;30,49;237,85
Nord Ovest;Piemonte;NO;A088;0;3;7,5;6,5;13,5;30,5
Isole;Sicilia;AG;A089;65,5;148,11;172,01;172,59;152,09;710,3
Sud;Campania;SA;A091;45,83;104;73,93;45,1;20,6;289,46
Centro;Marche;AN;A092;0,66;2;13;13;7,1;35,76
Nord Est;Veneto;VI;A093;0;1;3,67;5;3;12,67
Nord Ovest;Valle d'Aosta;AO;A094;22,16;26,16;20,25;2,97;5,67;77,21
Nord Ovest;Lombardia;MI;A096;3;5;11;7,5;4;30,5
Isole;Sardegna;OR;A097;0;0;0;0;3,28;3,28
Isole;Sicilia;EN;A098;9,84;12,88;9,32;6,01;6,27;44,32
Sud;Abruzzo;AQ;A100;1;8,88;4,5;2;0,5;16,88
Sud;Campania;AV;A101;0,06;3,97;4,3;8;12,06;28,39
Sud;Calabria;CS;A102;2;0;0;1;2;5
Sud;Calabria;CS;A105;0;2;1;0;0;3
Sud;Campania;CE;A106;0;0;2;0;2;4
Nord Ovest;Piemonte;BI;A107;1;2;1;1;6;11
Nord Ovest;Valle d'Aosta;AO;A108;5;10;2;4;1;22
Nord Ovest;Piemonte;TO;A109;6,17;22,5;18,67;4;8,33;59,67
Sud;Campania;BN;A110;5,1;7;10;12;17,34;51,44
Nord Ovest;Liguria;IM;A111;7;7;2;0;1;17
Nord Ovest;Lombardia;LC;A112;1;9,83;13;6;3;32,83
Nord Ovest;Piemonte;CN;A113;1;6;2;1;1,33;11,33
Isole;Sardegna;SS;A115;0;2;1;1;3,95;7,95
Nord Ovest;Piemonte;TO;A117;16;17,5;7;2;2;44,5
Nord Ovest;Lombardia;PV;A118;1;3;2,67;0;7,17;13,84
Nord Ovest;Piemonte;VC;A119;6;10,13;5;1;3;25,13
Sud;Abruzzo;PE;A120;3;1;7,5;4;6;21,5
Nord Est;Veneto;BL;A121;1;5;11;7;19;43
Nord Ovest;Liguria;SV;A122;64,17;155,97;76,51;40,16;15,67;352,48
Centro;Lazio;FR;A123;8,67;20,53;39,76;27,58;50,61;147,15
Nord Ovest;Piemonte;CN;A124;33,52;127;125,65;56,83;47,84;390,84
Sud;Abruzzo;TE;A125;113,5;206,42;71,29;39,5;14,01;444,72
Isole;Sardegna;OR;A126;1;0;1;0;1;3
Nord Ovest;Lombardia;MI;A127;4;7;15;7;10,83;43,83
Sud;Campania;SA;A128;1;6;4;6,75;9,17;26,92
Nord Ovest;Lombardia;BG;A129;2;27,3;42;17,5;12;100,8
Nord Ovest;Piemonte;VC;A130;0;0;2;0;2;4
Sud;Basilicata;PZ;A131;1;1;0;1;0,5;3,5
Centro;Lazio;RM;A132;31,25;143,55;147,06;56,25;49,17;427,28
Nord Ovest;Lombardia;PV;A134;1;2;2;2;0;7
Nord Ovest;Lombardia;SO;A135;5,34;3;0,67;0;0;9,01
Nord Est;Veneto;VR;A137;1;7,67;13,91;11,83;32,48;66,89
Nord Est;Emilia-Romagna;PR;A138;0,5;6,83;2,5;9,99;11,93;31,75
Nord Ovest;Piemonte;CN;A139;1;1;0;1;0;3
Nord Ovest;Lombardia;CO;A143;2;13,5;18,5;7;7,67;48,67
Nord Ovest;Liguria;SV;A145;62,16;147,6;86,99;40,17;23,17;360,09
Nord Ovest;Piemonte;AL;A146;0,07;0,5;5;3;3,14;11,71
Sud;Puglia;BA;A149;15,42;24,03;24,38;33,12;20,83;117,78
Sud;Puglia;FG;A150;3;3;3;1,17;1;11,17
Nord Ovest;Lombardia;CO;A153;2;9;18;11;13;53
Nord Est;Veneto;VI;A154;0;4;3;8,5;11,6;27,1
Sud;Calabria;CZ;A155;1;3;1;1;0;6
Nord Ovest;Piemonte;TO;A157;1;1;2,17;7;11;22,17
Nord Ovest;Lombardia;MI;A159;4;23;22,78;13;9,34;72,12
Sud;Calabria;CS;A160;3;2;1;0;0;6
Nord Est;Veneto;PD;A161;9;89,5;107,11;95,47;131,8;432,88
Nord Est;Emilia-Romagna;RE;A162;3;17,5;28,49;17,83;24,91;91,73
Nord Ovest;Lombardia;BG;A163;15,2;62,4;69,71;45,97;57,86;251,14
Nord Ovest;Lombardia;CO;A164;4;9;13;10,1;14;50,1
Nord Ovest;Liguria;SV;A165;12;43,5;18;5,5;7,5;86,5
Nord Ovest;Liguria;SV;A166;15;75,5;44,39;14,5;5;154,39
Nord Ovest;Lombardia;VA;A167;2;18,84;16,57;9,5;15;61,91
Nord Ovest;Lombardia;PV;A171;0;1;1;0;5,33;7,33
Nord Ovest;Lombardia;SO;A172;9,83;9,25;4,66;1,8;3,17;28,71
Nord Ovest;Piemonte;AT;A173;1;1;0;1;2;5
Nord Ovest;Lombardia;PV;A175;10;21,4;18,5;9;6;64,9
Isole;Sicilia;TP;A176;40,17;143,29;152;121,93;73,31;530,7
Isole;Sicilia;ME;A177;2;1;3,33;1,33;1;8,66
Isole;Sardegna;OR;A180;0;1;1;3;5,3;10,3
Isole;Sicilia;AG;A181;1;11,5;2;5;4,67;24,17
Nord Ovest;Piemonte;AL;A182;124,99;502,79;419,14;180,09;238,58;1465,59
Sud;Calabria;CS;A183;1;1;0;1;0;3
Sud;Puglia;LE;A184;7;6;8;9,58;14,83;45,41
Sud;Puglia;LE;A185;3;20,25;19,5;17;18,79;78,54
Sud;Campania;SA;A186;1;0;0;0;1;2
Sud;Abruzzo;AQ;A187;10,5;24,5;11,97;1;0,14;48,11
Nord Ovest;Lombardia;BS;A188;2;6;3,09;4;11;26,09
Nord Ovest;Piemonte;AL;A189;1;1;1;1;13,5;17,5
Nord Est;Emilia-Romagna;RA;A191;4;27,5;29,5;22;53,96;136,96
Isole;Sardegna;SS;A192;120,02;271,82;193,34;104,52;64,5;754,2
Nord Ovest;Lombardia;BG;A193;1,08;3,5;2,04;0;1,5;8,12
Isole;Sicilia;ME;A194;0;0;0;0;1;1
Isole;Sicilia;PA;A195;4;7,5;8,5;4;8,67;32,67
Sud;Basilicata;MT;A196;4;4;0;1;1;10
Nord Ovest;Piemonte;AL;A197;0;0;2;0;9;11
Nord Ovest;Piemonte;VC;A198;0;3;4;1;9,5;17,5
Sud;Campania;CE;A200;3;3,22;10,67;6;10,5;33,39
Isole;Sicilia;ME;A201;2;7,83;6,67;3;2;21,5
Isole;Sicilia;PA;A202;2;6,08;8,71;7,5;2;26,29
Isole;Sicilia;PA;A203;1;0;0,8;1;1;3,8
Isole;Sardegna;OR;A204;1;0;0;1;2;4
Nord Ovest;Valle d'Aosta;AO;A205;0;0;1;1;0;2
Nord Est;Veneto;BL;A206;6;10,5;4;2;4;26,5
Centro;Umbria;TR;A207;1;2;0;5;8;16
Sud;Puglia;LE;A208;7;19,8;15,67;17,67;18,5;78,64
Centro;Lazio;RM;A210;7;12,91;12,36;5;3;40,27
Nord Ovest;Lombardia;BG;A214;2,5;14,33;13,18;8;4,83;42,84
Nord Ovest;Lombardia;BG;A215;2,67;17,6;17,56;8,89;9,18;55,9
Nord Ovest;Lombardia;BG;A216;4,63;17;14,5;8,5;20,8;65,43
Nord Ovest;Lombardia;BG;A217;1,5;16,5;16,83;4,89;8,84;48,56
Nord Ovest;Piemonte;TO;A218;5;19;23;16;26,23;89,23
Nord Est;Veneto;VI;A220;0;3;2,17;3,34;8,5;17,01
Nord Ovest;Piemonte;TO;A221;2;4;0;0;2;8
Nord Ovest;Piemonte;TO;A222;10;85,56;74,5;25;30,75;225,81
Nord Est;Emilia-Romagna;PC;A223;3;8,5;22,5;16,17;36,97;87,14
Nord Ovest;Lombardia;CO;A224;1;4;6;2;5,4;18,4
Sud;Puglia;BA;A225;55,69;138,95;227,35;125,24;54,04;601,27
Nord Ovest;Liguria;SV;A226;0;11;6,5;1;2;20,5
Nord Ovest;Piemonte;AL;A227;0;3;2;1,5;8,5;15
Sud;Campania;AV;A228;1;8;7,5;4,6;4;25,1
Isole;Sicilia;PA;A229;6,92;27,17;40,67;48,08;45,5;168,34
Sud;Campania;SA;A230;3,67;13,78;7;2;7,97;34,42
Nord Est;Veneto;VI;A231;10;38,15;33,67;22;32,95;136,77
Centro;Marche;AP;A233;2,5;27;25,67;5,5;6,33;67
Sud;Calabria;CS;A234;0;1,13;0,8;0;0;1,93
Sud;Abruzzo;CH;A235;0;3;5,5;3,85;2,5;14,85
Nord Est;Veneto;VI;A236;0;5;8;1,33;3;17,33
Nord Est;Veneto;TV;A237;0;7;5,4;7;17,54;36,94
Nord Ovest;Piemonte;CN;A238;1;1;0;1,5;1;4,5
Isole;Sicilia;PA;A239;6;7;12;11;19;55
Sud;Calabria;CS;A240;6;8,5;5;2;10;31,5
Centro;Toscana;LU;A241;4;52,83;56,33;30,8;40,77;184,73
Centro;Umbria;TR;A242;1;6;2;1;3;13
Sud;Campania;CE;A243;0;7;1;7;10,02;25,02
Centro;Lazio;FR;A244;1;3;6;6;14,17;30,17
Nord Ovest;Piemonte;AL;A245;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A246;20;57,5;55,5;19,5;25,34;177,84
Nord Ovest;Lombardia;CO;A249;0;7;11,83;9,5;10;38,33
Sud;Campania;SA;A251;6,2;11,03;10,5;9;8;44,73
Centro;Marche;AP;A252;0;2,17;9,17;1,67;19;32,01
Sud;Calabria;CS;A253;13,28;41;30;33;17,01;134,29
Nord Est;Friuli- Venezia Giulia;UD;A254;0;0;1;2,11;5;8,11
Sud;Calabria;CZ;A255;1;1;1;2;0;5
Centro;Lazio;FR;A256;2;3;3;2,67;3;13,67
Sud;Calabria;CZ;A257;1;0;2;0;2;5
Centro;Lazio;RI;A258;12,22;16;5,5;3,08;6,06;42,86
Nord Ovest;Lombardia;BG;A259;0;6,5;5;4,25;7,67;23,42
Nord Ovest;Liguria;SP;A261;19,68;30,99;19;11,67;12,67;94,01
Centro;Umbria;TR;A262;13,33;29;39,5;34;40,5;156,33
Sud;Calabria;CS;A263;3,67;8,34;10,8;0,6;3,34;26,75
Nord Ovest;Piemonte;NO;A264;1;6;3,06;5,06;5,09;20,21
Sud;Campania;BN;A265;0;1;0;2;5;8
Nord Est;Friuli- Venezia Giulia;UD;A267;1;1;0;1;3,96;6,96
Sud;Campania;NA;A268;7,1;17;5;3,5;6,49;39,09
Centro;Lazio;FR;A269;10;44,5;39,33;27,18;41,61;162,62
Sud;Abruzzo;TE;A270;2;4;2;3;4,67;15,67
Centro;Marche;AN;A271;78,26;390,99;445,54;204,75;147,04;1266,58
Sud;Calabria;CZ;A272;0;0;0;1;0;1
Nord Ovest;Lombardia;SO;A273;0;1;0;1;4;6
Nord Ovest;Piemonte;TO;A275;2;3,5;3;4;4;16,5
Nord Ovest;Liguria;SV;A278;63,33;136,42;40,08;12;10,63;262,46
Nord Ovest;Piemonte;BI;A280;0;11;4,5;13;23,92;52,42
Sud;Puglia;LE;A281;3;10;5;8;9;35
Nord Ovest;Piemonte;TO;A282;0;4;1;1;5;11
Nord Est;Friuli- Venezia Giulia;PN;A283;2;4;2;1;0;9
Sud;Campania;AV;A284;2;2,67;4;1,33;1;11
Sud;Puglia;BA;A285;58,06;198,1;316,09;198,64;98,76;869,65
Isole;Sardegna;SS;A287;5;1;1;1;1;9
Nord Ovest;Lombardia;BS;A288;2;5;7,5;1;3,33;18,83
Nord Ovest;Lombardia;VA;A290;3,5;14;23,66;11,95;25,33;78,44
Centro;Toscana;AR;A291;1;9;18,5;8;32,14;68,64
Nord Est;Veneto;VR;A292;0;7;6,25;12;10,5;35,75
Nord Ovest;Lombardia;BS;A293;15;16,26;7,67;1;4;43,93
Sud;Campania;SA;A294;29,75;25;68,21;44,12;33,04;200,12
Nord Ovest;Piemonte;TO;A295;7;10;8;4;8,5;37,5
Nord Est;Veneto;PD;A296;3;7,25;10,23;8,58;20,75;49,81
Centro;Lazio;RM;A297;14;70,64;57,5;33,88;41,3;217,32
Nord Ovest;Lombardia;CR;A299;0;3,01;10,17;7,67;12,5;33,35
Nord Ovest;Piemonte;AT;A300;0;1;3;0;13,75;17,75
Nord Ovest;Lombardia;LC;A301;1;4;8;9;4;26
Nord Est;Veneto;VE;A302;1;9;11,5;1,98;9,83;33,31
Sud;Calabria;RC;A303;0;5;1;2;2;10
Nord Ovest;Lombardia;BG;A304;0;12;15,5;15;3,5;46
Nord Ovest;Valle d'Aosta;AO;A305;6,28;11,33;5;2;2;26,61
Nord Ovest;Valle d'Aosta;AO;A308;4;5;0;1;0;10
Centro;Lazio;RM;A309;1;6,66;2;1;1;11,66
Centro;Lazio;FR;A310;26,03;79,88;30;18,71;14;168,62
Nord Ovest;Piemonte;AT;A312;1;2;2;0,5;6;11,5
Isole;Sicilia;ME;A313;0;0;1;0,5;1;2,5
Sud;Calabria;RC;A314;1;0;1,67;1;0;3,67
Centro;Lazio;RI;A315;3;7;5,92;4;1,35;21,27
Nord Ovest;Piemonte;VB;A317;0;6;2;3;1,5;12,5
Sud;Abruzzo;AQ;A318;4;4;2;2,33;1;13,33
Nord Ovest;Lombardia;CO;A319;1;10,5;9,5;1,5;4;26,5
Sud;Puglia;FG;A320;0;3,33;4;1;1;9,33
Sud;Basilicata;PZ;A321;4;7,67;5,27;0,33;1;18,27
Centro;Lazio;RM;A323;65,96;420,83;367,75;167,35;136,9;1158,79
Nord Est;Emilia-Romagna;BO;A324;17;60;60,34;17;22,2;176,54
Nord Ovest;Piemonte;VB;A325;0;0;0,5;2;0;2,5
Nord Ovest;Valle d'Aosta;AO;A326;31,99;170,58;112,59;37,02;34;386,18
Centro;Marche;PS;A327;2;2;3,33;2,83;7,3;17,46
Sud;Campania;BN;A328;0;4;9;6,5;12,5;32
Centro;Marche;MC;A329;2;5;6,75;5;6;24,75
Sud;Campania;BN;A330;3,5;1;3;6;2,67;16,17
Nord Ovest;Lombardia;CO;A333;4;24,85;23,25;25,33;21;98,43
Centro;Marche;MC;A334;2;6,75;5;8,78;3,22;25,75
Centro;Marche;AP;A335;0;0;3;2;2;7
Nord Ovest;Lombardia;SO;A337;30,75;50,59;13,17;1;0;95,51
Nord Ovest;Liguria;IM;A338;4,5;4,5;4,5;3;3;19,5
Sud;Puglia;FG;A339;10,83;19;32,67;25,5;26;114
Sud;Calabria;CS;A340;1,83;2;5;0;3;11,83
Centro;Lazio;LT;A341;37,83;243,94;209,68;130,13;107,35;728,93
Sud;Campania;SA;A343;3;2;1;2;1;9
Nord Ovest;Liguria;IM;A344;0;0;0;0;0;0
Sud;Abruzzo;AQ;A345;55,27;159,59;204,89;188,54;145,68;753,97
Sud;Campania;AV;A347;0;2,51;6,58;0,08;2,5;11,67
Centro;Lazio;FR;A348;0;4,88;5;4;7,67;21,55
Sud;Puglia;LE;A350;6;11,25;9,25;6,75;10;43,25
Isole;Sicilia;AG;A351;7;23,53;20,78;20,83;16;88,14
Nord Ovest;Piemonte;AT;A352;0;2;2;4;4;12
Nord Est;Friuli- Venezia Giulia;PN;A354;0;0;0;3;8,67;11,67
Isole;Sardegna;NU;A355;6,01;62,53;26,25;15,5;24,62;134,91
Isole;Sardegna;OR;A357;0;1;4,22;7,84;8,84;21,9
Nord Ovest;Piemonte;VC;A358;0;2;2;0;3,67;7,67
Isole;Sardegna;CA;A359;17;32,16;14,75;5,83;18,86;88,6
Nord Est;Veneto;TV;A360;0;12;9;7,55;10,6;39,15
Centro;Lazio;FR;A363;2;3;10,42;6,67;23,3;45,39
Nord Ovest;Lombardia;BG;A365;1;16,5;18,12;14;8,06;57,68
Centro;Marche;AN;A366;3,89;8,83;7,89;9,5;18,5;48,61
Sud;Abruzzo;CH;A367;1;0;2;3;3;9
Isole;Sardegna;OR;A368;2;4,27;4;5,83;8;24,1
Centro;Toscana;GR;A369;7,5;26,67;28,75;17,5;17,17;97,59
Centro;Lazio;RM;A370;8;22,92;10;1;6;47,92
Nord Ovest;Lombardia;VA;A371;7;30;30,39;16,8;18,33;102,52
Nord Ovest;Liguria;SP;A373;28;54,17;43,25;16;23,26;164,68
Nord Est;Veneto;VR;A374;1,5;9,75;20,67;5;21,81;58,73
Nord Ovest;Lombardia;MI;A375;2;19,5;24;15,5;19,39;80,39
Nord Ovest;Lombardia;MI;A376;25,5;126,85;94,29;34,4;18,5;299,54
Nord Est;Veneto;VI;A377;2;8,5;10,33;10;28,3;59,13
Isole;Sardegna;SS;A379;0;0;0;1;1;2
Isole;Sardegna;OR;A380;0;0;0;0;4;4
Nord Ovest;Lombardia;SO;A382;4;11,5;11,4;2,75;8,5;38,15
Nord Ovest;Lombardia;BG;A383;11,89;25,5;8,16;7,28;7;59,83
Sud;Calabria;RC;A385;8,2;14,83;8,5;5,5;9;46,03
Sud;Calabria;VV;A386;2,33;1;2;1;0;6,33
Nord Ovest;Lombardia;PV;A387;0,12;4;6,5;2;11;23,62
Nord Ovest;Liguria;GE;A388;24,04;76,5;54,17;25;18;197,71
Nord Ovest;Lombardia;MI;A389;17;68,44;87,23;43,1;61,16;276,93
Centro;Toscana;AR;A390;43,23;251,99;301,33;198,53;222,62;1017,7
Nord Ovest;Lombardia;CO;A391;4;7;4,17;0;5;20,17
Nord Est;Emilia-Romagna;BO;A392;3;59,5;42,5;13,5;13,23;131,73
Nord Est;Emilia-Romagna;FE;A393;7,5;54,83;73,25;51,75;79,17;266,5
Nord Ovest;Piemonte;CN;A394;10;6,25;0;0;1;17,25
Nord Ovest;Piemonte;CN;A396;1;3;0;2;2;8
Sud;Calabria;CZ;A397;0;0,5;1;0;0;1,5
Sud;Abruzzo;CH;A398;1;2;1;4;7;15
Sud;Campania;AV;A399;6,75;24,08;29,79;23,24;38,17;122,03
Nord Est;Veneto;RO;A400;4,5;6,5;18,38;19,67;18,67;67,72
Centro;Lazio;RM;A401;11;45,5;52,8;26,33;42,84;178,47
Sud;Abruzzo;CH;A402;0;1;1;0;0;2
Sud;Campania;CE;A403;0;3;5,25;6,5;7,97;22,72
Nord Ovest;Piemonte;TO;A405;0;3,67;1;0,67;7,5;12,84
Isole;Sardegna;NU;A407;0;5,33;1,58;3;2;11,91
Nord Ovest;Piemonte;VB;A409;0;1;1;4,5;7,75;14,25
Centro;Lazio;VT;A412;0;3,5;5,33;0;3;11,83
Nord Ovest;Lombardia;MI;A413;17;86,23;57,32;20,06;21,1;201,71
Nord Ovest;Piemonte;NO;A414;3,33;6,33;6;6,67;11,66;33,99
Sud;Basilicata;PZ;A415;1;3;0;1;1,33;6,33
Nord Ovest;Liguria;IM;A418;1;0;1;0;0;2
Isole;Sardegna;CA;A419;0,25;4;2;2,89;5,25;14,39
Centro;Lazio;FR;A421;0;4;2;1;6,5;13,5
Nord Ovest;Liguria;SV;A422;3;1,17;4;2;6;16,17
Nord Ovest;Valle d'Aosta;AO;A424;0;0;0;2;3;5
Sud;Puglia;LE;A425;1,83;9;6,17;3,97;7,17;28,14
Nord Ovest;Piemonte;VB;A427;0;2;0;1;0;3
Nord Ovest;Piemonte;NO;A429;12,58;77,46;93,45;39;34,83;257,32
Nord Ovest;Lombardia;CO;A430;4;16,3;19,33;7,5;8;55,13
Sud;Campania;BN;A431;4;1;2;7;3;17
Sud;Campania;BN;A432;1;1;4,5;1,67;2;10,17
Centro;Lazio;FR;A433;2;11;7,17;5;20,93;46,1
Nord Est;Veneto;PD;A434;0;5;4,5;2,74;13;25,24
Nord Est;Veneto;RO;A435;1;4,5;8;7,33;11,25;32,08
Nord Ovest;Piemonte;AL;A436;2;32,5;26;12;6,5;79
Centro;Marche;AP;A437;16,25;9,75;3,6;1,25;1;31,85
Nord Est;Veneto;PD;A438;2;2;5;9,5;14,5;33
Centro;Umbria;TR;A439;4;8;8,5;7;10;37,5
Nord Ovest;Lombardia;BG;A440;0;9,01;9,83;4;6,5;29,34
Nord Ovest;Lombardia;VA;A441;7,67;19,5;8;8,34;5,08;48,59
Nord Est;Veneto;BL;A443;2;13,5;7;7,78;11,78;42,06
Nord Est;Veneto;VI;A444;4;5;6,5;9;23,9;48,4
Sud;Abruzzo;TE;A445;0;0;0;0;4;4
Centro;Lazio;RM;A446;1;2;3;4,25;5;15,25
Nord Est;Friuli- Venezia Giulia;UD;A447;11;21;5,33;7;8;52,33
Nord Est;Friuli- Venezia Giulia;UD;A448;1;3;1;7;3;15
Centro;Lazio;RM;A449;7;39,67;20;11,83;23,87;102,37
Nord Ovest;Lombardia;BS;A451;13,37;32,44;19;5;2,5;72,31
Nord Ovest;Valle d'Aosta;AO;A452;0;1,5;4;0;0,86;6,36
Isole;Sardegna;SS;A453;49,13;130,45;100,81;44;64,82;389,21
Isole;Sardegna;NU;A454;0;0;0;1;5;6
Sud;Campania;NA;A455;35,22;43,62;59,51;53,5;18;209,85
Nord Est;Veneto;PD;A458;3;12;10;15;22,37;62,37
Nord Est;Veneto;VI;A459;11,97;84,16;94,28;52,12;100,27;342,8
Sud;Campania;SA;A460;12,96;56;18,17;10;6;103,13
Centro;Toscana;SI;A461;2;22,5;27,5;18,75;10,89;81,64
Centro;Marche;AP;A462;21,9;104,89;130,59;85,44;70,61;413,43
Sud;Puglia;FG;A463;12,67;30,71;16;12,72;5;77,1
Centro;Lazio;RI;A464;2;5;1;1,5;0;9,5
Nord Est;Veneto;VI;A465;11,77;66,3;39,43;18,57;23,24;159,31
Nord Ovest;Piemonte;VC;A466;1;0;1;3;7,5;12,5
Nord Est;Veneto;VI;A467;0;1;0;2,08;9,16;12,24
Centro;Toscana;SI;A468;9;17,5;30,5;36,33;39,33;132,66
Nord Ovest;Lombardia;MN;A470;5;35;30,5;9,5;36,16;116,16
Nord Est;Veneto;TV;A471;3;34;24,5;9;29;99,5
Centro;Lazio;RI;A472;1;5,51;7,5;5;6;25,01
Nord Ovest;Lombardia;MI;A473;7,5;48,67;37,5;21,67;20;135,34
Isole;Sardegna;CA;A474;11,5;107,33;66,6;34,5;29,17;249,1
Centro;Umbria;PG;A475;21,85;86,24;63,45;59,55;84,39;315,48
Nord Ovest;Lombardia;CO;A476;4;23;11,65;6,5;6,5;51,65
Isole;Sardegna;OR;A477;0;1;1;0;0,92;2,92
Isole;Sicilia;EN;A478;3;7,67;4,17;3;6,75;24,59
Nord Ovest;Piemonte;AT;A479;90,5;316,01;265,06;99,34;142,91;913,82
Isole;Sardegna;OR;A480;0;0;1;0;0;1
Sud;Abruzzo;AQ;A481;2;17;9;0;5;33
Sud;Basilicata;PZ;A482;3;5;2;8;1,5;19,5
Sud;Campania;SA;A484;0;2;4;2;7;15
Sud;Abruzzo;CH;A485;4;6;15;9;18,5;52,5
Centro;Lazio;FR;A486;10,67;7;7,67;7,17;17,5;50,01
Sud;Campania;SA;A487;2;1,75;1;1;0;5,75
Sud;Abruzzo;TE;A488;1;13,8;18;15,47;15;63,27
Sud;Campania;AV;A489;4,75;17;13,5;21,83;20,8;77,88
Centro;Umbria;TR;A490;0;7;9;3,17;3,34;22,51
