Area;Regione;Provincia;2023_CodCom;NTN 2023 fino a 50 mq;NTN 2023 50 -| 85 mq;NTN 2023 85 -| 115 mq;NTN 2023 115 -| 145 mq;NTN 2023 oltre 145 mq;NTN_2023
Nord Est;Veneto;PD;A001;9,32;58,99;80,31;90,9;110,13;349,65
Nord Ovest;Lombardia;LO;A004;0;0,5;0;0;0;0,5
Nord Ovest;Lombardia;LC;A005;9;15;4,1;7;2,83;37,93
Centro;Toscana;SI;A006;7;26,39;26,86;20,39;21,5;102,14
Isole;Sardegna;OR;A007;5,5;1;3,5;1;7,5;18,5
Sud;Abruzzo;PE;A008;1;2;1;3;2;9
Nord Ovest;Lombardia;MI;A010;55,5;182,98;139,91;71,33;48,17;497,89
Sud;Basilicata;PZ;A013;0;2;1;3;1;7
Isole;Sicilia;RG;A014;4,63;14;25,75;12;15,5;71,88
Sud;Puglia;FG;A015;5;9;9;3;1;27
Nord Ovest;Piemonte;CN;A016;1;2;2;1,17;1;7,17
Sud;Basilicata;MT;A017;5,8;4,41;3;1;4;18,21
Sud;Abruzzo;AQ;A018;2;2;0;1;0;5
Centro;Lazio;RI;A019;0;1;1;1;0;3
Sud;Basilicata;PZ;A020;1;4;7,5;2,5;5;20
Sud;Campania;SA;A023;0;9;13,72;3;6;31,72
Sud;Campania;NA;A024;62,16;117,14;127,94;73,87;67;448,11
Isole;Sicilia;CT;A025;0;10,57;8,25;4,32;9,25;32,39
Isole;Sicilia;CT;A026;24,63;68,02;58,96;40,5;35,13;227,24
Isole;Sicilia;CT;A027;7,07;37,42;97,66;86,39;41;269,54
Isole;Sicilia;CT;A028;50,11;88,01;181,62;126,75;104,45;550,94
Isole;Sicilia;CT;A029;8;20,59;59,71;54,72;52,33;195,35
Centro;Lazio;FR;A032;0;1;0;0;2;3
Sud;Calabria;CS;A033;2;0;1;0;1;4
Nord Ovest;Lombardia;BS;A034;0;1;5;4;4;14
Centro;Marche;PS;A035;0;5;4,25;10;7,75;27
Nord Ovest;Lombardia;MN;A038;0;5;4;4;10;23
Nord Ovest;Lombardia;CR;A039;0;1;4;2;3;10
Centro;Lazio;VT;A040;3;10,5;15,5;11,42;12,34;52,76
Sud;Calabria;CS;A041;14,83;36,8;9;6;2;68,63
Sud;Calabria;VV;A043;2;1;0;3,67;3;9,67
Centro;Marche;AP;A044;14;6;5;5,83;2;32,83
Centro;Umbria;TR;A045;2;13,16;10;10,58;9,25;44,99
Centro;Marche;AP;A047;4,8;15,3;15,51;10,33;7,92;53,86
Sud;Puglia;BA;A048;16;20;40,75;40,8;56,49;174,04
Isole;Sicilia;CL;A049;0;4;1;4;5;14
Sud;Molise;CB;A050;2;3;0;2,88;2,44;10,32
Sud;Molise;IS;A051;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A052;12,5;109,61;71,9;36,67;27,78;258,46
