Area;Regione;Provincia;2023_CodCom;Comune;Cod_Istat
Nord Ovest;Liguria;SV;A122;ALASSIO;9001
Centro;Lazio;FR;A123;ALATRI;60003
Nord Ovest;Piemonte;CN;A124;ALBA;4003
Sud;Abruzzo;TE;A125;ALBA ADRIATICA;67001
Isole;Sardegna;OR;A126;ALBAGIARA;95003
Nord Ovest;Lombardia;MI;A127;ALBAIRATE;15005
Sud;Campania;SA;A128;ALBANELLA;65003
Nord Ovest;Lombardia;BG;A129;ALBANO SANT`ALESSANDRO;16003
Nord Ovest;Piemonte;VC;A130;ALBANO VERCELLESE;2003
Sud;Basilicata;PZ;A131;ALBANO DI LUCANIA;76003
Centro;Lazio;RM;A132;ALBANO LAZIALE;58003
Nord Ovest;Lombardia;PV;A134;ALBAREDO ARNABOLDI;18002
Nord Ovest;Lombardia;SO;A135;ALBAREDO PER SAN MARCO;14001
Nord Est;Veneto;VR;A137;ALBAREDO D`ADIGE;23002
Nord Est;Emilia-Romagna;PR;A138;ALBARETO;34001
Nord Ovest;Piemonte;CN;A139;ALBARETTO DELLA TORRE;4004
Nord Ovest;Lombardia;CO;A143;ALBAVILLA;13003
Nord Ovest;Liguria;SV;A145;ALBENGA;9002
Nord Ovest;Piemonte;AL;A146;ALBERA LIGURE;6002
Sud;Puglia;BA;A149;ALBEROBELLO;72003
Sud;Puglia;FG;A150;ALBERONA;71002
Nord Ovest;Lombardia;CO;A153;ALBESE CON CASSANO;13004
Nord Est;Veneto;VI;A154;ALBETTONE;24002
Sud;Calabria;CZ;A155;ALBI;79002
Nord Ovest;Piemonte;TO;A157;ALBIANO D`IVREA;1004
Nord Ovest;Lombardia;MI;A159;ALBIATE;108003
Sud;Calabria;CS;A160;ALBIDONA;78006
Nord Est;Veneto;PD;A161;ALBIGNASEGO;28003
Nord Est;Emilia-Romagna;RE;A162;ALBINEA;35001
Nord Ovest;Lombardia;BG;A163;ALBINO;16004
Nord Ovest;Lombardia;CO;A164;ALBIOLO;13005
Nord Ovest;Liguria;SV;A165;ALBISSOLA MARINA;9003
Nord Ovest;Liguria;SV;A166;ALBISOLA SUPERIORE;9004
Nord Ovest;Lombardia;VA;A167;ALBIZZATE;12002
