AREA;Regione;prov;2012_CodCom;NTN_2012_Box;NTN_2012_Depositi_Pert
Nord Ovest;Liguria;GE;A388;109,49;14,79
Nord Ovest;Liguria;GE;A506;32;3
Nord Ovest;Liguria;GE;A658;9,51;6
Nord Ovest;Liguria;GE;A922;22;4,84
Nord Ovest;Liguria;GE;B067;7,5;3
Nord Ovest;Liguria;GE;B282;22,17;8,95
Nord Ovest;Liguria;GE;B490;44;11,28
Nord Ovest;Liguria;GE;B538;14,5;5,02
Nord Ovest;Liguria;GE;B551;39,33;9
Nord Ovest;Liguria;GE;B726;23;7
Nord Ovest;Liguria;GE;B939;24,08;10,35
Nord Ovest;Liguria;GE;B956;11,22;8
Nord Ovest;Liguria;GE;C302;2;4
Nord Ovest;Liguria;GE;C481;9;5,67
Nord Ovest;Liguria;GE;C621;158,01;20,58
Nord Ovest;Liguria;GE;C673;11,2;0
Nord Ovest;Liguria;GE;C823;64,75;22
Nord Ovest;Liguria;GE;C826;31,34;12,73
Nord Ovest;Liguria;GE;C995;0;0
Nord Ovest;Liguria;GE;D175;1;1
Nord Ovest;Liguria;GE;D255;5;12,66
Nord Ovest;Liguria;GE;D509;1;0
Nord Ovest;Liguria;GE;D512;0,5;2
Nord Ovest;Liguria;GE;D677;0;2
Nord Ovest;Liguria;GE;D969;2896,16;733,06
Nord Ovest;Liguria;GE;E109;0;0
Nord Ovest;Liguria;GE;E341;2,33;5
Nord Ovest;Liguria;GE;E488;72,72;22,84
Nord Ovest;Liguria;GE;E519;11;5
Nord Ovest;Liguria;GE;E695;2;2,2
Nord Ovest;Liguria;GE;E737;2;4,5
Nord Ovest;Liguria;GE;F020;12,25;7
Nord Ovest;Liguria;GE;F098;19;4
Nord Ovest;Liguria;GE;F173;4,83;0,83
Nord Ovest;Liguria;GE;F202;11,5;6,17
Nord Ovest;Liguria;GE;F256;3;2,75
Nord Ovest;Liguria;GE;F354;39;5,51
Nord Ovest;Liguria;GE;F445;0;1,42
Nord Ovest;Liguria;GE;F682;2,81;5,5
Nord Ovest;Liguria;GE;F858;2;4,67
Nord Ovest;Liguria;GE;F862;0,75;4
Nord Ovest;Liguria;GE;G093;2;1
Nord Ovest;Liguria;GE;G646;18;4,25
Nord Ovest;Liguria;GE;G913;3;1
Nord Ovest;Liguria;GE;H073;1;2
Nord Ovest;Liguria;GE;H183;183,57;77,53
Nord Ovest;Liguria;GE;H212;90,94;14,83
Nord Ovest;Liguria;GE;H258;4;3
Nord Ovest;Liguria;GE;H536;10,83;7
Nord Ovest;Liguria;GE;H546;0;3
Nord Ovest;Liguria;GE;H581;7,55;3
Nord Ovest;Liguria;GE;H599;2,6;2
Nord Ovest;Liguria;GE;H802;3;1
Nord Ovest;Liguria;GE;I225;81,19;17,75
Nord Ovest;Liguria;GE;I346;39;20,17
Nord Ovest;Liguria;GE;I368;12,5;2,22
Nord Ovest;Liguria;GE;I475;5,33;4
Nord Ovest;Liguria;GE;I640;20,25;22,88
Nord Ovest;Liguria;GE;I693;161,55;15,98
Nord Ovest;Liguria;GE;I852;17;4,13
Nord Ovest;Liguria;GE;L167;1;0
Nord Ovest;Liguria;GE;L298;17,5;9,33
Nord Ovest;Liguria;GE;L416;0;1
Nord Ovest;Liguria;GE;L507;12,25;6,83
Nord Ovest;Liguria;GE;L546;0;2,5
Nord Ovest;Liguria;GE;M105;0;6
Nord Ovest;Liguria;GE;M182;33,5;2
Nord Ovest;Liguria;IM;A111;2;4
Nord Ovest;Liguria;IM;A338;1;12
Nord Ovest;Liguria;IM;A344;0;0
Nord Ovest;Liguria;IM;A418;0;0
Nord Ovest;Liguria;IM;A499;0;1
Nord Ovest;Liguria;IM;A536;0;11
Nord Ovest;Liguria;IM;A581;0;7
Nord Ovest;Liguria;IM;A984;106,24;18,06
Nord Ovest;Liguria;IM;A993;0;0
Nord Ovest;Liguria;IM;B020;0;5
Nord Ovest;Liguria;IM;B559;46,5;18
Nord Ovest;Liguria;IM;B734;0,5;0,5
Nord Ovest;Liguria;IM;B814;0;1
Nord Ovest;Liguria;IM;C110;0;4
Nord Ovest;Liguria;IM;C143;19;6
Nord Ovest;Liguria;IM;C511;2;21
Nord Ovest;Liguria;IM;C559;38;6,17
Nord Ovest;Liguria;IM;C578;2;0
Nord Ovest;Liguria;IM;C657;0;3
Nord Ovest;Liguria;IM;C660;0;1
Nord Ovest;Liguria;IM;C718;4;5,72
Nord Ovest;Liguria;IM;C755;8;0
Nord Ovest;Liguria;IM;D087;0;3
Nord Ovest;Liguria;IM;D114;16,17;4,17
Nord Ovest;Liguria;IM;D293;7;9
Nord Ovest;Liguria;IM;D296;32;18,67
Nord Ovest;Liguria;IM;D297;111,95;27,4
Nord Ovest;Liguria;IM;D298;1;7,5
Nord Ovest;Liguria;IM;D318;8;7,5
Nord Ovest;Liguria;IM;D319;2;5
Nord Ovest;Liguria;IM;E290;182,5;83,48
Nord Ovest;Liguria;IM;E346;0;2
Nord Ovest;Liguria;IM;E719;0;0
Nord Ovest;Liguria;IM;F123;0,5;1
Nord Ovest;Liguria;IM;F290;0,22;6
Nord Ovest;Liguria;IM;F406;0,33;5
Nord Ovest;Liguria;IM;F528;0;2
Nord Ovest;Liguria;IM;G041;0;3
Nord Ovest;Liguria;IM;G164;49;14,5
Nord Ovest;Liguria;IM;G454;4;8
Nord Ovest;Liguria;IM;G607;1;7
Nord Ovest;Liguria;IM;G632;3;8
Nord Ovest;Liguria;IM;G660;0;11
Nord Ovest;Liguria;IM;G814;3,66;3
Nord Ovest;Liguria;IM;G840;6,72;9
Nord Ovest;Liguria;IM;G890;0;0
Nord Ovest;Liguria;IM;H027;1;7
Nord Ovest;Liguria;IM;H180;1;2
Nord Ovest;Liguria;IM;H257;0,92;0
Nord Ovest;Liguria;IM;H328;26,5;11,05
Nord Ovest;Liguria;IM;H460;0;4
Nord Ovest;Liguria;IM;H763;34,5;15,51
Nord Ovest;Liguria;IM;H780;0;2
Nord Ovest;Liguria;IM;H957;18,5;9,5
Nord Ovest;Liguria;IM;I138;305,75;117,14
Nord Ovest;Liguria;IM;I365;23,48;12
Nord Ovest;Liguria;IM;I556;1;2
Nord Ovest;Liguria;IM;I796;0;3
Nord Ovest;Liguria;IM;L024;87,32;47,78
Nord Ovest;Liguria;IM;L146;0;0
Nord Ovest;Liguria;IM;L430;0;1
Nord Ovest;Liguria;IM;L596;15;9
Nord Ovest;Liguria;IM;L599;47,35;30,1
Nord Ovest;Liguria;IM;L693;0;8
Nord Ovest;Liguria;IM;L741;90,22;69,33
Nord Ovest;Liguria;IM;L809;0;1
Nord Ovest;Liguria;IM;L943;1;2
Nord Ovest;Liguria;SP;A261;17;5,83
Nord Ovest;Liguria;SP;A373;47,5;32,5
Nord Ovest;Liguria;SP;A836;0;7
Nord Ovest;Liguria;SP;A932;23,34;15,67
Nord Ovest;Liguria;SP;A961;12;5,16
Nord Ovest;Liguria;SP;A992;3;2
Nord Ovest;Liguria;SP;B214;16,34;6,84
Nord Ovest;Liguria;SP;B410;0;4,5
Nord Ovest;Liguria;SP;B838;0;4,75
Nord Ovest;Liguria;SP;B839;0;1
Nord Ovest;Liguria;SP;C240;16,5;10,17
Nord Ovest;Liguria;SP;D265;7,5;0
Nord Ovest;Liguria;SP;D655;60,42;33,27
Nord Ovest;Liguria;SP;D758;1;5
Nord Ovest;Liguria;SP;E070;2,33;1
Nord Ovest;Liguria;SP;E463;359,69;146,45
