Area;Regione;Provincia;2022_CodCom;NTN_2022_Depositi_Pert;NTN_2022_Box
Nord Est;Veneto;PD;A001;12,67;316,21
Nord Ovest;Lombardia;LO;A004;0;0
Nord Ovest;Lombardia;LC;A005;10,58;28,55
Centro;Toscana;SI;A006;18,67;30,74
Isole;Sardegna;OR;A007;2;4
Sud;Abruzzo;PE;A008;4;4
Nord Ovest;Lombardia;MI;A010;146,83;488,9
Sud;Basilicata;PZ;A013;6,5;1
Isole;Sicilia;RG;A014;14,65;14,49
Sud;Puglia;FG;A015;5;12,5
Nord Ovest;Piemonte;CN;A016;1;5,17
Sud;Basilicata;MT;A017;6,5;5,5
Sud;Abruzzo;AQ;A018;0;1
Centro;Lazio;RI;A019;1,25;1
Sud;Basilicata;PZ;A020;9;3
Sud;Campania;SA;A023;3;7,71
Sud;Campania;NA;A024;47,76;188,78
Isole;Sicilia;CT;A025;3;31,5
Isole;Sicilia;CT;A026;22,17;136,55
Isole;Sicilia;CT;A027;18,5;193,36
Isole;Sicilia;CT;A028;53,84;243,27
Isole;Sicilia;CT;A029;11,28;92,67
Centro;Lazio;FR;A032;0;0
Sud;Calabria;CS;A033;1;0
Nord Ovest;Lombardia;BS;A034;0;12
Centro;Marche;PS;A035;1;10,5
Nord Ovest;Lombardia;MN;A038;4;9,58
Nord Ovest;Lombardia;CR;A039;0;15,76
Centro;Lazio;VT;A040;22;23,22
Sud;Calabria;CS;A041;2;5,5
Sud;Calabria;VV;A043;2;0
Centro;Marche;AP;A044;24;5
Centro;Umbria;TR;A045;15;25,33
Centro;Marche;AP;A047;6;19,5
Sud;Puglia;BA;A048;40,08;90,45
Isole;Sicilia;CL;A049;0;0
Sud;Molise;CB;A050;0;3,5
Sud;Molise;IS;A051;1;0
Nord Ovest;Piemonte;AL;A052;73,38;155
Sud;Calabria;CS;A053;14,97;3,5
Centro;Lazio;FR;A054;4;0
Sud;Puglia;BA;A055;30,86;108,94
Isole;Sicilia;CT;A056;39,72;104,67
Nord Ovest;Lombardia;BG;A057;2;18,84
Nord Ovest;Lombardia;BG;A058;2;12
Nord Est;Veneto;RO;A059;16,51;135,41
Nord Ovest;Lombardia;BS;A060;10,5;69,32
Nord Est;Veneto;VR;A061;5;41,18
Centro;Lazio;RM;A062;4;4
Sud;Campania;NA;A064;43,55;99,47
Sud;Calabria;RC;A065;0;0
Nord Est;Emilia-Romagna;PC;A067;1;19,16
Sud;Campania;NA;A068;16,58;13,7
Isole;Sardegna;SS;A069;4;1
Isole;Sicilia;EN;A070;14,74;29,25
Centro;Toscana;PT;A071;24,44;103,94
Nord Ovest;Piemonte;AT;A072;6;4
Nord Ovest;Piemonte;TO;A074;4;21
Nord Est;Veneto;PD;A075;3;19,39
Nord Ovest;Lombardia;CR;A076;3;52,3
Sud;Calabria;RC;A077;0;0
Sud;Molise;IS;A080;0,5;19
Centro;Lazio;FR;A081;3;0
Nord Ovest;Lombardia;BS;A082;7;4,17
Nord Est;Veneto;BL;A083;21,59;42,43
Centro;Lazio;RM;A084;10,5;7
Nord Ovest;Lombardia;VA;A085;0,03;6,8
Nord Ovest;Lombardia;MI;A087;99,61;313,72
Nord Ovest;Piemonte;NO;A088;3;28
Isole;Sicilia;AG;A089;73,04;62,58
Sud;Campania;SA;A091;32,61;135,97
Centro;Marche;AN;A092;17;34,42
Nord Est;Veneto;VI;A093;4,5;6,5
Nord Ovest;Valle d'Aosta;AO;A094;46,86;83,1
Nord Ovest;Lombardia;MI;A096;6;25,25
Isole;Sardegna;OR;A097;0;0
Isole;Sicilia;EN;A098;4;4,17
Sud;Abruzzo;AQ;A100;2;1
Sud;Campania;AV;A101;6;13,33
Sud;Calabria;CS;A102;0;0
Sud;Calabria;CS;A105;0;1
Sud;Campania;CE;A106;0,25;0
Nord Ovest;Piemonte;BI;A107;3;1
Nord Ovest;Valle d'Aosta;AO;A108;9;8
Nord Ovest;Piemonte;TO;A109;20,5;39,86
Sud;Campania;BN;A110;8,33;14
Nord Ovest;Liguria;IM;A111;6;0
Nord Ovest;Lombardia;LC;A112;5,5;36
Nord Ovest;Piemonte;CN;A113;1;1
Isole;Sardegna;SS;A115;1;0
Nord Ovest;Piemonte;TO;A117;3;15
Nord Ovest;Lombardia;PV;A118;0;7
Nord Ovest;Piemonte;VC;A119;6,11;18
Sud;Abruzzo;PE;A120;2,5;9,44
Nord Est;Veneto;BL;A121;1,5;16,5
Nord Ovest;Liguria;SV;A122;123,24;260,99
Centro;Lazio;FR;A123;11,25;14
Nord Ovest;Piemonte;CN;A124;144,23;423,49
Sud;Abruzzo;TE;A125;97,5;334,86
Isole;Sardegna;OR;A126;0;0
Nord Ovest;Lombardia;MI;A127;8,61;46,5
Sud;Campania;SA;A128;6,11;4
Nord Ovest;Lombardia;BG;A129;26,5;144,76
Nord Ovest;Piemonte;VC;A130;0;0
Sud;Basilicata;PZ;A131;4;1
Centro;Lazio;RM;A132;72,85;321,95
Nord Ovest;Lombardia;PV;A134;0;4
Nord Ovest;Lombardia;SO;A135;3,75;0
Nord Est;Veneto;VR;A137;5,67;47,3
Nord Est;Emilia-Romagna;PR;A138;6;20,33
Nord Ovest;Piemonte;CN;A139;1;0
Nord Ovest;Lombardia;CO;A143;22,29;72,4
Nord Ovest;Liguria;SV;A145;129,22;241,33
Nord Ovest;Piemonte;AL;A146;1;2
Sud;Puglia;BA;A149;22,67;32,17
Sud;Puglia;FG;A150;1;2
Nord Ovest;Lombardia;CO;A153;20;39,84
Nord Est;Veneto;VI;A154;0;9
Sud;Calabria;CZ;A155;2;0
Nord Ovest;Piemonte;TO;A157;2;13
Nord Ovest;Lombardia;MI;A159;31;103,49
Sud;Calabria;CS;A160;1;1
Nord Est;Veneto;PD;A161;14,2;469,95
Nord Est;Emilia-Romagna;RE;A162;21,49;93,27
Nord Ovest;Lombardia;BG;A163;50;241,4
Nord Ovest;Lombardia;CO;A164;17,99;46,99
Nord Ovest;Liguria;SV;A165;22;67,54
Nord Ovest;Liguria;SV;A166;69;76,83
Nord Ovest;Lombardia;VA;A167;9,5;35
Nord Ovest;Lombardia;PV;A171;0,5;2
Nord Ovest;Lombardia;SO;A172;25,5;5,83
Nord Ovest;Piemonte;AT;A173;1;3
Nord Ovest;Lombardia;PV;A175;4;54
Isole;Sicilia;TP;A176;39,9;109,45
Isole;Sicilia;ME;A177;2;1
Isole;Sardegna;OR;A180;1;1
Isole;Sicilia;AG;A181;11,5;3
Nord Ovest;Piemonte;AL;A182;332,68;781,97
Sud;Calabria;CS;A183;2;0
Sud;Puglia;LE;A184;3,8;9,13
Sud;Puglia;LE;A185;8,5;27
Sud;Campania;SA;A186;1;0
Sud;Abruzzo;AQ;A187;14;6
Nord Ovest;Lombardia;BS;A188;2;10
Nord Ovest;Piemonte;AL;A189;1;5,33
Nord Est;Emilia-Romagna;RA;A191;17;113,14
Isole;Sardegna;SS;A192;105,88;449,01
Nord Ovest;Lombardia;BG;A193;2;2,5
Isole;Sicilia;ME;A194;0;1
Isole;Sicilia;PA;A195;9;1
Sud;Basilicata;MT;A196;3;2
Nord Ovest;Piemonte;AL;A197;4;2,5
Nord Ovest;Piemonte;VC;A198;3,5;20,5
Sud;Campania;CE;A200;1;0
Isole;Sicilia;ME;A201;6,5;7,5
Isole;Sicilia;PA;A202;2,67;2,5
Isole;Sicilia;PA;A203;0;0
Isole;Sardegna;OR;A204;0;1
Nord Ovest;Valle d'Aosta;AO;A205;1;0
Nord Est;Veneto;BL;A206;7;34
Centro;Umbria;TR;A207;5;4
Sud;Puglia;LE;A208;4;10,25
Centro;Lazio;RM;A210;12;7
Nord Ovest;Lombardia;BG;A214;10,03;57,25
Nord Ovest;Lombardia;BG;A215;22,21;53,6
Nord Ovest;Lombardia;BG;A216;19;83,51
Nord Ovest;Lombardia;BG;A217;15,17;47,99
Nord Ovest;Piemonte;TO;A218;13,66;52,5
Nord Est;Veneto;VI;A220;1;13
Nord Ovest;Piemonte;TO;A221;1;1
Nord Ovest;Piemonte;TO;A222;71,27;208,43
Nord Est;Emilia-Romagna;PC;A223;5,84;46,89
Nord Ovest;Lombardia;CO;A224;2;45
Sud;Puglia;BA;A225;217,24;714,43
Nord Ovest;Liguria;SV;A226;15;2,5
Nord Ovest;Piemonte;AL;A227;0;3
Sud;Campania;AV;A228;6,4;4,33
Isole;Sicilia;PA;A229;6,03;10
Sud;Campania;SA;A230;10;13,25
Nord Est;Veneto;VI;A231;13;230,18
Centro;Marche;AP;A233;3;47,5
Sud;Calabria;CS;A234;1;0
Sud;Abruzzo;CH;A235;7,67;14
Nord Est;Veneto;VI;A236;2;9,3
Nord Est;Veneto;TV;A237;8;46,5
Nord Ovest;Piemonte;CN;A238;0;2
Isole;Sicilia;PA;A239;11;6,13
Sud;Calabria;CS;A240;3,5;7
Centro;Toscana;LU;A241;23,5;183,17
Centro;Umbria;TR;A242;3,5;4,5
Sud;Campania;CE;A243;2;4
Centro;Lazio;FR;A244;6;4
Nord Ovest;Piemonte;AL;A245;0;0,5
Nord Ovest;Lombardia;BG;A246;44,6;177,52
Nord Ovest;Lombardia;CO;A249;12,5;50,33
Sud;Campania;SA;A251;5;4,5
Centro;Marche;AP;A252;13;15,55
Sud;Calabria;CS;A253;11;43,73
Nord Est;Friuli- Venezia Giulia;UD;A254;3;4,67
Sud;Calabria;CZ;A255;1;0
Centro;Lazio;FR;A256;2;1
Sud;Calabria;CZ;A257;1,8;1
Centro;Lazio;RI;A258;4,83;13
Nord Ovest;Lombardia;BG;A259;3,17;41,66
Nord Ovest;Liguria;SP;A261;19,48;35,5
Centro;Umbria;TR;A262;36,82;63,5
Sud;Calabria;CS;A263;10;7
Nord Ovest;Piemonte;NO;A264;2;10
Sud;Campania;BN;A265;2,5;0
Nord Est;Friuli- Venezia Giulia;UD;A267;0;0
Sud;Campania;NA;A268;15,5;4,5
Centro;Lazio;FR;A269;27,63;29,83
Sud;Abruzzo;TE;A270;1;16
Centro;Marche;AN;A271;316,86;645,88
Sud;Calabria;CZ;A272;0;1
Nord Ovest;Lombardia;SO;A273;3;0
Nord Ovest;Piemonte;TO;A275;2,5;8,67
Nord Ovest;Liguria;SV;A278;99,89;249,83
Nord Ovest;Piemonte;BI;A280;12,5;24,61
Sud;Puglia;LE;A281;3,88;5,5
Nord Ovest;Piemonte;TO;A282;9;6
Nord Est;Friuli- Venezia Giulia;PN;A283;0;2
Sud;Campania;AV;A284;6;5
Sud;Puglia;BA;A285;221,54;483,66
Isole;Sardegna;SS;A287;0,5;0
Nord Ovest;Lombardia;BS;A288;1,33;28,86
Nord Ovest;Lombardia;VA;A290;12,01;66,37
Centro;Toscana;AR;A291;16,5;26,01
Nord Est;Veneto;VR;A292;2,5;45
Nord Ovest;Lombardia;BS;A293;9;22
Sud;Campania;SA;A294;32,13;222,14
Nord Ovest;Piemonte;TO;A295;6;10
Nord Est;Veneto;PD;A296;4;26,38
Centro;Lazio;RM;A297;21,65;90,58
Nord Ovest;Lombardia;CR;A299;3;16,98
Nord Ovest;Piemonte;AT;A300;6,67;12
Nord Ovest;Lombardia;LC;A301;5,25;18,9
