Area;Regione;Provincia;2022_CodCom;NTN 2022 fino a 50 mq;NTN  2022 50 -| 85 mq;NTN 2022 85 -| 115 mq;NTN  2022 115 -| 145 mq;NTN  2022 oltre 145 mq;NTN_2022
Centro;Toscana;GR;C705;8;15;13,6;3;14;53,6
Nord Ovest;Lombardia;MI;C707;178,66;641,87;226,01;63,8;25,66;1136
Isole;Sicilia;PA;C708;6;29,37;26,92;24,17;40,75;127,21
Nord Ovest;Lombardia;SO;C709;1;3;1,5;3;1;9,5
Sud;Calabria;RC;C710;4;8;5;3,16;7,5;27,66
Nord Ovest;Piemonte;TO;C711;0;0;0;1;1;2
Nord Est;Veneto;PD;C713;0;6;2;3;14,33;25,33
Nord Est;Veneto;VE;C714;0;5;6;12;16,33;39,33
Nord Ovest;Piemonte;TO;C715;0;0;3;0;6;9
Sud;Campania;CE;C716;0;0;0;0;0;0
Nord Ovest;Liguria;IM;C718;15;32;5;3;7;62
Sud;Campania;BN;C719;0,5;0;2,06;2;0,5;5,06
Nord Ovest;Piemonte;TO;C722;14,06;77,83;64,7;44,91;47,58;249,08
Sud;Basilicata;MT;C723;1,67;0;0;0;0,5;2,17
Nord Ovest;Lombardia;CO;C724;1;2;9;10,66;8;30,66
Sud;Calabria;KR;C725;2;6;2;0;6;16
Sud;Calabria;KR;C726;13,4;30;36,25;19,75;23,42;122,82
Nord Ovest;Lombardia;BG;C728;5;16;29,89;15,42;13,42;79,73
Nord Ovest;Liguria;SV;C729;6;7,5;5,5;5,5;5;29,5
Nord Ovest;Lombardia;BG;C730;1;26;29,33;25,96;18,5;100,79
Nord Ovest;Lombardia;VA;C732;6,5;32,5;42,5;27;30;138,5
Nord Ovest;Lombardia;MI;C733;1,5;26,33;17,66;23,83;13;82,32
Nord Est;Veneto;TV;C735;2,5;10;4,5;6,83;14;37,83
Nord Ovest;Piemonte;CN;C738;0;0;0;2;4;6
Nord Ovest;Piemonte;AT;C739;3;3;7;3,5;12;28,5
Centro;Lazio;LT;C740;16;84,34;96,83;57,66;59,67;314,5
Sud;Puglia;BR;C741;12,5;19,75;20,67;26,5;21,33;100,75
Centro;Umbria;PG;C742;0;1,33;6;9;11,16;27,49
Nord Est;Veneto;PD;C743;7;32,1;61,44;42,5;83,6;226,64
Centro;Umbria;PG;C744;6,92;21;29,59;28,58;43;129,09
Centro;Umbria;PG;C745;29,33;78,5;135,22;86,69;106,35;436,09
Centro;Lazio;RI;C746;12;9;9,56;7;12,88;50,44
Sud;Calabria;RC;C747;11,5;13;10;11,5;12;58
Centro;Lazio;RI;C749;0;0;1;1;0;2
Sud;Abruzzo;PE;C750;3;32,48;45,5;40,48;58;179,46
Nord Ovest;Lombardia;VA;C751;0;17,5;11,67;12;10;51,17
Nord Ovest;Lombardia;LC;C752;1;13;14;9;9,25;46,25
Nord Ovest;Liguria;IM;C755;6;9;5,5;2;5;27,5
Nord Ovest;Piemonte;VC;C757;0;2;1;0;1;4
Nord Est;Friuli- Venezia Giulia;UD;C758;6;20,03;34;30,5;52,28;142,81
Nord Ovest;Lombardia;BG;C759;0;13;18,36;9,06;10,39;50,81
Nord Ovest;Lombardia;BS;C760;1;7,83;3,9;1,5;3,75;17,98
Sud;Calabria;CS;C763;6;4,5;3;3;7;23,5
Sud;Molise;CB;C764;3;4;5;1;0;13
Centro;Lazio;VT;C765;13;45;40,83;29,83;25,55;154,21
Sud;Abruzzo;AQ;C766;0;2;1,5;0;0;3,5
Centro;Lazio;RM;C767;8;48,06;17,83;30,83;21,08;125,8
Sud;Abruzzo;CH;C768;1;0;0;0;0;1
Sud;Molise;IS;C769;1;2;1;0;3;7
Centro;Marche;MC;C770;88,67;280,81;194,98;121,84;85,72;772,02
Sud;Abruzzo;PE;C771;0;2,11;2;2;3,11;9,22
Sud;Molise;CB;C772;0,75;2;1,75;0,5;0,33;5,33
Centro;Lazio;RM;C773;35,67;215,86;265,4;98,89;60,63;676,45
Centro;Toscana;AR;C774;2,5;14,5;23,42;15,8;26,87;83,09
Sud;Abruzzo;CH;C776;0;4;9;2;1;16
Nord Est;Emilia-Romagna;FO;C777;1;5;7,5;5,33;8,57;27,4
Sud;Abruzzo;AQ;C778;0;5;0,89;0,92;2;8,81
Sud;Abruzzo;PE;C779;0,5;1,5;1,5;1;6,2;10,7
Centro;Lazio;VT;C780;1;4;3;3;6;17
Sud;Abruzzo;TE;C781;5;4;3,5;6,33;16,17;35
Centro;Toscana;GR;C782;2;10,25;14,25;3;6;35,5
Sud;Abruzzo;AQ;C783;0;3;4;4;1;12
Centro;Lazio;RM;C784;2;14;6;2;3,5;27,5
Nord Ovest;Lombardia;SO;C785;2,5;6,17;6,75;5;2;22,42
Nord Ovest;Lombardia;CO;C787;4;4;4;2,83;4;18,83
Nord Ovest;Lombardia;BG;C789;0;4;1;5;3,44;13,44
Nord Est;Friuli- Venezia Giulia;PN;C790;3;4;1;2;5,5;15,5
Nord Est;Friuli- Venezia Giulia;PN;C791;0;1;8;1;7,5;17,5
Nord Ovest;Piemonte;CN;C792;0;0;5;4;11;20
Nord Ovest;Piemonte;TO;C793;18;9;2,06;0;0;29,06
Sud;Calabria;CS;C795;1;1;0;4;2;8
Nord Ovest;Lombardia;VA;C796;0;6;4;3;13;26
Nord Ovest;Lombardia;BG;C800;13,5;43;38,25;13,75;12,23;120,73
Nord Ovest;Piemonte;TO;C801;8,5;9;5;4,5;13,5;40,5
Nord Ovest;Piemonte;TO;C803;21,5;60,5;30,5;10,25;12,75;135,5
Nord Ovest;Piemonte;AT;C804;0;0;0;1;4;5
Nord Ovest;Lombardia;BS;C806;2,66;26,11;34,17;19,83;30,5;113,27
Nord Ovest;Piemonte;AT;C807;1;8;5;2;13;29
Nord Ovest;Lombardia;VA;C810;3;10,17;13;8,33;13,33;47,83
Sud;Abruzzo;AQ;C811;0;1;0;0;0;1
Nord Est;Veneto;PD;C812;2;16,25;17,07;22,36;28,13;85,81
Nord Ovest;Lombardia;PV;C813;0;1;2;3;1;7
Nord Est;Emilia-Romagna;FE;C814;4;21,67;37,77;22;45,97;131,41
Nord Est;Veneto;TV;C815;3;6;12,5;5,5;22,25;49,25
Nord Ovest;Lombardia;LO;C816;14;73,92;79;38,72;28,47;234,11
Nord Est;Friuli- Venezia Giulia;UD;C817;4;40;51;45;69,7;209,7
Isole;Sardegna;SS;C818;0;3,75;6;0;6;15,75
Nord Ovest;Piemonte;BI;C819;1;9;8;6,11;8,5;32,61
Nord Ovest;Lombardia;MI;C820;6,33;23,5;34,5;19,5;19;102,83
Nord Ovest;Valle d'Aosta;AO;C821;5;13,5;11,64;3;3;36,14
Nord Ovest;Liguria;GE;C823;10,33;67,14;39,2;6,58;5,5;128,75
Nord Est;Veneto;VI;C824;0;2;9;6;13,49;30,49
Nord Ovest;Liguria;GE;C826;9,5;24;24,92;12,36;12,22;83
Nord Ovest;Piemonte;NO;C829;3;8,66;4,83;3;3;22,49
Nord Ovest;Lombardia;BG;C835;6;14;1,44;2;2,4;25,84
Centro;Lazio;FR;C836;0;2;3;2;4,5;11,5
Nord Est;Emilia-Romagna;PC;C838;2;11,17;3;5;8;29,17
Nord Ovest;Lombardia;LC;C839;23;83,68;46,66;20,5;30,31;204,15
Centro;Lazio;RI;C841;0;4,25;2;2;0;8,25
Sud;Abruzzo;AQ;C844;0;1;1;0;0;2
Centro;Umbria;PG;C845;2,25;4;10,88;2;16;35,13
Sud;Campania;BN;C846;2;7;1;2,5;1;13,5
Centro;Toscana;SI;C847;11,13;100;105,5;40,17;39,5;296,3
Nord Est;Veneto;TV;C848;0,5;10,88;9;12,83;16,62;49,83
Nord Ovest;Lombardia;BS;C850;2,07;6;7;3;7;25,07
Nord Ovest;Lombardia;LC;C851;1;4;4,17;2,5;6;17,67
Nord Est;Emilia-Romagna;PR;C852;21;52;73,67;35,76;35,01;217,44
Sud;Abruzzo;PE;C853;3;2;10;8;9,67;32,67
Sud;Molise;CB;C854;1;3,29;0,5;1,92;3,67;10,38
Sud;Abruzzo;CH;C855;0;1;2,83;1;0;4,83
Sud;Abruzzo;CH;C856;0;0;2,5;0;6;8,5
Centro;Lazio;RI;C857;0;2;2;1;0;5
Centro;Lazio;RM;C858;2;61,33;102,66;57,22;22,44;245,65
Centro;Lazio;RI;C859;0;1;1;0,17;0;2,17
Nord Ovest;Piemonte;TO;C860;23;306,85;257,75;62,59;46,05;696,24
Sud;Abruzzo;AQ;C862;0;2;3;1;3;9
Centro;Lazio;FR;C864;1;3;7,5;1,89;2;15,39
Sud;Puglia;LE;C865;0,83;3;2;10,64;23,4;39,87
Sud;Abruzzo;AQ;C866;0;0;1;1;0;2
Nord Ovest;Piemonte;TO;C867;0;2,5;2;1;0,5;6
Nord Ovest;Piemonte;TO;C868;0;0;0;1;4;5
Centro;Toscana;LI;C869;6,33;71,5;94,25;43,17;50,34;265,59
Centro;Lazio;FR;C870;1;0;0;2;3;6
Isole;Sicilia;PA;C871;7,96;12,63;11,22;7,15;13;51,96
Sud;Molise;CB;C875;3;0,5;3;1;2;9,5
Centro;Lazio;RI;C876;1,5;5;9;1,1;9,33;25,93
Centro;Marche;AP;C877;0;6;11,5;9;7;33,5
Sud;Molise;IS;C878;0;1;2;2;3,7;8,7
Sud;Campania;SA;C879;1,8;3,4;0;2;7,43;14,63
Centro;Lazio;RI;C880;2;4;2;0;3;11
Isole;Sardegna;CA;C882;1;0;1;2;1;5
Nord Ovest;Lombardia;BS;C883;5,11;14;7,11;6;3,05;35,27
Nord Ovest;Piemonte;VC;C884;0;0,44;0;0;4,55;4,99
Nord Est;Friuli- Venezia Giulia;UD;C885;0;0;0;1;7,5;8,5
Centro;Marche;MC;C886;0;1;1,5;1;3;6,5
Sud;Basilicata;MT;C888;3;0;3;1,67;4;11,67
Nord Est;Veneto;VR;C890;0;17,5;20,45;26,33;48,98;113,26
Nord Ovest;Lombardia;BS;C893;1;30;28,5;14,17;25,3;98,97
Nord Ovest;Lombardia;BG;C894;12;43,92;37,79;42,98;40,22;176,91
Nord Ovest;Lombardia;MI;C895;93,68;367,63;225,97;47,06;41;775,34
Nord Est;Veneto;VR;C897;1;16,08;29,84;21,06;35,16;103,14
Centro;Lazio;RM;C900;3,67;11;13,42;9,8;6,5;44,39
Sud;Abruzzo;TE;C901;0;11,17;9,39;5;7,17;32,73
Nord Ovest;Lombardia;CO;C902;3;12;5;1;4;25
Nord Ovest;Lombardia;SO;C903;0;4;5;1;3;13
Nord Est;Emilia-Romagna;PR;C904;5,05;35;41,67;19;20,68;121,4
Sud;Calabria;CS;C905;1;2;0;1,36;4,2;8,56
Nord Ovest;Lombardia;MI;C908;2;11;11;2;9;35
Nord Ovest;Lombardia;BG;C910;1;4,33;2;4,5;2;13,83
Nord Ovest;Lombardia;VA;C911;1;4;4;4;2;15
Nord Est;Emilia-Romagna;FE;C912;437,98;782,45;152,9;58,34;29,29;1460,96
Centro;Toscana;MS;C914;1;4;4;3;6;18
Nord Ovest;Lombardia;LO;C917;3;14;27;7,67;8,5;60,17
Nord Est;Friuli- Venezia Giulia;UD;C918;3;1;1,5;1,5;4,5;11,5
Nord Est;Veneto;BL;C919;4,5;13,7;5;5,49;2;30,69
Nord Est;Veneto;BL;C920;7,99;10,23;21,16;11,17;4,11;54,66
Nord Ovest;Lombardia;VA;C922;3;11,67;8,67;4;11,5;38,84
Nord Ovest;Lombardia;BS;C925;2;7;6;12;10,8;37,8
Nord Ovest;Piemonte;NO;C926;0;2;4;3,5;7;16,5
Isole;Sicilia;RG;C927;12,5;52,17;44,93;42;61,5;213,1
Isole;Sicilia;AG;C928;0;2;2;2;2;8
Sud;Campania;NA;C929;0;3;1;0;3,02;7,02
Nord Ovest;Lombardia;MN;C930;0;0;0;2;3,5;5,5
Nord Ovest;Lombardia;CO;C933;127,69;501,85;402,4;173,81;169,67;1375,42
Nord Est;Emilia-Romagna;PR;C934;0;2;5;2;7,51;16,51
Centro;Marche;AP;C935;3;10;19;9;7,62;48,62
Nord Ovest;Lombardia;CO;C936;4,25;11;12,5;6;11,33;45,08
Nord Ovest;Lombardia;BG;C937;2;18;18;15,67;12,5;66,17
Nord Est;Veneto;VE;C938;2;5,25;12,88;3;5,25;28,38
Sud;Campania;CE;C939;0;6,66;3;0;4;13,66
Sud;Campania;SA;C940;0;1;2;1;3;7
Sud;Molise;IS;C941;0;1;0;0;1;2
Nord Est;Veneto;VR;C943;0;0;17;5;3;25
Centro;Lazio;RI;C946;0;4;2;0;0;6
Nord Ovest;Lombardia;BS;C948;17;60,83;70,34;43,75;45,42;237,34
Nord Est;Veneto;VE;C950;4;22;23;30,5;50,17;129,67
Nord Est;Emilia-Romagna;MO;C951;1;18,9;18;15,67;30,5;84,07
Nord Ovest;Lombardia;MI;C952;30;117,81;107,6;36,17;28,43;320,01
Sud;Calabria;RC;C954;1;3;9,17;3;2;18,17
Nord Ovest;Piemonte;TO;C955;7;22;26,47;3;14;72,47
Isole;Sicilia;ME;C956;0;2;0;0;0;2
Nord Est;Veneto;TV;C957;11,54;116,26;148,25;107,37;109,07;492,49
Nord Ovest;Lombardia;PV;C958;1;1;5,33;1,25;10,8;19,38
Centro;Lazio;RI;C959;1;6;2;0;2;11
Sud;Calabria;CZ;C960;1,33;0;1;0;1,33;3,66
Nord Ovest;Piemonte;AL;C962;0;0;2;0,25;6;8,25
Nord Est;Emilia-Romagna;RA;C963;2;13;28,28;27,05;63,33;133,66
Nord Est;Veneto;PD;C964;1,67;38,17;25;15,33;38,65;118,82
Isole;Sicilia;PA;C968;0;2;0,56;2;5;9,56
Centro;Lazio;RI;C969;2;4;9,5;7,5;10,5;33,5
Sud;Campania;AV;C971;2;2;4;4;8;20
Sud;Abruzzo;TE;C972;3;2;4;4,5;5;18,5
Sud;Campania;SA;C973;1;2;1;0;3;7
Sud;Campania;SA;C974;3;8;4;3;6;24
Sud;Puglia;BA;C975;24,67;65,86;85,84;73,67;52,64;302,68
Sud;Campania;AV;C976;2;3;1;3;9;18
Nord Ovest;Piemonte;AL;C977;0;0;1;1;6;8
Sud;Puglia;LE;C978;10;19,5;26,5;35,49;57,92;149,41
Nord Ovest;Lombardia;PV;C979;0;5;7;5;4;21
Nord Est;Emilia-Romagna;FE;C980;5;49,5;77,34;47,58;63,17;242,59
Nord Ovest;Lombardia;PV;C982;0;1;3;1;6;11
Sud;Puglia;BA;C983;109,93;153,68;185,57;123,16;47,44;619,78
Sud;Campania;SA;C984;1;3;3;8;6;21
Nord Ovest;Lombardia;MI;C986;14;155,02;119,27;44,17;34,34;366,8
Nord Est;Veneto;RO;C987;6;3,5;3,5;2,2;12,76;27,96
Centro;Lazio;VT;C988;1;9;8;4;7;29
Centro;Umbria;PG;C990;6;79,75;83,25;68,41;59,14;296,55
Nord Est;Friuli- Venezia Giulia;PN;C991;10,7;40;48,54;32,17;93;224,41
Nord Est;Veneto;TV;C992;0;16;21,67;12,5;31;81,17
Nord Est;Friuli- Venezia Giulia;PN;C993;0;6;11;3;14;34
Nord Ovest;Liguria;GE;C995;0;0;0;0,5;1,5;2
Centro;Toscana;LU;C996;1;9;15,75;16,5;30,25;72,5
Centro;Lazio;FR;C998;1;2;2;2;2;9
Sud;Abruzzo;AQ;C999;0,33;4;3;5;2,98;15,31
Centro;Lazio;LT;D003;8,83;21,25;14,84;13;14;71,92
Nord Est;Emilia-Romagna;RN;D004;4;32,67;19,8;13;15,37;84,84
Sud;Puglia;LE;D006;12;10;16;13,8;14,95;66,75
Centro;Marche;AN;D007;1;4;4,72;5;20,53;35,25
Nord Ovest;Piemonte;TO;D008;14,5;26,33;14;11,25;19,12;85,2
Isole;Sicilia;PA;D009;5;22,02;17,07;16,17;16,5;76,76
Sud;Basilicata;PZ;D010;4;5,25;6,75;6;3,5;25,5
Sud;Campania;SA;D011;0;1;0;0;0;1
Nord Ovest;Valle d'Aosta;AO;D012;28,02;66,07;42,67;22,5;17;176,26
Nord Ovest;Lombardia;MI;D013;50;162,55;99,67;35,25;15;362,47
Nord Ovest;Lombardia;BG;D015;0;3;4,5;3;7;17,5
Nord Ovest;Lombardia;BG;D016;6;3,89;1;2;0;12,89
Nord Ovest;Lombardia;MI;D018;41,5;133,6;113,26;47,17;22,89;358,42
Nord Ovest;Lombardia;MI;D019;21,16;69,5;57,5;29,5;20;197,66
Nord Est;Veneto;VI;D020;1;16,84;23,31;25,25;37,13;103,53
Nord Ovest;Lombardia;LO;D021;5;13;14;6,5;12;50,5
Nord Ovest;Piemonte;CN;D022;2;7;8;4;8,67;29,67
Centro;Lazio;VT;D024;15,5;131,84;101,75;44,17;47;340,26
Nord Est;Emilia-Romagna;PR;D026;4;11;12;9,17;12,5;48,67
Nord Est;Friuli- Venezia Giulia;UD;D027;1;3;13;11,5;9;37,5
Nord Ovest;Lombardia;LO;D028;0;4;2;3;6;15
Nord Ovest;Lombardia;LO;D029;0;0;2;0;0;2
Nord Est;Veneto;TV;D030;3;11,2;12;9,5;17;52,7
Nord Ovest;Lombardia;MI;D033;0;1;0;1;4;6
Nord Est;Emilia-Romagna;RE;D037;4;88,55;107,36;59,5;84,77;344,18
Nord Ovest;Lombardia;MI;D038;3;32;15,5;4;19;73,5
Nord Est;Veneto;PD;D040;0;1;12,5;12,58;21,16;47,24
Nord Ovest;Lombardia;CO;D041;1;3;2,06;2;4;12,06
Centro;Marche;MC;D042;6;23,77;33,75;26,8;23,93;114,25
Sud;Abruzzo;TE;D043;0;12;15,5;6;12,67;46,17
Sud;Puglia;LE;D044;1;7,58;8,92;4;8,5;30
Nord Ovest;Lombardia;MI;D045;87,17;329,46;136,34;24;7;583,97
Nord Ovest;Piemonte;AT;D046;0;0;1;1;4;6
Sud;Calabria;CZ;D049;3;3,67;5,53;1;5;18,2
Nord Ovest;Piemonte;AT;D050;0;0;1;0;3;4
Nord Ovest;Piemonte;AT;D051;3;2;0;0;7;12
Nord Ovest;Piemonte;AT;D052;0;0;0;2;13;15
Nord Est;Emilia-Romagna;PC;D054;1;3,28;5,33;3;3,33;15,94
Nord Ovest;Lombardia;CR;D056;0;0;4,67;2,67;4,75;12,09
Nord Ovest;Lombardia;CR;D057;0;0;4,5;2,13;12,17;18,8
Nord Ovest;Lombardia;BS;D058;5;26,5;25,84;28,16;28,29;113,79
Nord Est;Emilia-Romagna;PC;D061;2;22;25,5;17,13;23,04;89,67
Nord Ovest;Piemonte;CN;D062;3;5;8;4;15;35
Nord Ovest;Lombardia;BS;D064;50,09;75,26;8,17;3,16;2,5;139,18
Nord Ovest;Lombardia;LC;D065;3;2;3;1;2;11
Nord Ovest;Lombardia;BG;D066;1;6;5,5;1,5;7,5;21,5
Nord Ovest;Lombardia;LO;D068;0;8;4;5;3,5;20,5
Nord Ovest;Piemonte;AT;D072;0;0;1;2;8;11
Sud;Abruzzo;TE;D076;1,5;4;1,25;0;1;7,75
Centro;Toscana;AR;D077;7,01;39,72;74;40,46;84,38;245,57
Sud;Abruzzo;PE;D078;0;0;1;0;1;2
Nord Ovest;Lombardia;PV;D081;1;0;2;0;4,67;7,67
Nord Ovest;Lombardia;BS;D082;0;2;8;2;8;20
Nord Est;Friuli- Venezia Giulia;UD;D085;1;1,5;5,5;4;9;21
Sud;Calabria;CS;D086;39,99;155,06;302,02;173,83;134,94;805,84
Nord Ovest;Liguria;IM;D087;2;0;2;0;1;5
Nord Ovest;Lombardia;SO;D088;5;28;13,5;10;9,5;66
Sud;Calabria;RC;D089;0;0,09;0,09;0;2;2,18
Nord Ovest;Piemonte;TO;D092;0;1;1;0;1;3
Nord Ovest;Piemonte;CN;D093;0;0;2;1;9,52;12,52
Nord Ovest;Piemonte;BI;D094;7;32;53,5;37,5;48,33;178,33
Nord Ovest;Liguria;SV;D095;1;4;1;4;2;12
Centro;Marche;AP;D096;1;1;1;2;1,5;6,5
Nord Ovest;Piemonte;VB;D099;6;5;3,5;0;6,33;20,83
Isole;Sardegna;SS;D100;0;1;2,9;1;5,57;10,47
Nord Ovest;Piemonte;AT;D101;0;0;0;0;9,6;9,6
Nord Ovest;Piemonte;AL;D102;1;4;0;0;0,5;5,5
Nord Ovest;Lombardia;BG;D103;3;3,94;3,03;1,5;2,17;13,64
Nord Est;Veneto;RO;D105;1,5;2;8;3;15;29,5
Nord Est;Veneto;VI;D107;4,4;25,5;19,5;23,99;30,67;104,06
Centro;Umbria;PG;D108;0;3;1,94;3,5;3;11,44
Nord Ovest;Lombardia;PV;D109;0;0;1;0;2;3
Nord Ovest;Lombardia;BG;D110;5;34,94;21;6,5;5,25;72,69
Nord Ovest;Lombardia;BG;D111;14,5;27,5;5;3,88;7,17;58,05
Nord Ovest;Lombardia;LC;D112;2;19;19,36;6,36;10;56,72
Nord Ovest;Piemonte;VC;D113;0;3;3;1;7;14
Nord Ovest;Liguria;IM;D114;8,83;20;7;0;2,5;38,33
Nord Ovest;Lombardia;BG;D117;4;43,5;36,67;35;19,92;139,09
Nord Est;Veneto;VR;D118;14;44,73;35,04;19;23,5;136,27
Nord Ovest;Piemonte;AT;D119;4;8,5;15,25;10,09;46,34;84,18
Nord Ovest;Piemonte;CN;D120;1;7,5;11;4;13;36,5
Nord Est;Emilia-Romagna;RA;D121;3;27,5;21,5;20;34,58;106,58
Sud;Calabria;KR;D122;41,43;104,24;134,57;112,98;74,67;467,89
Sud;Calabria;KR;D123;37,05;40;10,51;7;10;104,56
Centro;Lazio;RI;D124;1;3;2;2;3;11
Nord Ovest;Lombardia;BG;D126;2;13;11,5;5,5;13,17;45,17
Nord Ovest;Lombardia;PV;D127;0;2;2,5;0;3;7,5
Sud;Basilicata;MT;D128;0;0;1;0;2;3
Nord Ovest;Lombardia;LC;D131;0;0;2;0;0;2
Nord Ovest;Piemonte;VC;D132;0;4;2;3,67;2;11,67
Nord Ovest;Piemonte;CN;D133;2;3;2;1;3;11
Nord Ovest;Piemonte;VB;D134;7;15,92;10,33;5;6;44,25
Nord Est;Veneto;VI;D136;8;25,62;48,14;33,02;50,44;165,22
Sud;Abruzzo;CH;D137;0;1;2,33;2,33;2,83;8,49
Nord Ovest;Lombardia;BG;D139;1;15;15,22;8;12;51,22
Nord Ovest;Lombardia;CR;D141;0;6;6,5;3,86;7;23,36
Nord Ovest;Lombardia;CR;D142;49,63;175,43;154,15;71,33;74,75;525,29
Nord Ovest;Lombardia;LC;D143;2;13;4;4;4,5;27,5
Nord Ovest;Lombardia;VA;D144;1;2;2;3;5,25;13,25
Nord Ovest;Lombardia;LC;D145;11,02;40,09;12;5;4;72,11
Nord Ovest;Lombardia;CO;D147;1;5;5;1;4;16
Nord Ovest;Piemonte;AL;D149;2;2;2;6;12,5;24,5
Nord Ovest;Lombardia;CR;D150;96,5;376,64;355,32;165,4;158,73;1152,59
Nord Ovest;Lombardia;CR;D151;1;6;4,5;6,61;3,17;21,28
Nord Ovest;Piemonte;VC;D154;2;16;38;22;29;107
Nord Est;Veneto;VI;D156;0;5,5;1,58;1,83;4;12,91
Nord Ovest;Lombardia;LO;D159;3;11,5;4;3;4,67;26,17
Nord Est;Veneto;RO;D161;0,13;4,13;4,5;4;12,5;25,26
Nord Ovest;Piemonte;NO;D162;0;1;4;1,5;1;7,5
Nord Ovest;Piemonte;BI;D165;3;4;5;3,5;7,5;23
Nord Est;Emilia-Romagna;BO;D166;7;59,58;65,18;31,67;55,67;219,1
Nord Ovest;Piemonte;VB;D168;6,5;14;11;11,5;15;58
Sud;Campania;NA;D170;1;11;19;15;10;56
Sud;Puglia;TA;D171;6;18;36,16;33,67;31,5;125,33
Nord Ovest;Piemonte;CN;D172;13;11;3;2;1,47;30,47
Nord Ovest;Liguria;GE;D175;2;4;5;3;2;16
Nord Ovest;Piemonte;VB;D177;4;9;15,5;3,02;6,83;38,35
Sud;Abruzzo;TE;D179;7;4;4;2;5;22
Sud;Calabria;CS;D180;0;1;2,5;0;1;4,5
Sud;Calabria;CZ;D181;22,25;12;11;6;7;58,25
Sud;Calabria;CS;D184;4;20,67;21,67;14;33,63;93,97
Nord Ovest;Lombardia;VA;D185;0;1;0;3;1;5
Nord Ovest;Lombardia;CR;D186;0;0;4;2;1;7
Nord Ovest;Piemonte;VC;D187;0;0;1;0;1;2
Sud;Calabria;KR;D189;3;13;9,87;1;5,7;32,57
Nord Ovest;Lombardia;VA;D192;7;29,67;26;6;13,5;82,17
Nord Est;Veneto;VR;D193;1;17,5;27;10,5;21,5;77,5
Sud;Campania;SA;D195;0;0;0;1;3;4
Nord Ovest;Lombardia;CO;D196;1;10;5;3;3;22
Nord Ovest;Piemonte;TO;D197;0;1;1;1;6;9
Nord Ovest;Lombardia;MI;D198;3;26,75;28,5;8,35;17,33;83,93
Nord Ovest;Lombardia;VA;D199;3,5;11,42;7,75;17;12,5;52,17
Isole;Sardegna;OR;D200;6;9,33;10,17;4,45;15,27;45,22
Sud;Abruzzo;PE;D201;2;1;1;2;4;10
Nord Ovest;Piemonte;TO;D202;6;28,75;29,5;12,5;62;138,75
Nord Ovest;Lombardia;CR;D203;0;1;3;1;1;6
Nord Ovest;Lombardia;VA;D204;1;2;6,25;6,17;9,5;24,92
Nord Ovest;Piemonte;CN;D205;43,06;226,01;243,1;141,31;123,56;777,04
Nord Ovest;Piemonte;AT;D207;0;1;2;0;5;8
Nord Ovest;Piemonte;TO;D208;10;18,8;34,16;23,75;23,25;109,96
Sud;Abruzzo;CH;D209;2;6,5;10,5;10;7,5;36,5
Centro;Marche;AP;D210;14,66;33,09;14,5;10,5;7,35;80,1
Centro;Marche;AN;D211;5,53;12;14;10;19,67;61,2
Isole;Sardegna;OR;D214;0;0;0;0;0;0
Nord Ovest;Piemonte;NO;D216;2;2;9,5;5;12;30,5
Nord Ovest;Lombardia;VA;D217;0;2;1;2;0;5
Sud;Calabria;CZ;D218;1;2,67;3,5;4,99;3,66;15,82
Nord Ovest;Piemonte;BI;D219;1;2;2;0;4;9
Nord Ovest;Lombardia;BG;D221;10;35;53;27,5;28;153,5
Sud;Puglia;LE;D223;1;2,5;4,83;5;12;25,33
Nord Est;Veneto;PD;D226;0;20,5;13,28;21,5;28,12;83,4
Nord Ovest;Lombardia;MN;D227;5;53,5;48,75;28,67;56,5;192,42
Sud;Campania;CE;D228;1;9;8,33;16,25;14,75;49,33
Nord Ovest;Lombardia;MI;D229;1;31,99;41,61;29;19;122,6
Sud;Campania;BN;D230;6;9,78;3;2,33;12,62;33,73
Nord Ovest;Lombardia;MI;D231;22,5;114,07;65,83;20;33,44;255,84
Nord Ovest;Lombardia;CO;D232;0;0;0;0,5;0;0,5
Nord Ovest;Lombardia;BG;D233;1,5;1;1;0;1;4,5
Isole;Sicilia;TP;D234;1;7;7;3;7,64;25,64
Sud;Calabria;KR;D236;12,95;31;28,24;6,4;6,98;85,57
Sud;Puglia;LE;D237;12,17;29,67;15,21;15,66;23,01;95,72
Nord Ovest;Lombardia;VA;D238;1,67;10,5;18,17;7,5;19,17;57,01
Nord Ovest;Lombardia;VA;D239;0;7;6,5;2,5;1;17
Nord Ovest;Lombardia;MI;D244;3;24;24,25;12,5;21,08;84,83
Nord Ovest;Lombardia;BG;D245;25,5;107,83;110,64;63,1;50,09;357,16
Nord Est;Veneto;BL;D247;0;6,67;5,75;0;2;14,42
Nord Ovest;Lombardia;BS;D251;39;83,5;50,5;32,75;27,08;232,83
Sud;Calabria;VV;D253;0;0;3,58;1;2,8;7,38
Nord Ovest;Liguria;GE;D255;2;17,28;10;5;3;37,28
Nord Ovest;Lombardia;VA;D256;0;10;7;2,67;8;27,67
Sud;Calabria;CZ;D257;9,17;32,42;12,33;10;6;69,92
Nord Ovest;Lombardia;SO;D258;3;9;5;1;0;18
Isole;Sardegna;CA;D259;4;58;35;16,77;16,67;130,44
Isole;Sardegna;CA;D260;0;3,88;5,3;7,02;9,17;25,37
