Area;Regione;Provincia;2022_CodCom;NTN 2022 fino a 50 mq;NTN  2022 50 -| 85 mq;NTN 2022 85 -| 115 mq;NTN  2022 115 -| 145 mq;NTN  2022 oltre 145 mq;NTN_2022
Isole;Sardegna;OR;A480;0;0;2;1;0;3
Sud;Abruzzo;AQ;A481;2;17;4;4;6;33
Sud;Basilicata;PZ;A482;1;4;3;9;7;24
Sud;Campania;SA;A484;1;1;3;4;3,22;12,22
Sud;Abruzzo;CH;A485;2;4;15,5;15;17;53,5
Centro;Lazio;FR;A486;8;7;6,5;8,5;15;45
Sud;Campania;SA;A487;0;1;0,8;0;2;3,8
Sud;Abruzzo;TE;A488;4;11;17;22;19,67;73,67
Sud;Campania;AV;A489;2,94;22;20;25,92;26,2;97,06
Centro;Umbria;TR;A490;3;5;6,5;3,5;4;22
Nord Est;Friuli- Venezia Giulia;UD;A491;0;9;4;2,67;17,5;33,17
Isole;Sardegna;NU;A492;0;0;0;1;2,5;3,5
Isole;Sicilia;SR;A494;41,55;216,49;140,62;129,08;89,71;617,45
Sud;Campania;SA;A495;0;3;3;3;0;9
Centro;Toscana;MS;A496;10,83;39,16;41;21,75;20,51;133,25
Nord Ovest;Piemonte;VB;A497;1;4,11;3;3;1;12,11
Nord Ovest;Liguria;IM;A499;0;0;0;1;1;2
Nord Est;Veneto;BL;A501;23,86;53,4;30,79;11,91;6,87;126,83
Centro;Lazio;FR;A502;1;1;6;0,22;1,17;9,39
Isole;Sardegna;NU;A503;0;0;0;0,33;2;2,33
Nord Ovest;Liguria;GE;A506;1;9;10;8,5;8;36,5
Sud;Campania;AV;A508;3;5,83;6,33;13,83;16,88;45,87
Sud;Campania;AV;A509;22;90,67;100,71;128,91;130,43;472,72
Nord Ovest;Lombardia;BG;A511;3,01;5,11;2,83;0,5;0;11,45
Sud;Campania;CE;A512;78,9;67,25;83,05;137,83;86,6;453,63
Sud;Puglia;TA;A514;8;13;16,5;8;18,67;64,17
Sud;Abruzzo;AQ;A515;61,33;143;135,12;88,17;61,27;488,89
Nord Est;Friuli- Venezia Giulia;PN;A516;53,5;61,12;43;29;44,66;231,28
Nord Ovest;Lombardia;BG;A517;13;33;8;4;3;61
Nord Ovest;Piemonte;TO;A518;7;37,44;51,6;14,1;50,58;160,72
Sud;Basilicata;PZ;A519;11,67;12,46;13,31;10,39;5,5;53,33
Nord Ovest;Valle d'Aosta;AO;A521;0;0;0;0;0;0
Isole;Sicilia;SR;A522;43;63,33;81,47;61,67;77,11;326,58
Nord Ovest;Piemonte;AL;A523;0;0;1;2;7;10
Nord Ovest;Piemonte;TO;A525;0;1;3;6;6;16
Nord Ovest;Lombardia;CR;A526;0;2;0;1;3;6
Nord Ovest;Piemonte;AT;A527;0;1;0;0;3;4
