AREA;Regione;prov;2016_CodCom;NTN_2016_Box;NTN_2016_Depositi_Pert
Nord Ovest;Liguria;GE;A388;103,81;31,1
Nord Ovest;Liguria;GE;A506;16;3
Nord Ovest;Liguria;GE;A658;2;8
Nord Ovest;Liguria;GE;A922;37,27;12,02
Nord Ovest;Liguria;GE;B067;7;4,5
Nord Ovest;Liguria;GE;B282;22;5
Nord Ovest;Liguria;GE;B490;43,5;12,84
Nord Ovest;Liguria;GE;B538;5;5,33
Nord Ovest;Liguria;GE;B551;11,6;7,99
Nord Ovest;Liguria;GE;B726;25;9
Nord Ovest;Liguria;GE;B939;46,75;9
Nord Ovest;Liguria;GE;B956;12;4
Nord Ovest;Liguria;GE;C302;0;4
Nord Ovest;Liguria;GE;C481;17;6,5
Nord Ovest;Liguria;GE;C621;290;50
Nord Ovest;Liguria;GE;C673;3;2
Nord Ovest;Liguria;GE;C823;76;22,42
Nord Ovest;Liguria;GE;C826;35,5;8
Nord Ovest;Liguria;GE;C995;0;1
Nord Ovest;Liguria;GE;D175;3;4
Nord Ovest;Liguria;GE;D255;3,5;14,03
Nord Ovest;Liguria;GE;D509;0;0
Nord Ovest;Liguria;GE;D512;0;0
Nord Ovest;Liguria;GE;D677;0;0
Nord Ovest;Liguria;GE;D969;2506,82;780,7
Nord Ovest;Liguria;GE;E109;0;0
Nord Ovest;Liguria;GE;E341;4;3,33
Nord Ovest;Liguria;GE;E488;84,16;31,12
Nord Ovest;Liguria;GE;E519;7,7;5,83
Nord Ovest;Liguria;GE;E695;0;0,5
Nord Ovest;Liguria;GE;E737;1;3
Nord Ovest;Liguria;GE;F020;11;3,08
Nord Ovest;Liguria;GE;F098;9,25;4,5
Nord Ovest;Liguria;GE;F173;3;3
Nord Ovest;Liguria;GE;F202;9,17;9,84
Nord Ovest;Liguria;GE;F256;4;2,67
Nord Ovest;Liguria;GE;F354;54,33;15,26
Nord Ovest;Liguria;GE;F445;1;2
Nord Ovest;Liguria;GE;F682;4,5;7,5
Nord Ovest;Liguria;GE;F858;4;6
Nord Ovest;Liguria;GE;F862;0,5;2,5
Nord Ovest;Liguria;GE;G093;0;1
Nord Ovest;Liguria;GE;G646;15,5;4,5
Nord Ovest;Liguria;GE;G913;4;1,17
Nord Ovest;Liguria;GE;H073;0,34;0
Nord Ovest;Liguria;GE;H183;211,25;97,21
Nord Ovest;Liguria;GE;H212;68,72;29,29
Nord Ovest;Liguria;GE;H258;0;2
Nord Ovest;Liguria;GE;H536;15,58;7,5
Nord Ovest;Liguria;GE;H546;0;0
Nord Ovest;Liguria;GE;H581;11,83;6,66
Nord Ovest;Liguria;GE;H599;2;2
Nord Ovest;Liguria;GE;H802;13;5,06
Nord Ovest;Liguria;GE;I225;103,17;21,5
Nord Ovest;Liguria;GE;I346;22,25;13,41
Nord Ovest;Liguria;GE;I368;11;4,5
Nord Ovest;Liguria;GE;I475;7;3,75
Nord Ovest;Liguria;GE;I640;21;20,33
Nord Ovest;Liguria;GE;I693;179,55;33
Nord Ovest;Liguria;GE;I852;16,57;8,13
Nord Ovest;Liguria;GE;L167;2;0,25
Nord Ovest;Liguria;GE;L298;10;6
Nord Ovest;Liguria;GE;L416;0;0
Nord Ovest;Liguria;GE;L507;7;2
Nord Ovest;Liguria;GE;L546;1,34;3,42
Nord Ovest;Liguria;GE;M105;0;4
Nord Ovest;Liguria;GE;M182;16,51;1,12
Nord Ovest;Liguria;IM;A111;2;4
Nord Ovest;Liguria;IM;A338;1;17
Nord Ovest;Liguria;IM;A344;0;0
Nord Ovest;Liguria;IM;A418;0;1
Nord Ovest;Liguria;IM;A499;1;0
Nord Ovest;Liguria;IM;A536;2;5
Nord Ovest;Liguria;IM;A581;1;4
Nord Ovest;Liguria;IM;A984;153,9;49,34
Nord Ovest;Liguria;IM;A993;0;1,5
Nord Ovest;Liguria;IM;B020;1;7
