AREA;Regione;prov;2016_CodCom;NTN_2016_Uffici;NTN_2016_Negozi_Lab;NTN_2016_Depositi_Comm;NTN_2016_TCO_B04;NTN_2016_TCO_D02;NTN_2016_TCO_D05;NTN_2016_TCO_D08;NTN_2016_PRO;NTN_2016_AGR
Nord Ovest;Liguria;GE;A388;1;2;7,27;0;0,25;0;0;6;0
Nord Ovest;Liguria;GE;A506;0;0;4,66;0;0;0;0;0;0
Nord Ovest;Liguria;GE;A658;0;1;6;0;0;0;0;1;0
Nord Ovest;Liguria;GE;A922;0;0;2;0;0;0;0;0;0
Nord Ovest;Liguria;GE;B067;0;1;2,59;0;0;0;0;0;0
Nord Ovest;Liguria;GE;B282;0;5;3;0;0;0;0;0;0
Nord Ovest;Liguria;GE;B490;1;6;5,58;0;0;0;0;0;0
Nord Ovest;Liguria;GE;B538;0;1;3,66;0;0;0;0;0;0
Nord Ovest;Liguria;GE;B551;0;0,5;4;0;0;0;0;0;0
Nord Ovest;Liguria;GE;B726;0;1;2;0;0;0;0;3;0
Nord Ovest;Liguria;GE;B939;0;0;11,38;0;0;0;4;16;0
Nord Ovest;Liguria;GE;B956;0;0;5;0;0;0;1;0;0
Nord Ovest;Liguria;GE;C302;0;0;2;0;0;0;0;0;0
Nord Ovest;Liguria;GE;C481;0;1;5,5;0;0;0;0;3;0
Nord Ovest;Liguria;GE;C621;2;9;18,19;0;0;0;0;0;0
Nord Ovest;Liguria;GE;C673;0;0,5;5;0;0;0;0;0,5;0
Nord Ovest;Liguria;GE;C823;0;2,02;3;0;0;0;0;0;0
Nord Ovest;Liguria;GE;C826;0;0;8;0;0;0;0;0;0
Nord Ovest;Liguria;GE;C995;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D175;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D255;0;0;6;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D509;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D512;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D677;0;0;0;0;0;0;0;0;0
