AREA;Regione;prov;2016_CodCom;NTN 2016 fino a 50_mq;NTN 2016 50 -| 85 mq;NTN 2016 85 -| 115 mq;NTN 2016 115 -| 145 mq;NTN 2016 oltre 145 mq;NTN 2016_TOTALE
Nord Ovest;Lombardia;BG;E189;5;10;1;3;0;19
Nord Ovest;Lombardia;BG;E192;2;7;0;0;2;11
Nord Ovest;Lombardia;BG;E219;2;11;19,39;8,25;17;57,64
Nord Ovest;Lombardia;BG;E353;2;6,5;1;1;0;10,5
Nord Ovest;Lombardia;BG;E370;0;0;1;0;1,45;2,45
Nord Ovest;Lombardia;BG;E422;1,95;9,5;12,14;11,55;7;42,14
Nord Ovest;Lombardia;BG;E509;0;4,5;4;3,21;6,25;17,96
Nord Ovest;Lombardia;BG;E524;2;0;2;0;0,33;4,33
Nord Ovest;Lombardia;BG;E562;0;8;7,5;5,67;10,5;31,67
Nord Ovest;Lombardia;BG;E640;0;0;3;2;1;6
Nord Ovest;Lombardia;BG;E704;6,33;13,5;12,33;11,3;14,92;58,38
Nord Ovest;Lombardia;BG;E751;0;8,5;5;6,78;6,36;26,64
Nord Ovest;Lombardia;BG;E770;0;1;4;2;0,83;7,83
Nord Ovest;Lombardia;BG;E794;1;8;29,67;1,17;3;42,84
Nord Ovest;Lombardia;BG;E901;2;21,5;33,67;11;19,17;87,34
Nord Ovest;Lombardia;BG;E987;6;21;31,5;20;18;96,5
Nord Ovest;Lombardia;BG;F085;1;4;6,83;7,14;9;27,97
Nord Ovest;Lombardia;BG;F186;2;0,5;0,67;0;0;3,17
Nord Ovest;Lombardia;BG;F243;1;11,5;8;4,5;3;28
Nord Ovest;Lombardia;BG;F276;2;2,5;0;0;0;4,5
Nord Ovest;Lombardia;BG;F328;1;6;3,2;1;2;13,2
Nord Ovest;Lombardia;BG;F547;3;5;11;0;1;20
Nord Ovest;Lombardia;BG;F720;0;6;7,33;3;1;17,33
Nord Ovest;Lombardia;BG;F738;1;7;6;3;2;19
Nord Ovest;Lombardia;BG;F786;1;6,67;9;14;7;37,67
Nord Ovest;Lombardia;BG;F791;1,89;16,34;15,5;4,5;13,33;51,56
Nord Ovest;Lombardia;BG;F864;3;31,6;32,45;20;10,82;97,87
Nord Ovest;Lombardia;BG;F941;0;2,5;6;2;0;10,5
Nord Ovest;Lombardia;BG;G049;0;1,67;0;0;0;1,67
Nord Ovest;Lombardia;BG;G050;10;11,17;5;1;0;27,17
Nord Ovest;Lombardia;BG;G054;3;2;0;0;0;5
Nord Ovest;Lombardia;BG;G068;2;1,5;0;1;1;5,5
Nord Ovest;Lombardia;BG;G075;8;15;4,83;5;1;33,83
Nord Ovest;Lombardia;BG;G108;0;2;5,87;3;0;10,87
Nord Ovest;Lombardia;BG;G118;0;1;0;0;1;2
Nord Ovest;Lombardia;BG;G159;2;14;17,67;8,5;2;44,17
Nord Ovest;Lombardia;BG;G160;3;32,75;44,83;18,66;13,24;112,48
Nord Ovest;Lombardia;BG;G233;1;9;2;2;4;18
Nord Ovest;Lombardia;BG;G249;0;18,83;11,5;6,5;9;45,83
Nord Ovest;Lombardia;BG;G259;2;10;13,5;6,9;6;38,4
Nord Ovest;Lombardia;BG;G295;0;5;8;12;6;31
Nord Ovest;Lombardia;BG;G346;1,99;11;10,58;0,72;4,9;29,19
Nord Ovest;Lombardia;BG;G350;2;15;1;1;1;20
Nord Ovest;Lombardia;BG;G412;2;18;33,83;11,83;10;75,66
Nord Ovest;Lombardia;BG;G418;0;1;3;1;4;9
Nord Ovest;Lombardia;BG;G564;0;1;4,5;4;3;12,5
Nord Ovest;Lombardia;BG;G574;2;2,5;3,5;1;0;9
Nord Ovest;Lombardia;BG;G579;1;6;2;2;0,5;11,5
Nord Ovest;Lombardia;BG;G583;4,67;9,76;0;0,5;0;14,93
Nord Ovest;Lombardia;BG;G588;1;1;1;0;0;3
Nord Ovest;Lombardia;BG;G774;0;1;7;3;2;13
Nord Ovest;Lombardia;BG;G853;1,44;12,17;14,94;6,02;7,7;42,27
Nord Ovest;Lombardia;BG;G856;22,5;38;31;19,22;15,34;126,06
Nord Ovest;Lombardia;BG;G864;0;3,61;15,5;6;10,5;35,61
Nord Ovest;Lombardia;BG;G867;0,5;7;10,5;8,95;8;34,95
Nord Ovest;Lombardia;BG;G968;3,5;8,03;19,67;9;18,78;58,98
Nord Ovest;Lombardia;BG;H020;2;2;3,87;5;7,17;20,04
Nord Ovest;Lombardia;BG;H036;0;6;0,5;1;1;8,5
Nord Ovest;Lombardia;BG;H046;0;7,86;20,75;9;9,6;47,21
Nord Ovest;Lombardia;BG;H091;0;2;8;7;2;19
Nord Ovest;Lombardia;BG;H176;0,83;14,5;17,5;17,11;21;70,94
Nord Ovest;Lombardia;BG;H177;8,67;22;3;0;0;33,67
Nord Ovest;Lombardia;BG;H331;0,67;21,5;7,5;6;6,1;41,77
Nord Ovest;Lombardia;BG;H492;0;16,5;8;5;4;33,5
Nord Ovest;Lombardia;BG;H509;11;75,86;78,75;47,65;35,67;248,93
Nord Ovest;Lombardia;BG;H535;2;7,8;4;2;2;17,8
Nord Ovest;Lombardia;BG;H544;4;4,33;1;4;0;13,33
Nord Ovest;Lombardia;BG;H584;0;8;3,45;5,5;4,5;21,45
Nord Ovest;Lombardia;BG;H615;8,67;28;21,98;7;3,5;69,15
Nord Ovest;Lombardia;BG;H910;5;7,83;10,7;8,67;2,83;35,03
Nord Ovest;Lombardia;BG;I079;2;10,5;14,26;8,67;4,5;39,93
Nord Ovest;Lombardia;BG;I168;4;10;1,5;0;1;16,5
