AREA;REGIONE;PROVINCIA;2020_CodCom;NTN 2020 fino a 50 mq;NTN  2020 50 -| 85 mq;NTN 2020 85 -| 115 mq;NTN  2020 115 -| 145 mq;NTN  2020 oltre 145 mq;NTN 2020
Sud;Calabria;CS;A102;0;0;0;0;0,96;0,96
Sud;Calabria;CS;A105;0;0;1;0;0;1
Sud;Campania;CE;A106;0;0;0;0;0;0
Nord Ovest;Piemonte;BI;A107;0;2;0;1;1;4
Nord Ovest;Valle d'Aosta;AO;A108;3;9;4;0;2;18
Nord Ovest;Piemonte;TO;A109;5;15;14;6;4;44
Sud;Campania;BN;A110;4;2;8;6;19,88;39,88
Nord Ovest;Liguria;IM;A111;2;4;2;0;0;8
Nord Ovest;Lombardia;LC;A112;1;9,5;5;4;2;21,5
Nord Ovest;Piemonte;CN;A113;0;4;0;1;0,5;5,5
Isole;Sardegna;SS;A115;0;0;0;1;2;3
Nord Ovest;Piemonte;TO;A117;3;10;1;0;1;15
Nord Ovest;Lombardia;PV;A118;0;0;3;3;2,5;8,5
Nord Ovest;Piemonte;VC;A119;6,33;14,58;0,33;2;3;26,24
Sud;Abruzzo;PE;A120;3,67;4;5;6;3;21,67
Nord Est;Veneto;BL;A121;1;2;5;6,5;5;19,5
Nord Ovest;Liguria;SV;A122;48;92,5;53;14,5;14,83;222,83
Centro;Lazio;FR;A123;6;23,33;18;15;36,9;99,23
Nord Ovest;Piemonte;CN;A124;39;120;97,79;33,24;28;318,03
Sud;Abruzzo;TE;A125;48;133,23;49;15,39;10,39;256,01
Isole;Sardegna;OR;A126;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A127;0;9,2;15;7,67;5;36,87
Sud;Campania;SA;A128;3;5;3;3;4;18
Nord Ovest;Lombardia;BG;A129;2;22;30,31;15,75;15,5;85,56
Nord Ovest;Piemonte;VC;A130;0;2;0;0;2;4
Sud;Basilicata;PZ;A131;2,66;1;0;1;0;4,66
Centro;Lazio;RM;A132;18,16;143,19;108,17;46,33;36,94;352,79
Nord Ovest;Lombardia;PV;A134;0;0;0,5;1;1;2,5
Nord Ovest;Lombardia;SO;A135;1;0,61;1;0,5;0;3,11
Nord Est;Veneto;VR;A137;0;7;16,5;9,34;20,13;52,97
Nord Est;Emilia-Romagna;PR;A138;0;3,17;1;4;9;17,17
Nord Ovest;Piemonte;CN;A139;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A143;3,5;14,5;10,3;9,75;18;56,05
Nord Ovest;Liguria;SV;A145;30,34;85,5;38,5;31,67;24,29;210,3
Nord Ovest;Piemonte;AL;A146;1;2;3;0;2;8
Sud;Puglia;BA;A149;12,33;13;16,67;16,53;11;69,53
Sud;Puglia;FG;A150;2;1;3;0;0;6
Nord Ovest;Lombardia;CO;A153;0,88;6;7;11;9;33,88
Nord Est;Veneto;VI;A154;0;0;3,5;6;6;15,5
Sud;Calabria;CZ;A155;0;0;4;0;0;4
Nord Ovest;Piemonte;TO;A157;0;1;1;3;2;7
Nord Ovest;Lombardia;MB;A159;4;28,33;22,5;21,5;12;88,33
Sud;Calabria;CS;A160;1;4;1;0;0;6
Nord Est;Veneto;PD;A161;3,05;63,5;90,92;83,34;117,05;357,86
Nord Est;Emilia-Romagna;RE;A162;1;19,5;18,58;11;32,46;82,54
Nord Ovest;Lombardia;BG;A163;8,89;39,17;47,08;27,39;25,25;147,78
Nord Ovest;Lombardia;CO;A164;1;7;6;10,5;6,5;31
Nord Ovest;Liguria;SV;A165;6,83;35;28,5;8,5;3;81,83
Nord Ovest;Liguria;SV;A166;12,5;45,84;25,75;17;4,5;105,59
Nord Ovest;Lombardia;VA;A167;0;14,16;11,5;6;10,66;42,32
Nord Ovest;Lombardia;PV;A171;0;0;0;3;4;7
Nord Ovest;Lombardia;SO;A172;12,33;6,17;3;4,5;2;28
Nord Ovest;Piemonte;AT;A173;0;0;1;0;5;6
Nord Ovest;Lombardia;PV;A175;1;11;9,5;5,5;7,12;34,12
Isole;Sicilia;TP;A176;42,38;88,57;97,3;71,51;51,69;351,45
Isole;Sicilia;ME;A177;3;2;0;0;2;7
Isole;Sardegna;OR;A180;1,75;3;0,75;3,08;4;12,58
Isole;Sicilia;AG;A181;4;0;2;2,05;4;12,05
Nord Ovest;Piemonte;AL;A182;62,18;279,85;326,77;120,04;164,23;953,07
Sud;Calabria;CS;A183;0;0;0;0;1;1
Sud;Puglia;LE;A184;6;10;10,67;8;15,33;50
Sud;Puglia;LE;A185;3;10;18,8;15,5;11;58,3
Sud;Campania;SA;A186;0;0;0;0;1,33;1,33
Sud;Abruzzo;AQ;A187;7;23,39;7;2;0;39,39
Nord Ovest;Lombardia;BS;A188;1;2;4;2;5;14
Nord Ovest;Piemonte;AL;A189;0;2;0;1;15,33;18,33
Nord Est;Emilia-Romagna;RA;A191;6,83;11,5;11,33;21,75;31;82,41
Isole;Sardegna;SS;A192;72,66;239,22;135,07;71,08;29,66;547,69
Nord Ovest;Lombardia;BG;A193;0;2,34;5;5,5;1,17;14,01
Isole;Sicilia;ME;A194;1;1;0;1;0;3
Isole;Sicilia;PA;A195;0;5,67;7;2;2;16,67
Sud;Basilicata;MT;A196;1;3,86;2;2;0;8,86
Nord Ovest;Piemonte;AL;A197;0;1;0;0;2,33;3,33
Nord Ovest;Piemonte;VC;A198;2;1,83;1;3;5,33;13,16
Sud;Campania;CE;A200;1;1;1;2;10;15
Isole;Sicilia;ME;A201;2,25;4;3,25;1,2;2;12,7
Isole;Sicilia;PA;A202;1;3;3;1,17;6,8;14,97
Isole;Sicilia;PA;A203;0;0;0;0;0;0
Isole;Sardegna;OR;A204;0;0;0;0;2,33;2,33
Nord Ovest;Valle d'Aosta;AO;A205;0;2;1;1;0;4
Nord Est;Veneto;BL;A206;3;17,63;6;2;3,4;32,03
Centro;Umbria;TR;A207;1;2;1;3;2,5;9,5
Sud;Puglia;LE;A208;1;15,3;8,75;10,62;7;42,67
Centro;Lazio;RM;A210;4;7,5;7;4;1;23,5
Nord Ovest;Lombardia;BG;A214;1;11;21,86;6,5;7;47,36
Nord Ovest;Lombardia;BG;A215;0;12,34;13;5,5;5,39;36,23
Nord Ovest;Lombardia;BG;A216;1;17;33,66;26;11;88,66
Nord Ovest;Lombardia;BG;A217;2;9;17;10,97;10,5;49,47
Nord Ovest;Piemonte;TO;A218;1;17;12;9;23,35;62,35
Nord Est;Veneto;VI;A220;0;1,05;4;0;7;12,05
Nord Ovest;Piemonte;TO;A221;0;2;1;2;0;5
Nord Ovest;Piemonte;TO;A222;5,5;73;57,42;21,86;30;187,78
Nord Est;Emilia-Romagna;PC;A223;0,67;4;11,67;6;14,56;36,9
Nord Ovest;Lombardia;CO;A224;0;2;5;4;9;20
Sud;Puglia;BA;A225;45,16;110,19;171,83;91,37;83;501,55
Nord Ovest;Liguria;SV;A226;2;6;8;4,5;3,5;24
Nord Ovest;Piemonte;AL;A227;0;0;2;0;2;4
Sud;Campania;AV;A228;2;4,75;5;3;2;16,75
Isole;Sicilia;PA;A229;5;12;35;25,67;37,33;115
Sud;Campania;SA;A230;1;8;7,13;6,13;11,26;33,52
Nord Est;Veneto;VI;A231;8;53,5;60,17;39,5;37,5;198,67
Centro;Marche;AP;A233;0;16,06;12,34;7;0;35,4
Sud;Calabria;CS;A234;0;0;0;0;0;0
Sud;Abruzzo;CH;A235;3;6;7;2,67;6;24,67
Nord Est;Veneto;VI;A236;0;2;3;0;4;9
Nord Est;Veneto;TV;A237;4;10,5;10,33;9;15,16;48,99
Nord Ovest;Piemonte;CN;A238;0;0;0;0;0;0
Isole;Sicilia;PA;A239;5;8;10,5;8;14,33;45,83
Sud;Calabria;CS;A240;0;3;1;0;3;7
Centro;Toscana;LU;A241;3,5;59,17;43,75;27,83;43,83;178,08
Centro;Umbria;TR;A242;7;5,5;3;2;4,5;22
Sud;Campania;CE;A243;0;0;1;1;4;6
Centro;Lazio;FR;A244;1;4;4;1;2;12
Nord Ovest;Piemonte;AL;A245;0;0;0;0;1;1
Nord Ovest;Lombardia;BG;A246;12;54,22;35;18,83;24;144,05
Nord Ovest;Lombardia;CO;A249;5;5;14,17;6;11,5;41,67
Sud;Campania;SA;A251;1;6,33;5,27;4;2,33;18,93
Centro;Marche;AP;A252;0;3,84;5,26;5;8,84;22,94
Sud;Calabria;CS;A253;5;13;23,17;22;30;93,17
Nord Est;Friuli- Venezia Giulia;UD;A254;1;1;0,3;1;5;8,3
Sud;Calabria;CZ;A255;1;2;1,67;0,67;1;6,34
Centro;Lazio;FR;A256;1;4;0;0;3;8
Sud;Calabria;CZ;A257;0;0;1;0;2;3
Centro;Lazio;RI;A258;6,5;4,84;3;1,5;3,45;19,29
Nord Ovest;Lombardia;BG;A259;0;6;6,5;5;7;24,5
Nord Ovest;Liguria;SP;A261;13;40,33;12,5;9,25;11,25;86,33
Centro;Umbria;TR;A262;2;37;36;31,5;26,67;133,17
Sud;Calabria;CS;A263;4;10;2;3,5;0;19,5
Nord Ovest;Piemonte;NO;A264;0;5;4,67;3;3;15,67
Sud;Campania;BN;A265;0,5;0;1;3,5;7;12
Nord Est;Friuli- Venezia Giulia;UD;A267;0,5;3;2;0;4;9,5
Sud;Campania;NA;A268;5;6,78;5,83;5;3;25,61
Centro;Lazio;FR;A269;9;48,5;27;29;25,33;138,83
Sud;Abruzzo;TE;A270;0;1;1;1;1,5;4,5
Centro;Marche;AN;A271;59,27;280,41;317,31;192,61;150,81;1000,41
Sud;Calabria;CZ;A272;0;1;0;0;1;2
Nord Ovest;Lombardia;SO;A273;0;1;0;1;2;4
Nord Ovest;Piemonte;TO;A275;0;2;3;6;3,33;14,33
Nord Ovest;Liguria;SV;A278;63,08;95,17;32;14,69;6,5;211,44
Nord Ovest;Piemonte;BI;A280;7;7,25;4;8,17;9,67;36,09
Sud;Puglia;LE;A281;2;7,3;5;5,96;3,33;23,59
Nord Ovest;Piemonte;TO;A282;0;4;1;0;1;6
Nord Est;Friuli- Venezia Giulia;PN;A283;0;3;2;1,84;3;9,84
Sud;Campania;AV;A284;1;1;2;0;0;4
Sud;Puglia;BA;A285;56,05;158,08;288,77;174,73;91,99;769,62
Isole;Sardegna;SS;A287;0;1;0;0;1;2
Nord Ovest;Lombardia;BS;A288;3;7;0,6;1;0;11,6
Nord Ovest;Lombardia;VA;A290;3;12;22,5;13;15,5;66
Centro;Toscana;AR;A291;2,78;6,5;10;7,95;10,5;37,73
Nord Est;Veneto;VR;A292;0;4;8;11;18,25;41,25
Nord Ovest;Lombardia;BS;A293;9,83;14;5;3;1;32,83
Sud;Campania;SA;A294;25;27,92;56;49,97;27,21;186,1
Nord Ovest;Piemonte;TO;A295;3;3;4;1;6;17
Nord Est;Veneto;PD;A296;1;2;6;8,47;12,8;30,27
Centro;Lazio;RM;A297;6;35,59;36,63;22,3;29,85;130,37
Nord Ovest;Lombardia;CR;A299;0;1;1;2;6;10
Nord Ovest;Piemonte;AT;A300;0;2;3,17;4;9;18,17
Nord Ovest;Lombardia;LC;A301;1,5;1;2,5;3,83;3;11,83
Nord Est;Veneto;VE;A302;2;3;3;5,66;16,67;30,33
Sud;Calabria;RC;A303;0;1;1;0;1,5;3,5
Nord Ovest;Lombardia;BG;A304;0,33;8;11,99;25,66;5,2;51,18
Nord Ovest;Valle d'Aosta;AO;A305;4,5;19,5;2;0;0;26
Nord Ovest;Valle d'Aosta;AO;A308;3;7,17;1;0;0;11,17
Centro;Lazio;RM;A309;4;2;2,5;0;1;9,5
Centro;Lazio;FR;A310;18,56;33,97;27;11,5;16;107,03
Nord Ovest;Piemonte;AT;A312;0;0;0;4;8,44;12,44
Isole;Sicilia;ME;A313;0;0;2;0;0;2
Sud;Calabria;RC;A314;1;1;1;2,5;2;7,5
Centro;Lazio;RI;A315;0;6,5;5,17;2,5;2;16,17
Nord Ovest;Piemonte;VB;A317;2;1;4;1;0;8
Sud;Abruzzo;AQ;A318;0;0;0,67;0;0;0,67
Nord Ovest;Lombardia;CO;A319;0;3;3;3;2;11
Sud;Puglia;FG;A320;0;1;4;1;2;8
Sud;Basilicata;PZ;A321;2;4,83;1;1;1;9,83
Centro;Lazio;RM;A323;59,8;310,16;258,96;162,58;129,49;920,99
Nord Est;Emilia-Romagna;BO;A324;4,83;53,17;54,67;22,5;27,1;162,27
Nord Ovest;Piemonte;VB;A325;0;2;1;0;1;4
Nord Ovest;Valle d'Aosta;AO;A326;22,56;129,55;93,5;38,01;20,12;303,74
Centro;Marche;PS;A327;3;6;5,5;2;2;18,5
Sud;Campania;BN;A328;0;0;2;4;13;19
Centro;Marche;MC;A329;1;7,5;3,5;2,5;5,5;20
Sud;Campania;BN;A330;1;1;0,83;2;1;5,83
Nord Ovest;Lombardia;CO;A333;5,5;13,02;27,51;13,5;23,35;82,88
Centro;Marche;MC;A334;0;4,75;2;8,17;7,5;22,42
Centro;Marche;AP;A335;0;1;1,17;1;5;8,17
Nord Ovest;Lombardia;SO;A337;25,78;56,45;9,43;4;2;97,66
Nord Ovest;Liguria;IM;A338;5;5;2;5;2;19
Sud;Puglia;FG;A339;3,86;6,84;20,25;18,11;12,25;61,31
Sud;Calabria;CS;A340;1;2;1,5;1;3;8,5
Centro;Lazio;LT;A341;31;162;178,84;102,14;80,39;554,37
Sud;Campania;SA;A343;3;3;0;0,5;6;12,5
Nord Ovest;Liguria;IM;A344;0;0;0;0,67;0;0,67
Sud;Abruzzo;AQ;A345;41,46;137,19;149,64;149,54;126,08;603,91
Sud;Campania;AV;A347;0;0,26;3,33;2,33;0,75;6,67
Centro;Lazio;FR;A348;0;4;5,62;3;4,5;17,12
Sud;Puglia;LE;A350;4;17,39;4,8;5;7,5;38,69
Isole;Sicilia;AG;A351;4;10;14,5;9,5;4;42
Nord Ovest;Piemonte;AT;A352;0;0;1;1;5;7
Nord Est;Friuli- Venezia Giulia;PN;A354;0;0;1;2;6,17;9,17
Isole;Sardegna;NU;A355;9,78;46,28;14,5;13;10;93,56
Isole;Sardegna;OR;A357;0;1;6;3;10;20
Nord Ovest;Piemonte;VC;A358;0;0;1;0;3,5;4,5
Isole;Sardegna;CA;A359;10,46;13;7,8;7,83;12,03;51,12
Nord Est;Veneto;TV;A360;2;9;14;10,25;18,75;54
Centro;Lazio;FR;A363;0;6;4;2;11;23
Nord Ovest;Lombardia;BG;A365;0,75;10;16,5;9;5;41,25
Centro;Marche;AN;A366;0;4;8,5;11,17;13,89;37,56
Sud;Abruzzo;CH;A367;1;3;1;0;2;7
Isole;Sardegna;OR;A368;0;0;1;2,78;4;7,78
Centro;Toscana;GR;A369;3;25;15;12,82;9,44;65,26
Centro;Lazio;RM;A370;9,5;16,5;6;2;4;38
Nord Ovest;Lombardia;VA;A371;4;20;28;12,5;11;75,5
Nord Ovest;Liguria;SP;A373;4,5;27,5;21,25;11,5;20;84,75
Nord Est;Veneto;VR;A374;1;5;20;11;21,75;58,75
Nord Ovest;Lombardia;MI;A375;4;19,5;22,5;13;15,5;74,5
Nord Ovest;Lombardia;MB;A376;38,29;87,78;87,15;28,43;23,58;265,23
Nord Est;Veneto;VI;A377;0,5;13;8;10,5;36,16;68,16
Isole;Sardegna;SS;A379;0;0;1;0;1;2
Isole;Sardegna;OR;A380;0;0;0;1;1;2
Nord Ovest;Lombardia;SO;A382;1;6,49;0;4;1,5;12,99
Nord Ovest;Lombardia;BG;A383;9,5;8,5;5,33;7,63;2;32,96
Sud;Calabria;RC;A385;6;16;6,63;5;7;40,63
Sud;Calabria;VV;A386;1;1;0;2;1;5
Nord Ovest;Lombardia;PV;A387;0;0;0;3,5;4;7,5
Nord Ovest;Liguria;GE;A388;20;72,9;53,4;24,47;15,5;186,27
Nord Ovest;Lombardia;MI;A389;14,5;63,5;92,08;36,7;61;267,78
Centro;Toscana;AR;A390;39,5;173,98;250,64;143,82;166,11;774,05
Nord Ovest;Lombardia;CO;A391;2;13;4;1;6;26
Nord Est;Emilia-Romagna;BO;A392;5,75;41;26,75;12;15,5;101
Nord Est;Emilia-Romagna;FE;A393;3,5;34,05;36,61;46,23;74,67;195,06
Nord Ovest;Piemonte;CN;A394;6;4;1;2;0;13
Nord Ovest;Piemonte;CN;A396;0;0;0;0;2;2
Sud;Calabria;CZ;A397;0;0;0;0;0;0
Sud;Abruzzo;CH;A398;0;0;0;2;3;5
Sud;Campania;AV;A399;5,99;16;19,68;24,76;26,86;93,29
Nord Est;Veneto;RO;A400;3;9;4,17;6;9,87;32,04
Centro;Lazio;RM;A401;13;49,5;43;33;37,39;175,89
Sud;Abruzzo;CH;A402;0;1;1;0;1,5;3,5
Sud;Campania;CE;A403;2;3,5;4,67;5;6,67;21,84
Nord Ovest;Piemonte;TO;A405;0;2,5;1;1;1;5,5
Isole;Sardegna;NU;A407;0;4,17;0;1;3;8,17
Nord Ovest;Piemonte;VB;A409;2;6;4;5;10,5;27,5
Centro;Lazio;VT;A412;0;1;1;2;0;4
Nord Ovest;Lombardia;MI;A413;14,84;50,16;40,67;23,67;18,17;147,51
Nord Ovest;Piemonte;NO;A414;1;5;3,5;4;2,28;15,78
Sud;Basilicata;PZ;A415;2;1,46;2;0;1;6,46
Nord Ovest;Liguria;IM;A418;0;0;0;1;0;1
Isole;Sardegna;CA;A419;0;0;2;0;0;2
Centro;Lazio;FR;A421;0;0;0;2;3;5
Nord Ovest;Liguria;SV;A422;0;2;0;2,33;2;6,33
Nord Ovest;Valle d'Aosta;AO;A424;1;1;3;0;0;5
Sud;Puglia;LE;A425;2;2;1;2;9,2;16,2
Nord Ovest;Piemonte;VB;A427;0;1;1;2;1;5
Nord Ovest;Piemonte;NO;A429;13,5;92,5;88,01;37,5;36,3;267,81
Nord Ovest;Lombardia;CO;A430;5;5,84;11,66;7,78;5,5;35,78
Sud;Campania;BN;A431;2,77;0,75;5;2;3;13,52
Sud;Campania;BN;A432;2;2,75;1,75;1,75;2;10,25
Centro;Lazio;FR;A433;2;7;4;7,17;9,5;29,67
Nord Est;Veneto;PD;A434;1;2;6,5;2;11,09;22,59
Nord Est;Veneto;RO;A435;0,5;2;5;4,5;13,5;25,5
Nord Ovest;Piemonte;AL;A436;2;21,5;24;7;10,5;65
Centro;Marche;AP;A437;4;0,5;3;2;2;11,5
Nord Est;Veneto;PD;A438;0;0;3;4;7,25;14,25
Centro;Umbria;TR;A439;3;1;5;2;6;17
Nord Ovest;Lombardia;BG;A440;0;3,5;10;10;4,25;27,75
Nord Ovest;Lombardia;VA;A441;0;16,83;14;4,11;12,44;47,38
Nord Est;Veneto;BL;A443;1;9,58;13,5;3;12,5;39,58
Nord Est;Veneto;VI;A444;0;14;15;3;16;48
Sud;Abruzzo;TE;A445;0;0;1;0;0;1
Centro;Lazio;RM;A446;2;1,83;2,5;3,34;4;13,67
Nord Est;Friuli- Venezia Giulia;UD;A447;4,33;15,67;0;5,33;4,5;29,83
Nord Est;Friuli- Venezia Giulia;UD;A448;1;2;6,1;2,5;10,5;22,1
Centro;Lazio;RM;A449;8;14;24,5;12;8,5;67
Nord Ovest;Lombardia;BS;A451;11,84;26,23;17,17;6,5;6,5;68,24
Nord Ovest;Valle d'Aosta;AO;A452;0;4;0,25;0;1;5,25
Isole;Sardegna;SS;A453;28,98;99,4;57,67;24,11;44,75;254,91
Isole;Sardegna;NU;A454;0;0;0;0;0,5;0,5
Sud;Campania;NA;A455;19,88;21,67;47,47;21,96;14;124,98
Nord Est;Veneto;PD;A458;0,5;4;12,5;4,5;10,47;31,97
Nord Est;Veneto;VI;A459;9;56,37;70,56;45;71,06;251,99
Sud;Campania;SA;A460;13,01;36,75;14,5;7,83;6;78,09
Centro;Toscana;SI;A461;4;10;17,5;5,5;7;44
Centro;Marche;AP;A462;10,02;97,5;141,08;97,16;58,58;404,34
Sud;Puglia;FG;A463;7;11;11,75;3;8,85;41,6
Centro;Lazio;RI;A464;5;6;2;1;1;15
Nord Est;Veneto;VI;A465;18;54,8;17,72;20,83;9;120,35
Nord Ovest;Piemonte;VC;A466;0;1;4;0;7,5;12,5
Nord Est;Veneto;VI;A467;0;0,89;0;0;10,17;11,06
Centro;Toscana;SI;A468;1;10;23,34;17,33;27,23;78,9
Nord Ovest;Lombardia;MN;A470;5;14;18;16,67;32,5;86,17
Nord Est;Veneto;TV;A471;6;17,67;17;18,67;17,66;77
Centro;Lazio;RI;A472;2;2;2;3;6;15
Nord Ovest;Lombardia;MI;A473;8,5;43;26,34;19,67;17,5;115,01
Isole;Sardegna;CA;A474;22;86,5;49,5;29,52;35,22;222,74
Centro;Umbria;PG;A475;22,12;54,1;61,11;49,3;67,09;253,72
Nord Ovest;Lombardia;CO;A476;1,22;11,22;14,5;8,89;5,33;41,16
Isole;Sardegna;OR;A477;0;0;0;0;0,92;0,92
Isole;Sicilia;EN;A478;2;5,08;5;11;7,17;30,25
Nord Ovest;Piemonte;AT;A479;77,2;294,34;226,6;98,75;136,8;833,69
Isole;Sardegna;OR;A480;1;0;1;0;2,53;4,53
Sud;Abruzzo;AQ;A481;1;37;5;4,5;1;48,5
Sud;Basilicata;PZ;A482;0;0;3;5;1;9
