AREA;REGIONE;PROVINCIA;2020_CodCom;NTN 2020 fino a 50 mq;NTN  2020 50 -| 85 mq;NTN 2020 85 -| 115 mq;NTN  2020 115 -| 145 mq;NTN  2020 oltre 145 mq;NTN 2020
Nord Ovest;Lombardia;MI;B989;1,5;13,75;10;10,75;16,25;52,25
Sud;Campania;NA;B990;21,6;75,09;155,94;93,67;26,72;373,02
Nord Ovest;Piemonte;AT;B991;0;1;3,83;1;11;16,83
Nord Ovest;Lombardia;SO;B993;19;23,5;1,58;1;0;45,08
Nord Est;Friuli- Venezia Giulia;UD;B994;1;1;1,5;2;9;14,5
Nord Ovest;Lombardia;LC;B996;3,5;19,5;18;4,67;3,5;49,17
Sud;Campania;AV;B997;3;2;1;2;0;8
Sud;Puglia;BA;B998;21;91;48;30,5;41,5;232
Nord Ovest;Lombardia;VA;B999;0;1;1,5;2;3;7,5
Sud;Calabria;CS;C002;15,05;45,38;27,49;15,33;27,17;130,42
Nord Ovest;Lombardia;MI;C003;10,5;80,5;114,75;36;20;261,75
Nord Ovest;Lombardia;VA;C004;3;55,17;78,19;32;44,67;213,03
Isole;Sicilia;SR;C006;0;2;2;1;3;8
Nord Ovest;Lombardia;BG;C007;3,5;0;0;0;0;3,5
Nord Ovest;Lombardia;MI;C013;18,73;68,3;37,77;6,67;10,5;141,97
Nord Ovest;Lombardia;MI;C014;22;61;42,83;30,05;24,17;180,05
Nord Ovest;Lombardia;CO;C020;1;8,1;12,67;5,5;8;35,27
Nord Ovest;Piemonte;AT;C022;1;3;3;0;3;10
Nord Ovest;Lombardia;LC;C024;1;4,5;6;0;0;11,5
Nord Ovest;Piemonte;AL;C027;1;1,5;6;2,5;9;20
Nord Ovest;Piemonte;AL;C030;1;2;3;2;7,5;15,5
Nord Ovest;Lombardia;MI;C033;2,5;1;4,5;3,5;6;17,5
Centro;Lazio;FR;C034;11;80,5;84,67;54,83;46,05;277,05
Nord Est;Veneto;VI;C037;3;27,67;51,5;52,5;53;187,67
Nord Ovest;Lombardia;PV;C038;1;8;10;9,5;18,25;46,75
Sud;Abruzzo;TE;C040;0;0;0;0;2;2
Nord Est;Veneto;VR;C041;0;1;5,5;8,5;10,68;25,68
Centro;Toscana;LI;C044;7,5;69,52;37,53;15;15,1;144,65
Nord Ovest;Piemonte;TO;C045;0;1;2;5;11;19
Nord Ovest;Piemonte;CN;C046;3;7;11;4;6;31
Nord Ovest;Piemonte;AT;C047;0;2;4;2,5;8;16,5
Nord Ovest;Piemonte;TO;C048;0;2;2;3;2;9
Nord Ovest;Piemonte;AT;C049;4;2;3;1;16,44;26,44
Nord Ovest;Lombardia;PV;C050;0;0;3;1;4;8
Isole;Sicilia;ME;C051;0;6;1;0;0;7
Nord Ovest;Lombardia;MI;C052;3,92;22;32;15,86;23,83;97,61
Nord Ovest;Lombardia;PV;C053;1;12;15;5,5;16;49,5
Nord Ovest;Lombardia;BS;C055;0,5;12,82;20,5;18,33;25,43;77,58
Nord Est;Veneto;VI;C056;0;12,5;5;4;6;27,5
Nord Est;Veneto;PD;C057;0;1;0;1;9;11
Sud;Campania;AV;C058;0;0;1;0;3;4
Nord Ovest;Lombardia;MN;C059;1;4;7;6;12,76;30,76
Centro;Marche;AN;C060;1;11,5;12;3;10,5;38
Nord Ovest;Liguria;SV;C063;0;0;1;0,01;1;2,01
Nord Ovest;Piemonte;AT;C064;0;0,5;0,5;0;1;2
Nord Est;Emilia-Romagna;RA;C065;5;23;20,5;17;20,68;86,18
Sud;Molise;CB;C066;1;2;0;2;1;6
Isole;Sicilia;PA;C067;7;16,96;17,68;11;7,5;60,14
Sud;Campania;SA;C069;0;0;1;0;0;1
Centro;Marche;AP;C070;0;3;0;0;6;9
Nord Ovest;Lombardia;BS;C072;3;12,17;13,17;14;12,2;54,54
Nord Est;Veneto;TV;C073;0;4;3;1;8,16;16,16
Isole;Sicilia;PA;C074;1;11,5;21,75;16;18;68,25
Nord Est;Emilia-Romagna;BO;C075;2,67;12,13;6,78;8;9;38,58
Nord Ovest;Lombardia;MN;C076;1;16;14,83;7,67;15,67;55,17
Nord Est;Veneto;VR;C078;3;32,5;44;22,22;29,49;131,21
Nord Ovest;Lombardia;BG;C079;5;19,08;24;22,15;19,04;89,27
Nord Est;Emilia-Romagna;RN;C080;2;1;3;2;0,5;8,5
Nord Ovest;Piemonte;CN;C081;0;3;1;0;1,83;5,83
Sud;Molise;IS;C082;2;1;0;1;1;5
Sud;Abruzzo;AQ;C083;2;17;6;2;2;29
Centro;Toscana;GR;C085;9,75;11,75;9,4;5;12,17;48,07
Nord Est;Emilia-Romagna;BO;C086;0;2;4;3;4;13
Nord Ovest;Lombardia;CR;C089;0;0;1;0,13;2;3,13
Sud;Abruzzo;AQ;C090;3;1;1,67;0;2;7,67
Isole;Sicilia;CT;C091;2,3;2;5,95;3,17;3,67;17,09
Centro;Marche;AP;C093;2,75;11,83;23,67;14,75;15,53;68,53
Isole;Sicilia;ME;C094;0;1,5;2;1;0;4,5
Sud;Abruzzo;AQ;C096;22,39;68,5;31;7;6;134,89
Sud;Campania;CE;C097;1;0;0;0;0;1
Centro;Lazio;RI;C098;2;1;0;1;0;4
Centro;Marche;AN;C100;6;28,78;38,33;40;43,43;156,54
Centro;Toscana;FI;C101;6,1;42,11;50,58;30,17;30,25;159,21
Centro;Toscana;AR;C102;0,33;7,33;3,5;7,57;5;23,73
Centro;Lazio;LT;C104;2,17;5,33;2;5,83;6,83;22,16
Sud;Campania;AV;C105;0;3;0;0;0,5;3,5
Sud;Campania;BN;C106;3;0;1;2,5;0;6,5
Nord Est;Emilia-Romagna;MO;C107;17,67;145,36;136,46;54,15;61,36;415
Sud;Calabria;CS;C108;1;2;7;12,5;19;41,5
Nord Ovest;Liguria;IM;C110;1;0;0;0;1;2
Nord Est;Veneto;TV;C111;16,83;61,52;100,12;79,5;110,46;368,43
Centro;Toscana;PI;C113;1;20;23,5;23,39;41,33;109,22
Sud;Abruzzo;CH;C114;0;7;8;7;8,5;30,5
Nord Ovest;Lombardia;CR;C115;0;0;0,5;1;0;1,5
Centro;Lazio;RM;C116;5;26,5;18,5;8;5,5;63,5
Centro;Umbria;TR;C117;1;3;3;1;7;15
Nord Ovest;Lombardia;MN;C118;1;14;15;18,33;41,71;90,04
Nord Est;Veneto;VI;C119;1;10;13;3;16;43
Sud;Basilicata;PZ;C120;0;1;0,67;1;1,67;4,34
Nord Est;Emilia-Romagna;BO;C121;4;11;13,17;2;9,67;39,84
Nord Est;Veneto;RO;C122;2;2;2;3;9;18
Sud;Abruzzo;CH;C123;1;2;0;3;0;6
Sud;Campania;SA;C125;12,13;59,75;22,26;11,53;16;121,67
Sud;Abruzzo;AQ;C126;1;0;1;1;2;5
Nord Ovest;Piemonte;AT;C127;1;3;2;3;7,4;16,4
Sud;Abruzzo;TE;C128;2;4;10,75;8,25;12,67;37,67
Sud;Campania;NA;C129;29,75;90,33;90,94;58,85;39,67;309,54
Isole;Sicilia;TP;C130;24,61;48,97;46,88;26,57;19,04;166,07
Nord Ovest;Piemonte;TO;C133;7;23;17;17;26,29;90,29
Sud;Puglia;BA;C134;14,5;40;53,5;37;42,17;187,17
Isole;Sicilia;PA;C135;1,17;5,5;1,5;1,17;1;10,34
Sud;Puglia;TA;C136;18,5;50,36;46;31,76;18,5;165,12
Nord Ovest;Piemonte;AL;C137;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;C139;20;66,06;62,36;18,59;26,56;193,57
Nord Est;Emilia-Romagna;RE;C141;10,33;68,67;44,15;36,75;41,65;201,55
Nord Ovest;Piemonte;AL;C142;0;1;0;0;2;3
Nord Ovest;Liguria;IM;C143;4;14,11;5;0,11;2;25,22
Nord Est;Emilia-Romagna;PC;C145;3;9,33;11;7,93;13,83;45,09
Centro;Toscana;GR;C147;2;5,5;2,67;2,25;7;19,42
Nord Ovest;Piemonte;AL;C148;2;9,5;5;6;18;40,5
Nord Ovest;Piemonte;NO;C149;0;0;1;1;0;2
Centro;Marche;AN;C152;0;1;1;0,5;4;6,5
Nord Ovest;Lombardia;CR;C153;3;20;26;16,83;29,5;95,33
Nord Ovest;Piemonte;AT;C154;0;0;0;0;1;1
Nord Ovest;Piemonte;BI;C155;0;1;0;1;5;7
Nord Ovest;Piemonte;AL;C156;0;0;0;0,5;1;1,5
Nord Ovest;Lombardia;PV;C157;0;0;1,5;0;3;4,5
Nord Ovest;Piemonte;AL;C158;0;8;5;6;5;24
Nord Ovest;Piemonte;AL;C160;0;0;0;0;8,83;8,83
Nord Ovest;Piemonte;AT;C161;0;0;2;0;3,5;5,5
Nord Ovest;Piemonte;AL;C162;0;3,01;1;1;8;13,01
Nord Ovest;Piemonte;CN;C165;1;4;6;1;4;16
Nord Ovest;Piemonte;NO;C166;14;28,5;23,66;21;30;117,16
Nord Ovest;Piemonte;CN;C167;0;1;0;0;0;1
Sud;Abruzzo;TE;C169;0;0;1;1;1;3
Centro;Toscana;SI;C172;2;4;7,5;3,5;6,5;23,5
Nord Ovest;Piemonte;CN;C173;2;2;0;3;5;12
Centro;Toscana;PI;C174;3,5;9;6;5,39;4;27,89
Sud;Molise;CB;C175;0;1;0;1;0;2
Nord Ovest;Piemonte;CN;C176;0;0;2;0;4;6
Centro;Lazio;FR;C177;1;0;0;1;3;5
Sud;Campania;CE;C178;1,8;0;0;1;1;3,8
Nord Ovest;Lombardia;VA;C181;1;13;4,67;8;9,58;36,25
Nord Ovest;Lombardia;PV;C184;0;0;1;1;5;7
Nord Est;Emilia-Romagna;BO;C185;4;16,5;20,33;15,5;15,5;71,83
Nord Ovest;Lombardia;SO;C186;2;1,17;1,33;1;1,25;6,75
Nord Ovest;Lombardia;LC;C187;1;5;6,5;3,5;4,5;20,5
Sud;Campania;NA;C188;2;8,5;18,83;3;5,83;38,16
Nord Est;Veneto;TV;C190;0;7,2;5,4;2;15;29,6
Nord Ovest;Lombardia;MN;C195;0;10;7,67;12,5;13;43,17
Sud;Molise;CB;C197;1;3,93;1;1;0;6,93
Sud;Puglia;FG;C198;0;3;1;1,5;2;7,5
Sud;Basilicata;PZ;C199;0,5;0;0;0;0,5;1
Sud;Molise;IS;C200;0;0;0;0;2;2
Sud;Basilicata;PZ;C201;0;1;0;0;1;2
Sud;Puglia;FG;C202;1;1;0;0;1;3
Centro;Lazio;RM;C203;6;13,17;16,17;5;9;49,34
Nord Est;Emilia-Romagna;BO;C204;9,5;95,34;92,76;34;31,51;263,11
Nord Ovest;Piemonte;CN;C205;2,25;4,42;1;1;1;9,67
Nord Ovest;Lombardia;CO;C206;0;2;3;1;0,5;6,5
Nord Est;Veneto;RO;C207;1;2;6,75;5,5;17;32,25
Nord Ovest;Lombardia;BS;C208;7,5;36,25;52,4;28;28;152,15
Sud;Basilicata;PZ;C209;3;0;1;0;0;4
Isole;Sicilia;ME;C210;0;2;1;0;0;3
Sud;Campania;CE;C211;0;0,67;0;2,84;6;9,51
Nord Ovest;Lombardia;PV;C213;0;0;1;1;5,22;7,22
Nord Ovest;Piemonte;CN;C214;0;0;1;0;1;2
Nord Est;Veneto;RO;C215;0;3;6;2;9;20
Nord Est;Friuli- Venezia Giulia;PN;C217;0;0;1;1;1;3
Nord Est;Emilia-Romagna;RE;C218;0;17,5;21;6,25;32,52;77,27
Nord Est;Emilia-Romagna;RE;C219;2,49;25,62;32,34;20,83;26,11;107,39
Nord Ovest;Lombardia;CO;C220;0;5;0;2;0;7
Sud;Puglia;FG;C222;2;1;0;1,37;0;4,37
Centro;Lazio;FR;C223;2;2,5;0,5;1;1;7
Centro;Lazio;RI;C224;1;1;3;4;4;13
Nord Est;Veneto;VR;C225;8;59;60;16,94;35,75;179,69
Nord Ovest;Piemonte;AT;C226;0;0;0;1;4,5;5,5
Centro;Toscana;SI;C227;9;22,5;22;17;31,33;101,83
Nord Ovest;Lombardia;LO;C228;2;2;4;1;5,84;14,84
Nord Ovest;Piemonte;AL;C229;1;2;0;0;4,5;7,5
Nord Ovest;Piemonte;AT;C230;0;2;0;2;3;7
Sud;Campania;SA;C231;3;5;2;3;3;16
Nord Ovest;Piemonte;AT;C232;1;8;5;4;16;34
Sud;Campania;SA;C235;0;4;1;0;0;5
Centro;Toscana;LU;C236;2;9;6;8,5;8;33,5
Centro;Lazio;RM;C237;2;16;16;8,17;15,67;57,84
Nord Ovest;Liguria;SP;C240;4,5;18;19;17;13,17;71,67
Nord Ovest;Piemonte;TO;C241;0;3;8;2;2;15
Nord Est;Emilia-Romagna;MO;C242;3;42;52,17;31,17;35,89;164,23
Nord Ovest;Piemonte;AL;C243;0;4;9;3;16;32
Centro;Toscana;PI;C244;3;5,5;5;2;4;19,5
Sud;Campania;BN;C245;1;0;0;1;0;2
Sud;Molise;IS;C246;0;0,8;0;0;2;2,8
Sud;Molise;IS;C247;0;0;0;0,99;0;0,99
Centro;Marche;AN;C248;0;5,83;11,56;9,34;4,75;31,48
Sud;Campania;BN;C250;0;0,61;0;1,5;0;2,11
Centro;Marche;MC;C251;1;5;14,33;11,83;10;42,16
Centro;Umbria;PG;C252;0;7;8,33;1,5;9;25,83
Nord Ovest;Piemonte;AT;C253;0;1;0;0;3;4
Nord Ovest;Lombardia;BG;C255;2;6;8,5;2,67;5,53;24,7
Sud;Campania;SA;C259;6;13,83;27,17;22,5;41,11;110,61
Nord Est;Emilia-Romagna;PC;C261;4;30;44,17;34;26;138,17
Sud;Campania;SA;C262;3,34;3,5;0,67;2;2;11,51
Centro;Toscana;AR;C263;4,17;5;11,17;2;8,5;30,84
Nord Est;Emilia-Romagna;BO;C265;7,5;52,5;84,44;30,63;30,2;205,27
Centro;Lazio;RM;C266;2;3,33;2;0;0;7,33
Centro;Marche;MC;C267;0;0;0;0;0;0
Centro;Lazio;RI;C268;3;2;2,5;0;2;9,5
Centro;Lazio;VT;C269;0;6;0;1,5;4,34;11,84
Sud;Molise;IS;C270;1;1;2;0,5;4;8,5
Sud;Basilicata;PZ;C271;1;4;1;2;0;8
Isole;Sardegna;SS;C272;48;51,17;16;5,5;8;128,67
Nord Ovest;Lombardia;VA;C273;2;5;2;0,3;1;10,3
Nord Ovest;Piemonte;AL;C274;0;0;0;1;4,5;5,5
Isole;Sicilia;AG;C275;6;12,72;8,89;14,5;9,5;51,61
Nord Ovest;Liguria;SV;C276;0;0;1;0;0;1
Sud;Abruzzo;AQ;C278;0;0;0;0;0;0
Sud;Abruzzo;AQ;C279;0;1;4,67;0;0;5,67
Sud;Campania;BN;C280;0;1;0;0;3,2;4,2
Nord Ovest;Valle d'Aosta;AO;C282;2;2;7;1;1;13
Sud;Campania;AV;C283;0;1;3;0;1;5
Sud;Campania;BN;C284;0;2;0;0,5;0;2,5
Sud;Calabria;RC;C285;5;17;5,67;6;2;35,67
Isole;Sicilia;TP;C286;10,86;43,2;67,95;49,5;48,41;219,92
Nord Est;Emilia-Romagna;MO;C287;14,5;30,83;29,23;22,8;27,45;124,81
Nord Est;Emilia-Romagna;PC;C288;0;9;17;7,5;20,45;53,95
Centro;Umbria;TR;C289;1;3;6;2;2;14
Nord Ovest;Lombardia;CR;C290;0;0;0;0;1;1
Sud;Campania;CE;C291;7;110,74;112,89;82,49;103,67;416,79
Nord Est;Emilia-Romagna;BO;C292;9;61,75;73,83;32,75;37,03;214,36
Nord Ovest;Lombardia;BS;C293;8;30,87;34,67;16,97;29,33;119,84
Nord Ovest;Valle d'Aosta;AO;C294;6;9,75;12,5;2;0;30,25
Nord Est;Emilia-Romagna;BO;C296;3;25,98;24,16;8,05;9,58;70,77
Isole;Sicilia;CT;C297;3,75;16;6;3;13;41,75
Sud;Abruzzo;CH;C298;0;4;1;1;0;6
Nord Ovest;Lombardia;VA;C300;3;17,5;21,5;8;19,33;69,33
Sud;Calabria;CS;C301;0;2;2;3;7,08;14,08
Nord Ovest;Liguria;GE;C302;4;4;1;0;1;10
Centro;Toscana;LU;C303;3;5;2;1;1;12
Nord Ovest;Lombardia;LO;C304;1;4,5;11;9,5;10,72;36,72
Sud;Campania;SA;C306;0;0;1;3;1,67;5,67
Nord Ovest;Piemonte;TO;C307;0;18;17;18;37,18;90,18
Sud;Abruzzo;PE;C308;0;0;0;0,5;2;2,5
Centro;Umbria;PG;C309;6;38,5;51,47;27,5;41,69;165,16
Centro;Toscana;GR;C310;29,52;57,53;36,76;22,67;29,07;175,55
Sud;Abruzzo;TE;C311;2;2;1;2;1;8
Nord Ovest;Lombardia;MN;C312;5,5;54;76,23;43,87;51,34;230,94
Centro;Toscana;SI;C313;2;19;4,3;3,5;1;29,8
Nord Ovest;Piemonte;CN;C314;0;1;0;1;2;4
Centro;Lazio;VT;C315;2;7,5;2,5;1;3,83;16,83
Sud;Abruzzo;TE;C316;0,5;2;2;4,5;10;19
Nord Ovest;Piemonte;CN;C317;0;1;1;2;4,33;8,33
Centro;Toscana;AR;C318;0;6;5;2;3,5;16,5
Centro;Toscana;AR;C319;4,83;29,6;28,5;13,5;30,61;107,04
Centro;Marche;AP;C321;0;1,5;1;6;5,83;14,33
Sud;Abruzzo;TE;C322;0;1;2;2;2;7
Nord Ovest;Piemonte;CN;C323;0;0;1;0;3;4
Nord Ovest;Lombardia;BG;C324;17,5;50,96;29,95;15;19,44;132,85
Nord Ovest;Lombardia;SO;C325;1;0;2;2;0,5;5,5
Nord Est;Friuli- Venezia Giulia;UD;C327;0;6;4;4,33;15,58;29,91
Nord Ovest;Lombardia;LO;C329;1;11;11;4,5;10,25;37,75
Nord Ovest;Lombardia;BS;C330;0;0;1,8;0,96;3;5,76
Centro;Marche;AP;C331;3;2;5;4;3;17
Nord Ovest;Lombardia;BS;C332;1;31;55,64;29;25,24;141,88
Sud;Puglia;LE;C334;1;1;2,5;2;1;7,5
Sud;Puglia;LE;C335;2;1;3;0;10;16
Sud;Puglia;LE;C336;16,33;24,83;15,66;15,33;7;79,15
Nord Ovest;Lombardia;BG;C337;0;2;1,5;0;1;4,5
Centro;Lazio;FR;C338;1;1;2,5;1;2;7,5
Nord Est;Emilia-Romagna;FO;C339;9;14,47;10;12,5;14;59,97
Centro;Lazio;FR;C340;2;1;0;0;4,33;7,33
Isole;Sicilia;AG;C341;5;0;0;1;3;9
Isole;Sicilia;EN;C342;17;37,05;30,39;42,67;26,01;153,12
Nord Ovest;Lombardia;VA;C343;1;8,5;16;8,5;6,67;40,67
Isole;Sicilia;PA;C344;2;3,72;2,5;1;2;11,22
Sud;Basilicata;PZ;C345;2;1;0;0;0;3
Sud;Molise;CB;C346;0;2;0;0,67;0;2,67
Isole;Sicilia;ME;C347;1;2;1;1;1,5;6,5
Sud;Calabria;CS;C348;0;0;0;0;0;0
Sud;Calabria;CS;C349;5,75;12,5;24,92;30;37,5;110,67
Isole;Sicilia;CT;C351;326,7;651,46;758,11;509,96;457,36;2703,59
Sud;Calabria;CZ;C352;56,18;161,24;165,36;124,31;110,37;617,46
Isole;Sicilia;EN;C353;5;5,67;3;1;8;22,67
Sud;Abruzzo;PE;C354;3,78;1;0,82;0;4;9,6
Isole;Sicilia;AG;C356;10;6;6;4;6;32
Nord Est;Emilia-Romagna;RN;C357;19,92;66,83;34,27;32;20,17;173,19
Sud;Campania;BN;C359;1;0;0;0,25;0;1,25
Nord Ovest;Lombardia;PV;C360;2;15,5;18,5;9;9,75;54,75
Sud;Campania;SA;C361;16,9;60,34;62,14;50,5;51,03;240,91
Nord Ovest;Piemonte;BI;C363;1;3;13;2;8,5;27,5
Nord Ovest;Piemonte;NO;C364;0;0;1;0;1;2
Nord Ovest;Piemonte;NO;C365;1;2;1;0;2;6
Nord Ovest;Piemonte;TO;C369;0;2;4;4;13;23
Nord Est;Veneto;VR;C370;3;20,95;19,5;11,3;15,11;69,86
Nord Ovest;Piemonte;CN;C375;0;1;1;1;3;6
Nord Ovest;Piemonte;CN;C376;0,75;13,51;11,53;5,16;12;42,95
Sud;Puglia;LE;C377;2;9;20,5;28;43,17;102,67
Nord Ovest;Piemonte;NO;C378;0;0;1;0;5,5;6,5
Nord Ovest;Lombardia;CO;C381;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;C382;0;21;11,5;7,5;7,75;47,75
Nord Est;Veneto;VE;C383;3;16,55;30,19;24,5;13,84;88,08
Nord Est;Veneto;TV;C384;0,07;13;9;3,5;10;35,57
Nord Est;Friuli- Venezia Giulia;PN;C385;1;1;2,5;4,5;7,83;16,83
Nord Ovest;Piemonte;AL;C387;0;0;0;0;4;4
Nord Est;Veneto;VE;C388;127,45;664,7;241,61;84,83;48,95;1167,54
Nord Est;Friuli- Venezia Giulia;UD;C389;0;1,5;2;0;0;3,5
Centro;Lazio;RM;C390;7;28,34;22,17;10,5;12,89;80,9
Nord Ovest;Lombardia;LO;C394;1;5;3;3;4;16
Nord Ovest;Lombardia;MB;C395;2,5;40,83;36,23;12,5;5;97,06
Nord Ovest;Lombardia;BG;C396;1;9;10,5;9;8,85;38,35
Nord Est;Emilia-Romagna;MO;C398;1;8;14;12;19,75;54,75
Nord Ovest;Piemonte;TO;C404;2;9;11;6;23,5;51,5
Nord Est;Emilia-Romagna;RE;C405;1;18,25;25,9;11,25;27,1;83,5
Nord Ovest;Lombardia;MN;C406;0;8;1;4;10,75;23,75
Centro;Toscana;AR;C407;3;31,17;26,58;11,25;15;87
Nord Ovest;Lombardia;BS;C408;3;12;24,83;17,83;26,59;84,25
Nord Ovest;Lombardia;VA;C409;0;1;0;0;1;2
Nord Ovest;Lombardia;BG;C410;0;1,66;3,5;6;6,36;17,52
Nord Est;Veneto;VR;C412;0;3;5;5;5,5;18,5
Centro;Lazio;FR;C413;1;13,5;13;14,47;18;59,97
Nord Ovest;Lombardia;PV;C414;0;2;0;1;4;7
Centro;Toscana;LI;C415;23,5;139,14;97,66;54,58;37,84;352,72
Nord Ovest;Lombardia;BS;C417;1;2,25;4,5;1;1;9,75
Nord Ovest;Lombardia;SO;C418;0;0;0;0;0;0
Isole;Sicilia;PA;C420;0;1;1;0;1;3
Isole;Sicilia;PA;C421;23,12;57,42;38;14;14,5;147,04
Nord Est;Veneto;VE;C422;0;13;12,33;16;14,81;56,14
Sud;Puglia;BR;C424;71,02;36,44;35,22;25,45;20,44;188,57
Sud;Abruzzo;AQ;C426;8;12;5;4;7;36
Sud;Abruzzo;CH;C428;0;6;1;0;0;7
Sud;Puglia;FG;C429;0;2;0;0;0;2
Sud;Calabria;CS;C430;2;1;3;0;4;10
Nord Ovest;Piemonte;AL;C432;0;0;2;0;4;6
Nord Ovest;Lombardia;CR;C435;0;0;1;2;1;4
Sud;Puglia;BA;C436;4;11,5;18,5;19;15;68
Sud;Calabria;CS;C437;0;0;0,5;1;2;3,5
Nord Ovest;Piemonte;AT;C438;4;4;1;1;2;12
Nord Ovest;Lombardia;BS;C439;1;13,28;10,5;3;19,83;47,61
Nord Ovest;Piemonte;AT;C440;0;1;0;0;2;3
Nord Ovest;Piemonte;CN;C441;1;2;0,5;0;2;5,5
Sud;Puglia;FG;C442;0;1;0;0;0;1
Nord Ovest;Liguria;SV;C443;14,33;45,64;19;4,67;4,5;88,14
Sud;Campania;SA;C444;0;2;1;0;0;3
Centro;Lazio;VT;C446;1;1;2;1;3;8
Centro;Lazio;VT;C447;1;4,17;2,75;1;2;10,92
Sud;Puglia;BR;C448;2;4,5;7;4,75;4;22,25
Sud;Abruzzo;TE;C449;0;1;1;1;5;8
Sud;Calabria;CZ;C453;0;0;0;1;0;1
Nord Ovest;Lombardia;BG;C456;2;4;11;2;14,75;33,75
Nord Ovest;Lombardia;BG;C457;2,5;5;9,5;7,17;12,07;36,24
Nord Est;Veneto;BL;C458;1;13,67;10,67;3;1,67;30,01
Nord Ovest;Lombardia;BG;C459;0;5;9;4,5;11,33;29,83
Nord Est;Veneto;RO;C461;0;1;1;1;3,5;6,5
Nord Ovest;Liguria;SV;C463;1;7;9;1;3,88;21,88
Nord Ovest;Piemonte;CN;C466;0;7;22,5;4;14,33;47,83
Nord Est;Emilia-Romagna;FE;C469;12,08;116,33;118,84;67,24;76,21;390,7
Sud;Campania;SA;C470;9,61;21,5;16;4;5,33;56,44
Isole;Sicilia;EN;C471;6;19,2;5;3,67;3;36,87
Sud;Calabria;CZ;C472;0;1;0;0;0;1
Sud;Abruzzo;PE;C474;2;9;11;12;23,33;57,33
Sud;Campania;BN;C476;0;0;1,5;0;2,21;3,71
Nord Ovest;Piemonte;VB;C478;1,4;1;1;0;0;3,4
Centro;Lazio;FR;C479;1;9;12;10,67;8,33;41
Isole;Sicilia;EN;C480;2;2;6;0;4,22;14,22
Nord Ovest;Liguria;GE;C481;2;13;7;7,17;7;36,17
Nord Ovest;Lombardia;CO;C482;0;3;0;0;2;5
Nord Ovest;Piemonte;NO;C483;6;16;21,66;11,5;12;67,16
Nord Ovest;Lombardia;PV;C484;0;4;14,5;4;7;29,5
Sud;Campania;SA;C485;1;2;2;0;2;7
Sud;Molise;CB;C486;3,5;2;2;1,25;7,67;16,42
Nord Ovest;Piemonte;TO;C487;0;3;2;2,5;6;13,5
Sud;Molise;CB;C488;0;1;0;0;0;1
Sud;Calabria;CS;C489;2,5;2;1;2;0;7,5
Sud;Abruzzo;AQ;C492;0;4,8;0;1;2;7,8
Nord Ovest;Lombardia;SO;C493;1;3;1;0;0;5
Nord Est;Friuli- Venezia Giulia;UD;C494;0;1;1;2;3;7
Sud;Campania;NA;C495;6,5;13,86;27,84;9,51;6,78;64,49
Isole;Sicilia;PA;C496;2;3,8;4;4,83;4;18,63
Nord Ovest;Piemonte;TO;C497;3,92;20;1;6;6;36,92
Nord Est;Veneto;VR;C498;5;29,66;32,5;32,83;78,17;178,16
Nord Est;Veneto;RO;C500;2;2;5,17;4,84;9;23,01
Nord Ovest;Lombardia;MN;C502;0;0;2;2;4,5;8,5
Nord Ovest;Piemonte;AL;C503;0;0;0;0;3;3
Nord Ovest;Piemonte;CN;C504;2;5;4;2;9;22
Nord Ovest;Piemonte;TO;C505;2,5;6;3;0;1;12,5
Nord Ovest;Lombardia;BG;C506;6;13;3;5,5;2,5;30
Nord Ovest;Piemonte;AL;C507;0;0;0;0;1;1
Nord Ovest;Lombardia;PV;C508;1;2;2;2;0;7
Nord Ovest;Lombardia;PV;C509;0;1;0;0;2;3
Nord Ovest;Liguria;SV;C510;89,33;91,84;16,04;4;7;208,21
Nord Ovest;Liguria;IM;C511;4;8;2;1;4;19
Nord Ovest;Lombardia;MB;C512;1;31;20,5;14;6;72,5
Nord Est;Emilia-Romagna;PC;C513;0,5;0;1;1;0;2,5
Sud;Puglia;FG;C514;71,26;107,97;91,33;92;49,33;411,89
Sud;Calabria;CS;C515;2;0;4;3;2;11
Nord Ovest;Lombardia;CO;C516;1;19;36;11;22,5;89,5
Sud;Abruzzo;TE;C517;1;0;0;0;4;5
Centro;Lazio;RM;C518;2;3;1;1,5;1;8,5
Nord Ovest;Lombardia;CO;C520;8,04;18;14,5;5,5;8,17;54,21
Nord Ovest;Lombardia;LC;C521;0;9;24;5,08;8,66;46,74
Nord Ovest;Lombardia;MI;C523;20,5;140,33;157,84;130;62,85;511,52
Centro;Marche;AN;C524;0;1;5;5;8;19
Sud;Campania;BN;C525;4,25;5,5;5;4,92;4;23,67
Centro;Umbria;PG;C527;0;2;2;0;1;5
Nord Ovest;Piemonte;AT;C528;0;1;0;0;3,5;4,5
Centro;Toscana;FI;C529;4,12;28,5;24,25;18;14;88,87
Nord Ovest;Piemonte;CN;C530;2;1;0;1;1;5
Nord Ovest;Piemonte;AL;C531;0;2;1;2;7;12
Nord Ovest;Piemonte;BI;C532;0;1;4;6;7,5;18,5
Nord Ovest;Piemonte;AT;C533;0;2;1;2,5;1,38;6,88
Sud;Molise;IS;C534;0;1;2;0;0;3
Nord Ovest;Lombardia;MI;C536;5;13;11;15;18,5;62,5
