AREA;Regione;prov;2019_CodCom;NTN 2019 fino a 50 mq;NTN  2019 50 -| 85 mq;NTN 2019 85 -| 115 mq;NTN  2019 115 -| 145 mq;NTN  2019 oltre 145 mq;NTN 2019
Nord Ovest;Lombardia;BS;B054;4,5;25,67;10;5;2,8;47,97
Isole;Sardegna;OR;B055;0;0;0;0;1;1
Isole;Sardegna;NU;B056;0;1;0;1;4,89;6,89
Sud;Abruzzo;CH;B057;0;0;0;1;0;1
Nord Ovest;Piemonte;BI;B058;0;2;1,67;1;4,67;9,34
Nord Est;Veneto;TV;B061;5;6;4;10,5;31,5;57
Isole;Sardegna;NU;B062;0;1;0;0;1;2
Isole;Sardegna;SS;B063;1;0;2,01;0;1,11;4,12
Isole;Sardegna;SS;B064;0;0;0;2;1;3
Nord Ovest;Liguria;GE;B067;3;7;4;4;7;25
Isole;Sardegna;NU;B068;7;51,5;13,14;11,67;10;93,31
Nord Est;Veneto;RO;B069;0;3;4,24;1;6;14,24
Nord Est;Veneto;VR;B070;0;0;8;2,67;5,86;16,53
Nord Ovest;Piemonte;AL;B071;0,2;1;3;4;6,7;14,9
Nord Est;Veneto;VR;B073;14;36,45;19;17,92;20;107,37
Nord Ovest;Piemonte;TO;B075;0;2;5;1;14;22
Sud;Campania;NA;B076;9;21,33;33,37;27,81;17;108,51
Sud;Campania;NA;B077;6,44;29,74;23,33;8,98;9,58;78,07
Nord Ovest;Piemonte;CN;B079;1;0;0;1;1,5;3,5
Nord Ovest;Piemonte;AL;B080;1;1;2;0;3;7
Nord Ovest;Lombardia;LC;B081;2;11,17;4;4,67;2,33;24,17
Nord Ovest;Lombardia;PV;B082;0;0;2;0;2;4
Nord Ovest;Lombardia;BG;B083;0;0;1;0;1,75;2,75
Nord Ovest;Piemonte;CN;B084;2;2;1;2;4;11
Sud;Calabria;CZ;B085;15;8,75;7,83;5;0,17;36,75
Sud;Puglia;LE;B086;2;3;1;0;1;7
Nord Ovest;Lombardia;BG;B088;2;17,5;13;6;4,56;43,06
Nord Ovest;Lombardia;BS;B091;1;21;22;17;26,83;87,83
Isole;Sardegna;SS;B094;1,03;0,12;1;0;0;2,15
Sud;Calabria;RC;B097;0;0;1;0;0;1
