AREA;Regione;prov;2018_CodCom;NTN fino a 50 mq;NTN 50 -| 85 mq;NTN  85 -| 115 mq;NTN 115 -| 145 mq;NTN  oltre 145 mq;NTN 2018
Sud;Puglia;BR;B180;24,69;147,39;244,86;177,73;106,11;700,78
Sud;Basilicata;PZ;B181;0;1,85;1,94;1;0,5;5,29
Nord Ovest;Lombardia;VA;B182;2;0;2;0;1;5
Nord Ovest;Piemonte;NO;B183;0;1;0;0;2,72;3,72
Nord Ovest;Lombardia;BS;B184;0;1;2;3;1;7
Nord Ovest;Lombardia;MI;B187;1;14;31,34;10;15,5;71,84
Nord Est;Emilia-Romagna;RA;B188;2;13,5;9,5;14;22,67;61,67
Nord Ovest;Lombardia;VA;B191;1;2;3;2;4,5;12,5
Nord Ovest;Valle d'Aosta;AO;B192;1;1;5;3;2;12
Sud;Abruzzo ;PE;B193;0;0,33;0;0;0;0,33
Nord Ovest;Lombardia;LC;B194;3;15,5;13,58;7;9,13;48,21
Centro;Lazio;FR;B195;0;0;1;5;4;10
Nord Est;Veneto;VI;B196;2,21;7,5;11;11,25;14;45,96
Sud;Calabria;VV;B197;0;1;0;0;0;1
Isole;Sicilia;ME;B198;9;19;9;6;3,25;46,25
Nord Ovest;Piemonte;CN;B200;1;0;2;0;2;5
Nord Ovest;Lombardia;PV;B201;1;24;29;8,5;16,5;79
Isole;Sicilia;CT;B202;17,58;33,67;18,5;20,5;18,1;108,35
Nord Ovest;Piemonte;CN;B204;1;5;2,72;3;3;14,72
Nord Ovest;Piemonte;TO;B205;0;1;1;1;2;5
Nord Ovest;Piemonte;VB;B207;5;5;7;3,5;3;23,5
Nord Ovest;Piemonte;TO;B209;0;0;0;3;2;5
Nord Ovest;Lombardia;MI;B212;32,17;184,39;133,51;42,5;22,11;414,68
Nord Est;Veneto;PD;B213;2;9,75;7;8,5;16,33;43,58
Nord Ovest;Liguria;SP;B214;2,83;0,25;5,71;1,15;1;10,94
Nord Est;Friuli- Venezia Giulia;PN;B215;3;12;13,5;17,3;23;68,8
Nord Ovest;Piemonte;TO;B216;1;12;39,5;17,17;38,16;107,83
Nord Ovest;Lombardia;BG;B217;3;0,5;0,75;0,33;0;4,58
Nord Ovest;Lombardia;CO;B218;1;3;4;2;5,5;15,5
Nord Ovest;Lombardia;VA;B219;0;2,25;2;4;3,5;11,75
Nord Ovest;Piemonte;AT;B221;0;0;0,67;1;1;2,67
Nord Ovest;Lombardia;BG;B223;0;19,5;22,5;13;9,5;64,5
Nord Ovest;Piemonte;TO;B225;0;3;6;4;5,5;18,5
Sud;Campania;NA;B227;7;7;21,86;22,77;16,85;75,48
Nord Ovest;Lombardia;VA;B228;0;5,5;6,5;0;2;14
Nord Ovest;Piemonte;BI;B229;2;3;2;8;4,34;19,34
Nord Ovest;Valle d'Aosta;AO;B230;23,75;18;13,5;2,5;1;58,75
Nord Ovest;Piemonte;TO;B232;2;2,67;2;3,25;5;14,92
Sud;Calabria;RC;B234;2;3;2;1;3;11
Nord Ovest;Lombardia;MI;B235;1;10,5;4,5;3,5;10;29,5
Nord Ovest;Piemonte;AT;B236;0;0;0;0;3;3
Isole;Sicilia;SR;B237;2,5;3;1,05;1;4,67;12,22
Sud;Abruzzo ;CH;B238;1;1,5;3;3,33;4,24;13,07
Sud;Campania;BN;B239;3,75;1;3;2;5;14,75
Nord Ovest;Lombardia;MI;B240;17,5;124,42;106,27;20,99;27,83;297,01
Sud;Campania;SA;B242;1;8;5;5;2,5;21,5
