AREA;Regione;prov;2011_CodCom;NTN 2011 fino a 50 mq;NTN 2011  50 -| 85 mq;NTN 2011  85 -| 115 mq;NTN 2011 115 -| 145 mq;NTN 2011 oltre 145 mq;NTN 2011
Nord Ovest;Lombardia;CO;H679;0;4;1,33;1;0;6,33
Nord Ovest;Lombardia;CO;H760;1;0,66;2;0,5;0;4,16
Nord Ovest;Lombardia;CO;H830;0;13;3,5;2;3,22;21,72
Nord Ovest;Lombardia;CO;H840;2;17;18,25;11,5;5;53,75
Nord Ovest;Lombardia;CO;I051;0;2;1;1;0;4
Nord Ovest;Lombardia;CO;I162;7,5;16,75;6;3,67;3;36,92
Nord Ovest;Lombardia;CO;I529;0,5;1;0,5;1;3;6
Nord Ovest;Lombardia;CO;I611;1;7,5;5,5;8;4,17;26,17
Nord Ovest;Lombardia;CO;I792;2;5;6;6;3;22
Nord Ovest;Lombardia;CO;I856;6;5,5;5,5;3,5;0;20,5
Nord Ovest;Lombardia;CO;I860;3;5;2,5;1;2;13,5
Nord Ovest;Lombardia;CO;I943;3;1,9;0;1;0;5,9
Nord Ovest;Lombardia;CO;L071;4,5;17,5;20,36;0;4,66;47,02
Nord Ovest;Lombardia;CO;L228;0;2,07;4;1;4;11,07
Nord Ovest;Lombardia;CO;L371;3,5;8,6;5;0;10;27,1
Nord Ovest;Lombardia;CO;L413;2;4;1;0;0;7
Nord Ovest;Lombardia;CO;L470;3,5;30,43;30,41;10,5;14,3;89,14
Nord Ovest;Lombardia;CO;L487;3;18;18,37;11;16,5;66,87
Nord Ovest;Lombardia;CO;L547;0;5;5,5;5;4,33;19,83
Nord Ovest;Lombardia;CO;L640;0;4;9,3;4;2;19,3
Nord Ovest;Lombardia;CO;L715;1;3,5;2,67;0;1;8,17
Nord Ovest;Lombardia;CO;L737;2;9;9,5;5;4;29,5
Nord Ovest;Lombardia;CO;L748;3;10;4;1;0;18
Nord Ovest;Lombardia;CO;L792;1,5;15;17,33;2;7;42,83
Nord Ovest;Lombardia;CO;L956;10,5;37;26,66;20,39;19,5;114,05
Nord Ovest;Lombardia;CO;M156;0;1,01;0;1;1,67;3,68
Nord Ovest;Lombardia;CO;M315;10;27;5,6;9,33;3,4;55,33
Nord Ovest;Lombardia;CR;A039;0;0;0,5;6;3,66;10,16
Nord Ovest;Lombardia;CR;A076;5;17,5;24;5;10;61,5
Nord Ovest;Lombardia;CR;A299;2;2;6;4,5;5,5;20
Nord Ovest;Lombardia;CR;A526;0;4;2;4;3;13
Nord Ovest;Lombardia;CR;A570;3;14;9;7,8;12,25;46,05
Nord Ovest;Lombardia;CR;A972;0;3;4;3;10;20
Nord Ovest;Lombardia;CR;A986;0;1;0;0;0;1
Nord Ovest;Lombardia;CR;B129;0;27,34;21,62;12;20,48;81,44
Nord Ovest;Lombardia;CR;B320;0;0;0;0;6;6
Nord Ovest;Lombardia;CR;B439;0;0;2;1,33;7,33;10,66
Nord Ovest;Lombardia;CR;B484;0;0;0;2;0,86;2,86
Nord Ovest;Lombardia;CR;B498;0;0;0;0;2;2
Nord Ovest;Lombardia;CR;B650;1;15;1;5;4,33;26,33
Nord Ovest;Lombardia;CR;B679;0;1;2;1;2;6
Nord Ovest;Lombardia;CR;B680;0;0;0;1;0;1
Nord Ovest;Lombardia;CR;B686;0;3,5;4,5;2,5;2,25;12,75
Nord Ovest;Lombardia;CR;B869;2,5;6,5;10,5;9;8,67;37,17
Nord Ovest;Lombardia;CR;B881;1;11;3,5;3,5;3,5;22,5
Nord Ovest;Lombardia;CR;B889;2;1;2;1;7,84;13,84
Nord Ovest;Lombardia;CR;B890;0;0;3;2;0;5
Nord Ovest;Lombardia;CR;B891;1;6,5;5,5;1;8;22
Nord Ovest;Lombardia;CR;B898;6;38,33;46,27;25,5;48,24;164,34
Nord Ovest;Lombardia;CR;B900;0;3;3;2,5;4,2;12,7
Nord Ovest;Lombardia;CR;B914;0;4;2;9;5;20
Nord Ovest;Lombardia;CR;C089;0;1;0,5;1;3;5,5
Nord Ovest;Lombardia;CR;C115;1;2;1;1;0;5
