AREA;Regione;prov;2011_CodCom;NTN_2011_Box;NTN_2011_Depositi_Pert
Nord Ovest;Liguria;GE;A388;155,11;28,19
Nord Ovest;Liguria;GE;A506;21,67;13,76
Nord Ovest;Liguria;GE;A658;17,08;11,5
Nord Ovest;Liguria;GE;A922;30,2;11,17
Nord Ovest;Liguria;GE;B067;3,5;5,5
Nord Ovest;Liguria;GE;B282;42,22;13,96
Nord Ovest;Liguria;GE;B490;96,38;9,26
Nord Ovest;Liguria;GE;B538;34;10
Nord Ovest;Liguria;GE;B551;22;18,21
Nord Ovest;Liguria;GE;B726;18;9,5
Nord Ovest;Liguria;GE;B939;45,67;12,34
Nord Ovest;Liguria;GE;B956;13;15
Nord Ovest;Liguria;GE;C302;3;8
Nord Ovest;Liguria;GE;C481;13,34;14
Nord Ovest;Liguria;GE;C621;192,73;26,5
Nord Ovest;Liguria;GE;C673;4;4
Nord Ovest;Liguria;GE;C823;135,5;20,01
Nord Ovest;Liguria;GE;C826;33,5;16
Nord Ovest;Liguria;GE;C995;0,25;1
Nord Ovest;Liguria;GE;D175;0,5;0
Nord Ovest;Liguria;GE;D255;3,33;6
Nord Ovest;Liguria;GE;D509;0;0
Nord Ovest;Liguria;GE;D512;3;2
Nord Ovest;Liguria;GE;D677;0;0
Nord Ovest;Liguria;GE;D969;3590,83;972,54
Nord Ovest;Liguria;GE;E109;0;1
Nord Ovest;Liguria;GE;E341;4;7
Nord Ovest;Liguria;GE;E488;83,85;26,64
Nord Ovest;Liguria;GE;E519;10,5;2,67
Nord Ovest;Liguria;GE;E695;0;2,58
Nord Ovest;Liguria;GE;E737;2;4,6
Nord Ovest;Liguria;GE;F020;12,83;11,25
Nord Ovest;Liguria;GE;F098;16;13
Nord Ovest;Liguria;GE;F173;4;2
Nord Ovest;Liguria;GE;F202;15;13,17
Nord Ovest;Liguria;GE;F256;2,5;1
Nord Ovest;Liguria;GE;F354;86;9
Nord Ovest;Liguria;GE;F445;1;2
Nord Ovest;Liguria;GE;F682;3,17;14,23
Nord Ovest;Liguria;GE;F858;2;8,88
Nord Ovest;Liguria;GE;F862;0;0,36
Nord Ovest;Liguria;GE;G093;0;1
Nord Ovest;Liguria;GE;G646;12,78;6
Nord Ovest;Liguria;GE;G913;7;0
Nord Ovest;Liguria;GE;H073;0;0
